Word,Lexicality,Size,Length,Frequency,Zipf Frequency,Morphology,Part of Speech,Phonemes,Condition,Root,Lemma,Zipf Lemma Frequency
infertile,real,long,9,low,2.86,complex,NOUN,"['IH2', 'N', 'F', 'ER1', 'T', 'AH0', 'L']",RLLC,,fertile,3.62
egotistic,real,long,8,low,1.98,complex,ADJ,"['IY2', 'G', 'AH0', 'T', 'IH1', 'S', 'T', 'IH0', 'K']",RLLC,,ego,4.02
tartness,real,long,8,low,1.86,complex,NOUN,"['T', 'AA1', 'R', 'T']",RLLC,,tart,3.37
adaptable,real,long,9,low,3.12,complex,ADJ,"['AH0', 'D', 'AE1', 'P', 'T', 'AH0', 'B', 'AH0', 'L']",RLLC,,adapt,3.98
whisperer,real,long,9,low,2.81,complex,NOUN,"['W', 'IH1', 'S', 'P', 'ER0', 'ER0']",RLLC,,whisper,3.74
tattooist,real,long,9,low,1.99,complex,NOUN,"['T', 'AE1', 'T', 'AH0', 'S', 'T']",RLLC,,tattoo,4.14
cubical,real,long,7,low,2.05,complex,ADJ,"['K', 'YUW1', 'B', 'IH0', 'K', 'AH0', 'L']",RLLC,,cube,3.82
tearful,real,long,7,low,2.99,complex,ADJ,"['T', 'IH1', 'R', 'F', 'AH0', 'L']",RLLC,,tear,4.35
reliant,real,long,7,low,3.41,complex,ADJ,"['R', 'IH0', 'L', 'AY1', 'AH0', 'N', 'T']",RLLC,,rely,4.29
fatally,real,long,7,low,3.33,complex,ADV,"['F', 'EY1', 'T', 'AH0', 'L', 'IY0']",RLLC,,fatal,4.1
defiant,real,long,7,low,3.21,complex,ADJ,"['D', 'IH0', 'F', 'AY1', 'AH0', 'N', 'T']",RLLC,,defy,3.42
sourness,real,long,8,low,2.05,complex,NOUN,"['S', 'AW1', 'R', 'N', 'AH0', 'S']",RLLC,,sour,3.88
disembark,real,long,9,low,2.68,complex,VERB,"['D', 'IH0', 'S', 'IH0', 'M', 'B', 'AA1', 'R', 'K']",RLLC,,embark,3.4
impolite,real,long,8,low,2.62,complex,ADJ,"['IH0', 'M', 'P', 'AH0', 'L', 'AY2', 'T']",RLLC,,polite,3.92
woefully,real,long,8,low,2.92,complex,ADV,"['W', 'OW1', 'F', 'AH0', 'L', 'IY0']",RLLC,,woe,3.31
etiquette,real,long,9,low,3.4,simple,NOUN,"['EH1', 'T', 'AH0', 'K', 'AH0', 'T']",RLLS,,etiquette,3.4
hedgehog,real,long,8,low,3.25,simple,PROPN,"['HH', 'EH1', 'JH', 'HH', 'AA2', 'G']",RLLS,,hedgehog,3.25
fumigate,real,long,8,low,1.87,simple,VERB,"['F', 'Y', 'UW1', 'M', 'AH0', 'G', 'EY2', 'T']",RLLS,,fumigate,1.87
avalanche,real,long,9,low,3.48,simple,NOUN,"['AE1', 'V', 'AH0', 'L', 'AE2', 'N', 'CH']",RLLS,,avalanche,3.48
chameleon,real,long,9,low,3.1,simple,NOUN,"['CH', 'AH0', 'M', 'EH1', 'L', 'IY0', 'AH0', 'N']",RLLS,,chameleon,3.1
boomerang,real,long,9,low,3.06,simple,NOUN,"['B', 'UW1', 'M', 'ER0', 'AE2', 'NG']",RLLS,,boomerang,3.06
frisbee,real,long,7,low,2.96,simple,PROPN,"['F', 'R', 'IH1', 'S', 'B', 'IY0']",RLLS,,frisbee,2.96
satchel,real,long,7,low,2.9,simple,NOUN,"['S', 'AE1', 'CH', 'AH0', 'L']",RLLS,,satchel,2.9
whither,real,long,7,low,2.52,simple,ADV,"['W', 'IH1', 'DH', 'ER0']",RLLS,,whither,2.52
savanna,real,long,7,low,2.83,simple,NOUN,"['S', 'AH0', 'V', 'AE1', 'N', 'AH0']",RLLS,,savanna,2.83
giraffe,real,long,7,low,3.32,simple,NOUN,"['JH', 'ER0', 'AE1', 'F']",RLLS,,giraffe,3.32
scrabble,real,long,8,low,3.04,simple,NOUN,"['S', 'K', 'R', 'AE1', 'B', 'AH0', 'L']",RLLS,,scrabble,3.04
blaspheme,real,long,9,low,2.16,simple,VERB,"['B', 'L', 'AE1', 'S', 'F', 'IY0', 'M']",RLLS,,blaspheme,2.16
trombone,real,long,8,low,2.97,simple,NOUN,"['T', 'R', 'AA0', 'M', 'B', 'OW1', 'N']",RLLS,,trombone,2.97
gargoyle,real,long,8,low,2.63,simple,NOUN,"['G', 'AA1', 'R', 'G', 'OY2', 'L']",RLLS,,gargoyle,2.63
shears,real,short,6,low,2.9,complex,NOUN,"['SH', 'IY1', 'R', 'Z']",RSLC,,shear,3.4
combs,real,short,5,low,3.17,complex,NOUN,"['K', 'OW1', 'M', 'Z']",RSLC,,comb,3.52
shyly,real,short,5,low,2.42,complex,ADV,"['SH', 'AY1', 'L', 'IY0']",RSLC,,shy,4.16
surfer,real,short,6,low,3.3,complex,NOUN,"['S', 'ER1', 'F', 'ER0']",RSLC,,surf,3.86
orally,real,short,6,low,3.12,complex,ADV,"['AO1', 'R', 'AH0', 'L', 'IY0']",RSLC,,oral,4.26
oxen,real,short,4,low,2.9,complex,PROPN,"['AA1', 'K', 'S', 'AH0', 'N']",RSLC,,ox,3.47
idly,real,short,4,low,2.93,complex,ADV,"['AY1', 'D', 'L', 'IY0']",RSLC,,idle,3.7
pods,real,short,4,low,3.45,complex,NOUN,"['P', 'AA1', 'D', 'Z']",RSLC,,pod,3.71
sows,real,short,4,low,2.59,complex,VERB,"['S', 'OW1', 'Z']",RSLC,,sow,3.38
mugs,real,short,4,low,3.24,complex,NOUN,"['M', 'AH1', 'G', 'Z']",RSLC,,mug,3.71
unzip,real,short,5,low,2.55,complex,VERB,"['AH0', 'N', 'Z', 'IH1', 'P']",RSLC,,zip,3.87
inhale,real,short,6,low,3.25,complex,VERB,"['IH0', 'N', 'HH', 'EY1', 'L']",RSLC,,hale,3.6
mended,real,short,6,low,2.72,complex,VERB,"['M', 'EH1', 'N', 'D', 'IH0', 'D']",RSLC,,mend,3.33
mixer,real,short,5,low,3.5,complex,NOUN,"['M', 'IH1', 'K', 'S', 'ER0']",RSLC,,mix,4.71
lamer,real,short,5,low,2.17,complex,NOUN,"['L', 'EY1', 'M', 'ER0']",RSLC,,lame,3.95
jersey,real,short,6,high,4.66,simple,NOUN,"['JH', 'ER1', 'Z', 'IY0']",RSHS,,jersey,4.66
sword,real,short,5,high,4.37,simple,NOUN,"['S', 'AO1', 'R', 'D']",RSHS,,sword,4.37
phone,real,short,5,high,5.3,simple,NOUN,"['F', 'OW1', 'N']",RSHS,,phone,5.3
