Word,Root,Wordlength,Structure,Lexicality,Length,Frequency,Morphological Complexity,Zipf Frequency,Condition
surenchère,chère,10,ppr,real,long,low,complex,3.22,RLLC
redecouvre,couvre,10,ppr,real,long,low,complex,0.0,RLLC
redéfaire,faire,9,ppr,real,long,low,complex,0.0,RLLC
imprévu,vu,7,ppr,real,long,low,complex,3.35,RLLC
hyperespace,espace,11,pr_long,real,long,low,complex,2.26,RLLC
contretemps,temps,11,pr_long,real,long,low,complex,2.91,RLLC
antichambre,chambre,11,pr_long,real,long,low,complex,3.02,RLLC
préhistoire,histoire,11,pr_long,real,long,low,complex,3.38,RLLC
contrefaçon,façon,11,pr_long,real,long,low,complex,3.48,RLLC
contrepoids,poids,11,pr_long,real,long,low,complex,3.03,RLLC
contrepoint,piont,11,pr_long,real,long,low,complex,3.01,RLLC
extralucide,lucide,11,pr_long,real,long,low,complex,1.67,RLLC
impossible,possible,10,pr_long,real,long,high,complex,4.98,RLHC
découverte,couverte,10,pr_long,real,long,high,complex,4.73,RLHC
recouverte,couverte,10,pr_long,real,long,medium,complex,3.56,RLHC
transporte,porte,10,pr_long,real,long,medium,complex,3.63,RLHC
transperce,perce,10,pr_long,real,long,low,complex,2.62,RLLC
déshonneur,honneur,10,pr_long,real,long,low,complex,3.04,RLLC
interphone,phone,10,pr_long,real,long,low,complex,3.01,RLLC
infrarouge,rouge,10,pr_long,real,long,low,complex,3.34,RLLC
inefficace,efficace,10,pr_long,real,long,low,complex,3.39,RLLC
entrejambe,jambe,10,pr_long,real,long,low,complex,2.85,RLLC
contrecœur,cœur,10,pr_long,real,long,low,complex,2.77,RLLC
découvert,couvert,9,pr_long,real,long,high,complex,4.72,RLHC
désespoir,espoir,9,pr_long,real,long,medium,complex,3.89,RLHC
indiscret,discret,9,pr_long,real,long,low,complex,3.11,RLLC
réconfort,confort,9,pr_long,real,long,medium,complex,3.52,RLHC
recouvert,couvert,9,pr_long,real,long,medium,complex,3.74,RLHC
désaccord,accord,9,pr_long,real,long,medium,complex,3.88,RLHC
décompose,compose,9,pr_long,real,long,low,complex,3.25,RLLC
surcharge,charge,9,pr_long,real,long,low,complex,3.44,RLLC
incorrect,correct,9,pr_long,real,long,low,complex,3.13,RLLC
infortune,fortune,9,pr_long,real,long,low,complex,2.86,RLLC
