Word,Root,Wordlength,Structure,Lexicality,Length,Frequency,Morphology,Zipf Frequency,Condition
imprévu,vu,7,ppr,real,long,low,complex,3.35,RLLC
défonce,fonce,7,pr,real,long,low,complex,3.41,RLLC
reliure,li,7,prs,real,long,low,complex,3.12,RLLC
coopère,opère,7,pr,real,long,low,complex,2.86,RLLC
renégat,nég,7,prs,real,long,low,complex,2.64,RLLC
sonorité,son,8,rss,real,long,low,complex,3.17,RLLC
enivrant,ivr,8,prs,real,long,low,complex,2.56,RLLC
déplaire,plaire,8,pr,real,long,low,complex,3.28,RLLC
dérision,ris,8,prs,real,long,low,complex,3.43,RLLC
dévotion,vot,8,prs,real,long,low,complex,3.46,RLLC
pesanteur,pes,9,rss,real,long,low,complex,2.97,RLLC
indiscret,discret,9,pr_long,real,long,low,complex,3.11,RLLC
infortune,fortune,9,pr_long,real,long,low,complex,2.86,RLLC
décompose,compose,9,pr_long,real,long,low,complex,3.25,RLLC
idéaliste,idé,9,rss,real,long,low,complex,3.25,RLLC
transperce,perce,10,pr_long,real,long,low,complex,2.62,RLLC
royalement,roy,10,rss,real,long,low,complex,3.12,RLLC
surenchère,chère,10,ppr,real,long,low,complex,3.22,RLLC
malicieuse,mal,10,rss,real,long,low,complex,2.57,RLLC
infrarouge,rouge,10,pr_long,real,long,low,complex,3.34,RLLC
ensuite,suite,7,pr,real,long,high,complex,5.35,RLHC
dérange,range,7,pr,real,long,high,complex,4.32,RLHC
injuste,juste,7,pr,real,long,high,complex,4.08,RLHC
justice,just,7,rs,real,long,high,complex,5.12,RLHC
maladie,malad,7,rs,real,long,high,complex,4.88,RLHC
décision,décis,8,rs,real,long,high,complex,4.97,RLHC
position,posit,8,rs,real,long,high,complex,5.07,RLHC
poursuit,suit,8,pr,real,long,high,complex,4.41,RLHC
deuxième,deux,8,rs,real,long,high,complex,5.24,RLHC
sûrement,sûre,8,rs,real,long,high,complex,4.7,RLHC
découvert,couvert,9,pr_long,real,long,high,complex,4.72,RLHC
seulement,seul,9,rss,real,long,high,complex,5.47,RLHC
américain,améric,9,rs,real,long,high,complex,5.06,RLHC
chauffage,chau,9,prs,real,long,high,complex,4.08,RLHC
également,égal,9,rs,real,long,high,complex,5.59,RLHC
découverte,couverte,10,pr_long,real,long,high,complex,4.73,RLHC
visibilité,vis,10,rss,real,long,high,complex,4.06,RLHC
finalement,fin,10,rss,real,long,high,complex,5.02,RLHC
impossible,possible,10,pr_long,real,long,high,complex,4.98,RLHC
artistique,art,10,rss,real,long,high,complex,4.42,RLHC
final,fin,5,rs,real,short,high,complex,4.87,RSHC
remet,met,5,pr,real,short,high,complex,4.24,RSHC
malin,mal,5,rs,real,short,high,complex,4.15,RSHC
enfin,fin,5,pr,real,short,high,complex,5.47,RSHC
usage,us,5,rs,real,short,high,complex,4.83,RSHC
sortie,sort,6,rs,real,short,high,complex,5.13,RSHC
prénom,nom,6,pr,real,short,high,complex,4.48,RSHC
joueur,jou,6,rs,real,short,high,complex,4.98,RSHC
fierté,fier,6,rs,real,short,high,complex,4.21,RSHC
normal,norm,6,rs,real,short,high,complex,4.9,RSHC
mural,mur,5,rs,real,short,low,complex,2.86,RSLC
envol,vol,5,pr,real,short,low,complex,3.44,RSLC
nasal,nas,5,rs,real,short,low,complex,2.78,RSLC
enfui,fui,5,pr,real,short,low,complex,3.12,RSLC
usité,us,5,rs,real,short,low,complex,2.8,RSLC
impoli,poli,6,pr,real,short,low,complex,2.99,RSLC
irréel,réel,6,pr,real,short,low,complex,3.09,RSLC
inapte,apte,6,pr,real,short,low,complex,2.98,RSLC
bûches,bûche,6,rs,real,short,low,complex,2.98,RSLC
noeuds,noeud,6,ps,real,short,low,complex,2.98,RSLC
puberté,,7,r,real,long,low,simple,3.32,RLLS
guignol,,7,r,real,long,low,simple,3.28,RLLS
bronche,,7,r,real,long,low,simple,2.66,RLLS
haricot,,7,r,real,long,low,simple,3.13,RLLS
placide,,7,r,real,long,low,simple,2.88,RLLS
banquise,,8,r,real,long,low,simple,3.16,RLLS
brouhaha,,8,r,real,long,low,simple,3.04,RLLS
brancard,,8,r,real,long,low,simple,2.78,RLLS
crevette,,8,r,real,long,low,simple,3.18,RLLS
corridor,,8,r,real,long,low,simple,3.41,RLLS
gingembre,,9,r,real,long,low,simple,3.2,RLLS
léthargie,,9,r,real,long,low,simple,2.88,RLLS
sarabande,,9,r,real,long,low,simple,2.27,RLLS
spaghetti,,9,r,real,long,low,simple,3.25,RLLS
habitacle,,9,r,real,long,low,simple,3.23,RLLS
coqueluche,,10,r,real,long,low,simple,2.98,RLLS
