Word,Wordlength,Lexicality,Length,Morphology,Condition
bafé,4,pseudo,short,simple,PSS
baic,4,pseudo,short,simple,PSS
bait,4,pseudo,short,simple,PSS
bame,4,pseudo,short,simple,PSS
bane,4,pseudo,short,simple,PSS
bant,4,pseudo,short,simple,PSS
bobe,4,pseudo,short,simple,PSS
bone,4,pseudo,short,simple,PSS
boto,4,pseudo,short,simple,PSS
boup,4,pseudo,short,simple,PSS
boux,4,pseudo,short,simple,PSS
caic,4,pseudo,short,simple,PSS
caie,4,pseudo,short,simple,PSS
cain,4,pseudo,short,simple,PSS
cait,4,pseudo,short,simple,PSS
canc,4,pseudo,short,simple,PSS
cant,4,pseudo,short,simple,PSS
chau,4,pseudo,short,simple,PSS
chin,4,pseudo,short,simple,PSS
chit,4,pseudo,short,simple,PSS
cief,4,pseudo,short,simple,PSS
cieu,4,pseudo,short,simple,PSS
clel,4,pseudo,short,simple,PSS
cleu,4,pseudo,short,simple,PSS
fobe,4,pseudo,short,simple,PSS
fonc,4,pseudo,short,simple,PSS
foto,4,pseudo,short,simple,PSS
foue,4,pseudo,short,simple,PSS
fouf,4,pseudo,short,simple,PSS
foup,4,pseudo,short,simple,PSS
foux,4,pseudo,short,simple,PSS
lafé,4,pseudo,short,simple,PSS
lage,4,pseudo,short,simple,PSS
laic,4,pseudo,short,simple,PSS
lain,4,pseudo,short,simple,PSS
lanc,4,pseudo,short,simple,PSS
lane,4,pseudo,short,simple,PSS
lant,4,pseudo,short,simple,PSS
lase,4,pseudo,short,simple,PSS
lone,4,pseudo,short,simple,PSS
lont,4,pseudo,short,simple,PSS
lour,4,pseudo,short,simple,PSS
loux,4,pseudo,short,simple,PSS
mief,4,pseudo,short,simple,PSS
mieu,4,pseudo,short,simple,PSS
mobe,4,pseudo,short,simple,PSS
mone,4,pseudo,short,simple,PSS
mouf,4,pseudo,short,simple,PSS
moup,4,pseudo,short,simple,PSS
mour,4,pseudo,short,simple,PSS
moux,4,pseudo,short,simple,PSS
nafé,4,pseudo,short,simple,PSS
naie,4,pseudo,short,simple,PSS
nait,4,pseudo,short,simple,PSS
name,4,pseudo,short,simple,PSS
nanc,4,pseudo,short,simple,PSS
nane,4,pseudo,short,simple,PSS
nuic,4,pseudo,short,simple,PSS
nuie,4,pseudo,short,simple,PSS
nuin,4,pseudo,short,simple,PSS
oear,4,pseudo,short,simple,PSS
oeau,4,pseudo,short,simple,PSS
oenc,4,pseudo,short,simple,PSS
oent,4,pseudo,short,simple,PSS
oeue,4,pseudo,short,simple,PSS
oeur,4,pseudo,short,simple,PSS
pnef,4,pseudo,short,simple,PSS
pnel,4,pseudo,short,simple,PSS
pobe,4,pseudo,short,simple,PSS
ponc,4,pseudo,short,simple,PSS
pone,4,pseudo,short,simple,PSS
poto,4,pseudo,short,simple,PSS
poue,4,pseudo,short,simple,PSS
poup,4,pseudo,short,simple,PSS
rafé,4,pseudo,short,simple,PSS
raic,4,pseudo,short,simple,PSS
rant,4,pseudo,short,simple,PSS
ronc,4,pseudo,short,simple,PSS
rone,4,pseudo,short,simple,PSS
ront,4,pseudo,short,simple,PSS
roup,4,pseudo,short,simple,PSS
rour,4,pseudo,short,simple,PSS
scic,4,pseudo,short,simple,PSS
scin,4,pseudo,short,simple,PSS
scit,4,pseudo,short,simple,PSS
vafé,4,pseudo,short,simple,PSS
vage,4,pseudo,short,simple,PSS
vaic,4,pseudo,short,simple,PSS
vaie,4,pseudo,short,simple,PSS
vait,4,pseudo,short,simple,PSS
vame,4,pseudo,short,simple,PSS
vanc,4,pseudo,short,simple,PSS
vant,4,pseudo,short,simple,PSS
vave,4,pseudo,short,simple,PSS
vear,4,pseudo,short,simple,PSS
venc,4,pseudo,short,simple,PSS
vene,4,pseudo,short,simple,PSS
veue,4,pseudo,short,simple,PSS
veup,4,pseudo,short,simple,PSS
veur,4,pseudo,short,simple,PSS
aiant,5,pseudo,short,simple,PSS
aibon,5,pseudo,short,simple,PSS
ainte,5,pseudo,short,simple,PSS
aiver,5,pseudo,short,simple,PSS
ancal,5,pseudo,short,simple,PSS
auche,5,pseudo,short,simple,PSS
avace,5,pseudo,short,simple,PSS
avaci,5,pseudo,short,simple,PSS
avave,5,pseudo,short,simple,PSS
brace,5,pseudo,short,simple,PSS
brâce,5,pseudo,short,simple,PSS
brano,5,pseudo,short,simple,PSS
brice,5,pseudo,short,simple,PSS
brile,5,pseudo,short,simple,PSS
brulà,5,pseudo,short,simple,PSS
brule,5,pseudo,short,simple,PSS
brunt,5,pseudo,short,simple,PSS
claci,5,pseudo,short,simple,PSS
clane,5,pseudo,short,simple,PSS
clano,5,pseudo,short,simple,PSS
clave,5,pseudo,short,simple,PSS
cocre,5,pseudo,short,simple,PSS
coêle,5,pseudo,short,simple,PSS
coeue,5,pseudo,short,simple,PSS
coice,5,pseudo,short,simple,PSS
coile,5,pseudo,short,simple,PSS
glant,5,pseudo,short,simple,PSS
glave,5,pseudo,short,simple,PSS
glown,5,pseudo,short,simple,PSS
grâci,5,pseudo,short,simple,PSS
gribe,5,pseudo,short,simple,PSS
grice,5,pseudo,short,simple,PSS
grile,5,pseudo,short,simple,PSS
grule,5,pseudo,short,simple,PSS
grune,5,pseudo,short,simple,PSS
grure,5,pseudo,short,simple,PSS
hacal,5,pseudo,short,simple,PSS
hacre,5,pseudo,short,simple,PSS
hadio,5,pseudo,short,simple,PSS
hagur,5,pseudo,short,simple,PSS
hampa,5,pseudo,short,simple,PSS
heule,5,pseudo,short,simple,PSS
heuno,5,pseudo,short,simple,PSS
hiane,5,pseudo,short,simple,PSS
hiano,5,pseudo,short,simple,PSS
hiave,5,pseudo,short,simple,PSS
hinon,5,pseudo,short,simple,PSS
hinou,5,pseudo,short,simple,PSS
hinsi,5,pseudo,short,simple,PSS
hinte,5,pseudo,short,simple,PSS
hoeue,5,pseudo,short,simple,PSS
hoibe,5,pseudo,short,simple,PSS
hoice,5,pseudo,short,simple,PSS
honou,5,pseudo,short,simple,PSS
honsi,5,pseudo,short,simple,PSS
houre,5,pseudo,short,simple,PSS
lacre,5,pseudo,short,simple,PSS
ladio,5,pseudo,short,simple,PSS
laglà,5,pseudo,short,simple,PSS
lagle,5,pseudo,short,simple,PSS
lague,5,pseudo,short,simple,PSS
loile,5,pseudo,short,simple,PSS
loêle,5,pseudo,short,simple,PSS
loeue,5,pseudo,short,simple,PSS
loeur,5,pseudo,short,simple,PSS
loile,5,pseudo,short,simple,PSS
lonsi,5,pseudo,short,simple,PSS
moeur,5,pseudo,short,simple,PSS
moibe,5,pseudo,short,simple,PSS
moici,5,pseudo,short,simple,PSS
moilà,5,pseudo,short,simple,PSS
piaci,5,pseudo,short,simple,PSS
piave,5,pseudo,short,simple,PSS
pinou,5,pseudo,short,simple,PSS
pocal,5,pseudo,short,simple,PSS
poeur,5,pseudo,short,simple,PSS
poibe,5,pseudo,short,simple,PSS
poice,5,pseudo,short,simple,PSS
pouno,5,pseudo,short,simple,PSS
prâce,5,pseudo,short,simple,PSS
prâci,5,pseudo,short,simple,PSS
prane,5,pseudo,short,simple,PSS
price,5,pseudo,short,simple,PSS
prici,5,pseudo,short,simple,PSS
prilà,5,pseudo,short,simple,PSS
prile,5,pseudo,short,simple,PSS
racre,5,pseudo,short,simple,PSS
rague,5,pseudo,short,simple,PSS
règue,5,pseudo,short,simple,PSS
règur,5,pseudo,short,simple,PSS
siaci,5,pseudo,short,simple,PSS
siver,5,pseudo,short,simple,PSS
sussi,5,pseudo,short,simple,PSS
vocre,5,pseudo,short,simple,PSS
voêle,5,pseudo,short,simple,PSS
voeue,5,pseudo,short,simple,PSS
voibe,5,pseudo,short,simple,PSS
