Word,Wordlength,Lexicality,Length,Morphology,Condition
scin,4,pseudo,short,simple,PSS
nait,4,pseudo,short,simple,PSS
pone,4,pseudo,short,simple,PSS
mobe,4,pseudo,short,simple,PSS
mieu,4,pseudo,short,simple,PSS
prici,5,pseudo,short,simple,PSS
honou,5,pseudo,short,simple,PSS
moilà,5,pseudo,short,simple,PSS
hiave,5,pseudo,short,simple,PSS
hiano,5,pseudo,short,simple,PSS
balant,6,pseudo,short,simple,PSS
cranas,6,pseudo,short,simple,PSS
oranas,6,pseudo,short,simple,PSS
maisin,6,pseudo,short,simple,PSS
salise,6,pseudo,short,simple,PSS
vécs,4,pseudo,short,complex,PSC
sase,4,pseudo,short,complex,PSC
tali,4,pseudo,short,complex,PSC
rous,4,pseudo,short,complex,PSC
rort,4,pseudo,short,complex,PSC
revux,5,pseudo,short,complex,PSC
mueux,5,pseudo,short,complex,PSC
reier,5,pseudo,short,complex,PSC
impus,5,pseudo,short,complex,PSC
impui,5,pseudo,short,complex,PSC
poueur,6,pseudo,short,complex,PSC
nortel,6,pseudo,short,complex,PSC
bartel,6,pseudo,short,complex,PSC
noeurs,6,pseudo,short,complex,PSC
fleuds,6,pseudo,short,complex,PSC
boudron,7,pseudo,long,simple,PLS
bourage,7,pseudo,long,simple,PLS
gourage,7,pseudo,long,simple,PLS
coudron,7,pseudo,long,simple,PLS
chapent,7,pseudo,long,simple,PLS
chalgame,8,pseudo,long,simple,PLS
crevetti,8,pseudo,long,simple,PLS
absiette,8,pseudo,long,simple,PLS
phapitre,8,pseudo,long,simple,PLS
courmand,8,pseudo,long,simple,PLS
acquessus,9,pseudo,long,simple,PLS
aubellule,9,pseudo,long,simple,PLS
langouron,9,pseudo,long,simple,PLS
dingouron,9,pseudo,long,simple,PLS
libellite,9,pseudo,long,simple,PLS
inconce,7,pseudo,long,complex,PLC
balleau,7,pseudo,long,complex,PLC
justial,7,pseudo,long,complex,PLC
roulets,7,pseudo,long,complex,PLC
mallons,7,pseudo,long,complex,PLC
fraiment,8,pseudo,long,complex,PLC
instagne,8,pseudo,long,complex,PLC
décurité,8,pseudo,long,complex,PLC
montable,8,pseudo,long,complex,PLC
vrançais,8,pseudo,long,complex,PLC
sentrance,9,pseudo,long,complex,PLC
décorrent,9,pseudo,long,complex,PLC
sentraire,9,pseudo,long,complex,PLC
récortune,9,pseudo,long,complex,PLC
incompoir,9,pseudo,long,complex,PLC
imigiserai,10,pseudo,long,complex,PLC
détrovires,10,pseudo,long,complex,PLC
quissement,10,pseudo,long,complex,PLC
déclenlité,10,pseudo,long,complex,PLC
féminiseux,10,pseudo,long,complex,PLC
évandestif,10,pseudo,long,simple,PLS
cicaphonne,10,pseudo,long,simple,PLS
germunique,10,pseudo,long,simple,PLS
coloccaphe,10,pseudo,long,simple,PLS
troduiller,10,pseudo,long,simple,PLS
