Word,Root,Wordlength,Structure,Lexicality,Length,Frequency,Morphology,Zipf Frequency,Condition,Lemma,Zipf Lemma Frequency
imprévu,vu,7,ppr,real,long,low,complex,3.35,RLLC,vu,5.71
défonce,fonce,7,pr,real,long,low,complex,3.41,RLLC,fonce,3.72
reliure,li,7,prs,real,long,low,complex,3.12,RLLC,lien,5.1
coopère,opère,7,pr,real,long,low,complex,2.86,RLLC,opère,3.84
renégat,nég,7,prs,real,long,low,complex,2.64,RLLC,négatif,4.24
sonorité,son,8,rss,real,long,low,complex,3.17,RLLC,son,6.47
enivrant,ivr,8,prs,real,long,low,complex,2.56,RLLC,ivre,3.79
déplaire,plaire,8,pr,real,long,low,complex,3.28,RLLC,plaire,4.15
dérision,ris,8,prs,real,long,low,complex,3.43,RLLC,ris,3.75
dévotion,vot,8,prs,real,long,low,complex,3.46,RLLC,voter,4.54
pesanteur,pes,9,rss,real,long,low,complex,2.97,RLLC,pes,2.95
indiscret,discret,9,pr_long,real,long,low,complex,3.11,RLLC,discret,4.07
infortune,fortune,9,pr_long,real,long,low,complex,2.86,RLLC,fortune,4.41
décompose,compose,9,pr_long,real,long,low,complex,3.25,RLLC,compose,4.13
idéaliste,idé,9,rss,real,long,low,complex,3.25,RLLC,idée,5.38
transperce,perce,10,pr_long,real,long,low,complex,2.62,RLLC,perce,3.4
royalement,roy,10,rss,real,long,low,complex,3.12,RLLC,royal,4.57
surenchère,chère,10,ppr,real,long,low,complex,3.22,RLLC,chère,4.46
malicieuse,mal,10,rss,real,long,low,complex,2.57,RLLC,mal,5.68
infrarouge,rouge,10,pr_long,real,long,low,complex,3.34,RLLC,rouge,5.13
ensuite,suite,7,pr,real,long,high,complex,5.35,RLHC,suite,5.52
dérange,range,7,pr,real,long,high,complex,4.32,RLHC,range,3.89
injuste,juste,7,pr,real,long,high,complex,4.08,RLHC,juste,5.8
justice,just,7,rs,real,long,high,complex,5.12,RLHC,juste,5.8
maladie,malad,7,rs,real,long,high,complex,4.88,RLHC,malade,4.82
décision,décis,8,rs,real,long,high,complex,4.97,RLHC,décis,1.9
position,posit,8,rs,real,long,high,complex,5.07,RLHC,posit,1.36
poursuit,suit,8,pr,real,long,high,complex,4.41,RLHC,suit,4.69
deuxième,deux,8,rs,real,long,high,complex,5.24,RLHC,deux,6.18
sûrement,sûre,8,rs,real,long,high,complex,4.7,RLHC,sûre,4.43
découvert,couvert,9,pr_long,real,long,high,complex,4.72,RLHC,couvert,4.4
seulement,seul,9,rss,real,long,high,complex,5.47,RLHC,seule,5.42
américain,améric,9,rs,real,long,high,complex,5.06,RLHC,amérique,4.83
chauffage,chau,9,prs,real,long,high,complex,4.08,RLHC,chauffer,3.87
également,égal,9,rs,real,long,high,complex,5.59,RLHC,égal,4.23
découverte,couverte,10,pr_long,real,long,high,complex,4.73,RLHC,couverte,3.93
visibilité,vis,10,rss,real,long,high,complex,4.06,RLHC,vis,4.93
finalement,fin,10,rss,real,long,high,complex,5.02,RLHC,fin,5.67
impossible,possible,10,pr_long,real,long,high,complex,4.98,RLHC,possible,5.39
artistique,art,10,rss,real,long,high,complex,4.42,RLHC,art,5.26
final,fin,5,rs,real,short,high,complex,4.87,RSHC,fin,5.67
remet,met,5,pr,real,short,high,complex,4.24,RSHC,met,5.12
malin,mal,5,rs,real,short,high,complex,4.15,RSHC,mal,5.68
enfin,fin,5,pr,real,short,high,complex,5.47,RSHC,fin,5.67
usage,us,5,rs,real,short,high,complex,4.83,RSHC,user,3.86
sortie,sort,6,rs,real,short,high,complex,5.13,RSHC,sortir,5.19
prénom,nom,6,pr,real,short,high,complex,4.48,RSHC,nom,5.59
joueur,jou,6,rs,real,short,high,complex,4.98,RSHC,jou,2.84
fierté,fier,6,rs,real,short,high,complex,4.21,RSHC,fier,4.54
normal,norm,6,rs,real,short,high,complex,4.9,RSHC,norm,2.91
mural,mur,5,rs,real,short,low,complex,2.86,RSLC,mur,4.74
envol,vol,5,pr,real,short,low,complex,3.44,RSLC,vol,4.96
nasal,nas,5,rs,real,short,low,complex,2.78,RSLC,nas,3.25
enfui,fui,5,pr,real,short,low,complex,3.12,RSLC,fuir,4.2
usité,us,5,rs,real,short,low,complex,2.8,RSLC,user,3.86
impoli,poli,6,pr,real,short,low,complex,2.99,RSLC,poli,3.83
irréel,réel,6,pr,real,short,low,complex,3.09,RSLC,réel,4.69
inapte,apte,6,pr,real,short,low,complex,2.98,RSLC,apte,3.63
bûches,bûche,6,rs,real,short,low,complex,2.98,RSLC,bûche,3.04
noeuds,noeud,6,ps,real,short,low,complex,2.98,RSLC,noeud,3.42
puberté,,7,r,real,long,low,simple,3.32,RLLS,puberté,3.32
guignol,,7,r,real,long,low,simple,3.28,RLLS,guignol,3.28
bronche,,7,r,real,long,low,simple,2.66,RLLS,bronche,2.66
haricot,,7,r,real,long,low,simple,3.13,RLLS,haricot,3.13
placide,,7,r,real,long,low,simple,2.88,RLLS,placide,2.88
banquise,,8,r,real,long,low,simple,3.16,RLLS,banquise,3.16
brouhaha,,8,r,real,long,low,simple,3.04,RLLS,brouhaha,3.04
brancard,,8,r,real,long,low,simple,2.78,RLLS,brancard,2.78
crevette,,8,r,real,long,low,simple,3.18,RLLS,crevette,3.18
corridor,,8,r,real,long,low,simple,3.41,RLLS,corridor,3.41
gingembre,,9,r,real,long,low,simple,3.2,RLLS,gingembre,3.2
léthargie,,9,r,real,long,low,simple,2.88,RLLS,léthargie,2.88
sarabande,,9,r,real,long,low,simple,2.27,RLLS,sarabande,2.27
spaghetti,,9,r,real,long,low,simple,3.25,RLLS,spaghetti,3.25
habitacle,,9,r,real,long,low,simple,3.23,RLLS,habitacle,3.23
coqueluche,,10,r,real,long,low,simple,2.98,RLLS,coqueluche,2.98
corbillard,,10,r,real,long,low,simple,2.59,RLLS,corbillard,2.59
diaphragme,,10,r,real,long,low,simple,3.0,RLLS,diaphragme,3.0
rhinocéros,,10,r,real,long,low,simple,3.39,RLLS,rhinocéros,3.39
holocauste,,10,r,real,long,low,simple,3.37,RLLS,holocauste,3.37
voiture,,7,r,real,long,high,simple,5.19,RLHS,voiture,5.19
horizon,,7,r,real,long,high,simple,4.3,RLHS,horizon,4.3
courage,,7,r,real,long,high,simple,4.77,RLHS,courage,4.77
conseil,,7,r,real,long,high,simple,5.38,RLHS,conseil,5.38
