Numéro,Mot,Cat.Gram,Fréquence,numbre de lettres,structure morpho,Condition,Nombre de lettres,orthographic neighborhood,Unnamed: 4,Numéro.1,Mot.1,Nombre de lettres.1,orthographic neighborhood.1
1,oeuf,N,3.45,4.0,0-1-0,réel_basse_court_simple,,,,,,,
2,boue,N,3.9,4.0,0-1-0,réel_basse_court_simple,,,,,,,
3,,N,2.97,4.0,0-1-0,réel_basse_court_simple,,,,,,,
4,chic,adj,3.99,4.0,0-1-0,réel_basse_court_simple,,,,,,,
5,cire,N,3.79,4.0,0-1-0,réel_basse_court_simple,,,,,,,
6,scie,N,3.62,4.0,0-1-0,réel_basse_court_simple,,,,,,,
7,nage,N,3.79,4.0,0-1-0,réel_basse_court_simple,,,,,,,
8,orge,N,3.64,4.0,0-1-0,réel_basse_court_simple,,,,,,,
9,pneu,N,3.6,4.0,0-1-0,réel_basse_court_simple,,,,,,,
10,poux,N,3.36,4.0,0-1-0,réel_basse_court_simple,,,,,,,
11,rame,N,3.63,4.0,0-1-0,réel_basse_court_simple,,,,,,,
12,sève,N,3.23,4.0,0-1-0,réel_basse_court_simple,,,,,,,
13,vase,N,3.77,4.0,0-1-0,réel_basse_court_simple,,,,,,,
14,veau,N,3.68,4.0,0-1-0,réel_basse_court_simple,,,,,,,
15,char,N,3.98,4.0,0-1-0,réel_basse_court_simple,,,,,,,
1,ancre,N,3.56,5.0,0-1-0,réel_basse_court_simple,,,,,,,
2,bague,N,3.99,5.0,0-1-0,réel_basse_court_simple,,,,,,,
3,bribe,N,29.50819672,5.0,0-1-0,réel_basse_court_simple,,,,,,,
4,canne,N,3.8,5.0,0-1-0,réel_basse_court_simple,,,,,,,
5,clown,N,3.83,5.0,0-1-0,réel_basse_court_simple,,,,,,,
6,hache,N,3.69,5.0,0-1-0,réel_basse_court_simple,,,,,,,
7,heure,N,34.19203747,5.0,0-1-0,réel_basse_court_simple,,,,,,,
8,hibou,N,3.23,5.0,0-1-0,réel_basse_court_simple,,,,,,,
9,hiver,N,32.31850117,5.0,0-1-0,réel_basse_court_simple,,,,,,,
10,honte,N,30.44496487,5.0,0-1-0,réel_basse_court_simple,,,,,,,
11,moule,N,3.79,5.0,0-1-0,réel_basse_court_simple,,,,,,,
12,poêle,N,3.62,5.0,0-1-0,réel_basse_court_simple,,,,,,,
13,prune,N,25.52693208,5.0,0-1-0,réel_basse_court_simple,,,,,,,
14,sucre,N,36.53395785,5.0,0-1-0,réel_basse_court_simple,,,,,,,
15,sympa,adj,6.791569087,5.0,0-1-0,réel_basse_court_simple,,,,,,,
1,cerise,N,3.69,6.0,0-1-0,réel_basse_court_simple,,,,,,,
2,citron,N,3.88,6.0,0-1-0,réel_basse_court_simple,,,,,,,
3,ananas,N,3.62,6.0,0-1-0,réel_basse_court_simple,,,,,,,
4,râteau,N,2.96,6.0,0-1-0,réel_basse_court_simple,,,,,,,
5,mouton,N,3.92,6.0,0-1-0,réel_basse_court_simple,,,,,,,
6,orange,N/adj,4.6,6.0,0-1-0,réel_basse_court_simple,,,,,,,
7,crayon,N,3.84,6.0,0-1-0,réel_basse_court_simple,,,,,,,
