Mot,Cat.Gram,Fréquence,numbre de lettres,structure morpho,Condition
oeuf,N,3.45,4.0,0-1-0,réel_basse_court_simple
boue,N,3.9,4.0,0-1-0,réel_basse_court_simple
chic,adj,3.99,4.0,0-1-0,réel_basse_court_simple
cire,N,3.79,4.0,0-1-0,réel_basse_court_simple
scie,N,3.62,4.0,0-1-0,réel_basse_court_simple
nage,N,3.79,4.0,0-1-0,réel_basse_court_simple
orge,N,3.64,4.0,0-1-0,réel_basse_court_simple
pneu,N,3.6,4.0,0-1-0,réel_basse_court_simple
poux,N,3.36,4.0,0-1-0,réel_basse_court_simple
rame,N,3.63,4.0,0-1-0,réel_basse_court_simple
sève,N,3.23,4.0,0-1-0,réel_basse_court_simple
vase,N,3.77,4.0,0-1-0,réel_basse_court_simple
veau,N,3.68,4.0,0-1-0,réel_basse_court_simple
char,N,3.98,4.0,0-1-0,réel_basse_court_simple
ancre,N,3.56,5.0,0-1-0,réel_basse_court_simple
bague,N,3.99,5.0,0-1-0,réel_basse_court_simple
bribe,N,29.50819672,5.0,0-1-0,réel_basse_court_simple
canne,N,3.8,5.0,0-1-0,réel_basse_court_simple
clown,N,3.83,5.0,0-1-0,réel_basse_court_simple
hache,N,3.69,5.0,0-1-0,réel_basse_court_simple
heure,N,34.19203747,5.0,0-1-0,réel_basse_court_simple
hibou,N,3.23,5.0,0-1-0,réel_basse_court_simple
hiver,N,32.31850117,5.0,0-1-0,réel_basse_court_simple
honte,N,30.44496487,5.0,0-1-0,réel_basse_court_simple
moule,N,3.79,5.0,0-1-0,réel_basse_court_simple
poêle,N,3.62,5.0,0-1-0,réel_basse_court_simple
prune,N,25.52693208,5.0,0-1-0,réel_basse_court_simple
sucre,N,36.53395785,5.0,0-1-0,réel_basse_court_simple
sympa,adj,6.791569087,5.0,0-1-0,réel_basse_court_simple
cerise,N,3.69,6.0,0-1-0,réel_basse_court_simple
citron,N,3.88,6.0,0-1-0,réel_basse_court_simple
