cond,hasStar,rest,stim
tool,0,4000,12 06 18 13 04 01 17 03 10 08 05 02 16 20 09 15 19 11 07 14
wordC,0,4000,15 06 19 11 08 20 13 16 14 12 07 10 05 09 18 04 01 02 03 17
number,1,8000,13 16 15 08 02 18 00 14 04 19 01 09 05 06 03 07 12 17 11 10
house,1,6000,12 03 14 18 08 00 15 19 09 17 13 10 20 04 06 07 02 05 01 11
wordEF,0,6000,17 09 02 13 07 12 05 03 16 06 08 11 18 01 19 15 20 10 14 04
face,1,4000,02 13 03 07 15 17 18 05 09 14 04 10 12 00 16 01 11 06 20 08
wordEF,1,6000,06 05 07 14 17 03 12 02 16 15 11 20 10 00 09 08 01 13 18 19
wordEF,0,6000,17 04 11 09 12 01 14 15 02 08 07 03 10 13 20 16 05 19 18 06
body,0,8000,09 17 13 07 05 06 08 02 01 15 16 14 19 03 04 18 12 10 20 11
wordEF,0,8000,01 10 05 04 18 15 11 19 13 08 16 12 03 17 14 02 06 20 09 07
face,1,4000,07 16 06 02 15 09 05 01 17 03 10 19 12 00 18 14 11 20 13 04
face,0,8000,01 11 08 09 12 03 18 16 20 10 02 07 15 06 05 17 19 14 13 04
emoji,0,6000,04 14 02 01 19 15 06 12 08 17 11 13 20 18 16 10 05 03 09 07
wordEF,1,4000,14 02 17 12 15 03 18 05 07 01 04 10 19 06 13 20 09 00 16 11
wordC,1,4000,05 18 07 20 01 09 12 19 04 11 08 03 16 13 10 02 14 06 00 15
wordC,0,4000,13 03 02 07 11 05 16 17 10 01 09 19 08 06 15 04 14 18 12 20
tool,1,8000,17 04 15 07 01 11 19 14 09 03 10 20 16 06 05 08 02 13 12 00
wordC,0,4000,16 04 19 11 02 20 12 05 18 14 15 09 01 17 13 10 08 06 07 03
number,0,8000,06 09 18 20 10 11 17 13 03 04 19 15 16 07 02 14 01 05 08 12
body,0,6000,09 17 20 01 03 16 18 02 08 12 19 06 10 14 07 04 15 11 05 13
tool,0,6000,01 09 12 04 14 13 11 10 19 17 15 07 05 03 06 16 08 18 20 02
wordEF,0,8000,15 04 14 09 12 07 01 17 08 13 02 18 10 20 06 16 05 11 19 03
house,0,4000,18 15 19 11 16 05 09 04 08 03 12 17 06 14 01 13 20 02 07 10
wordC,0,8000,15 20 08 01 14 19 11 03 17 04 13 16 06 18 10 12 02 05 09 07
body,1,6000,02 03 16 14 15 13 07 04 19 00 06 01 12 20 11 05 10 09 17 18
number,1,4000,11 13 01 18 15 19 00 14 12 17 16 10 03 08 06 05 02 04 09 07
emoji,0,8000,20 08 01 16 12 19 07 13 18 04 03 05 14 09 15 17 11 02 06 10
tool,1,8000,17 15 13 02 09 10 11 12 18 06 08 07 05 00 19 04 03 20 14 16
body,0,4000,06 13 02 12 17 18 01 14 08 05 07 19 16 20 10 03 09 04 15 11
tool,1,4000,06 03 08 01 18 05 09 10 20 12 07 19 11 02 16 04 00 17 15 13
face,1,4000,08 19 05 15 04 12 03 09 07 02 16 14 01 11 00 06 20 17 18 10
house,0,6000,12 06 14 18 09 11 05 13 08 04 19 20 01 02 07 15 03 16 10 17
tool,1,6000,10 20 11 03 07 04 14 02 13 19 12 06 09 17 01 08 05 16 00 15
number,0,6000,08 07 05 09 17 11 02 03 12 10 15 13 20 16 18 01 04 19 14 06
house,0,6000,11 14 02 09 17 07 05 20 08 03 13 04 10 01 15 16 06 12 18 19
face,0,6000,02 13 10 15 08 05 07 04 17 09 06 01 14 03 11 19 16 12 20 18
face,0,6000,10 19 17 04 05 18 01 11 07 14 09 03 16 06 08 13 12 02 15 20
emoji,0,4000,14 01 16 20 06 03 02 11 09 08 05 04 07 19 13 10 18 15 17 12
emoji,0,4000,15 09 20 11 04 06 17 13 16 19 08 14 12 03 18 01 02 10 05 07
emoji,0,4000,05 06 12 20 18 08 10 17 04 01 13 09 02 15 11 07 19 14 03 16
body,0,4000,16 01 18 20 04 15 17 09 13 02 05 08 19 07 14 03 06 10 12 11
number,0,6000,03 13 01 15 04 16 14 20 17 08 19 02 07 12 11 05 09 18 10 06
house,0,6000,14 19 18 09 20 02 03 11 06 05 12 04 07 08 13 15 16 01 17 10
body,0,6000,19 17 02 05 18 06 14 07 08 01 09 15 20 16 04 10 12 03 13 11
wordC,1,8000,15 06 08 05 14 11 13 20 17 00 19 04 16 10 12 02 07 18 03 01
house,1,8000,17 04 14 09 13 08 20 05 02 06 15 18 19 03 10 01 11 16 00 12
number,0,4000,08 20 06 17 19 14 07 05 09 04 01 15 12 18 02 13 11 03 16 10
emoji,0,6000,12 05 15 18 01 17 14 10 16 06 04 11 19 07 13 08 02 03 20 09
