cond,hasStar,rest,stim
body,1,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
body,1,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
body,0,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
body,0,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
body,0,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
body,0,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
face,1,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
face,1,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
face,0,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
face,0,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
face,0,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
face,0,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
house,1,8000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
house,1,8000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
house,0,8000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
house,0,8000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
house,0,8000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
house,0,8000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
tool,1,8000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
tool,1,8000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
tool,0,8000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
tool,0,8000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
tool,0,8000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
tool,0,8000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
number,1,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
number,1,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
number,0,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
number,0,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
number,0,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
number,0,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
wordEF,1,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
wordEF,1,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
wordEF,0,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
wordEF,0,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
wordEF,0,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
wordEF,0,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
emoji,1,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
emoji,1,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
emoji,0,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
emoji,0,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
emoji,0,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
emoji,0,4000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
wordC,1,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
wordC,1,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
wordC,0,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
wordC,0,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
wordC,0,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
wordC,0,6000,01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20
