cond,hasStar,rest,stim
body,0,6000,03 04 11 02 16 13 05 10 18 12 09 20 15 19 07 17 08 06 01 14
face,1,8000,02 04 09 01 14 18 06 11 20 08 17 07 15 10 12 05 19 00 03 13
house,0,8000,20 01 13 05 11 09 02 07 06 17 15 14 08 03 04 10 16 19 12 18
number,1,6000,05 12 09 01 17 02 15 13 14 19 06 20 04 10 03 07 00 08 11 16
wordEF,0,6000,13 08 06 17 07 12 10 14 19 03 16 18 11 04 15 05 09 01 20 02
wordEF,0,8000,17 03 05 09 15 14 01 18 20 11 16 02 10 08 19 13 07 06 12 04
face,0,4000,13 06 12 10 14 19 03 17 09 15 16 02 20 07 05 18 11 04 01 08
face,0,8000,08 20 11 03 12 15 13 10 06 05 01 14 04 17 18 16 09 19 07 02
body,1,8000,06 20 09 16 01 04 19 02 03 15 14 08 13 10 00 17 11 07 12 18
number,0,6000,05 12 10 06 02 07 11 09 04 13 14 03 15 18 20 17 08 01 19 16
tool,0,8000,06 08 12 02 13 20 11 17 04 16 05 19 07 15 03 10 18 01 14 09
body,1,4000,02 17 16 10 01 04 20 15 18 12 06 11 00 19 09 14 07 03 08 13
house,0,4000,06 12 15 19 20 14 10 08 16 07 18 04 01 03 05 11 17 13 02 09
number,0,4000,13 08 02 20 11 05 12 07 10 03 15 19 14 09 01 16 17 18 04 06
wordEF,0,6000,01 18 19 05 11 06 15 17 16 07 08 04 03 20 09 02 10 14 12 13
number,1,8000,17 09 05 19 12 07 01 06 00 04 11 18 02 16 15 08 14 13 10 03
face,0,4000,15 09 17 04 14 03 02 07 08 16 19 11 05 12 06 01 10 13 20 18
tool,0,6000,01 03 05 14 19 15 17 11 18 12 20 16 08 02 13 04 10 07 09 06
number,0,4000,12 07 15 04 13 20 17 18 11 19 14 02 10 16 01 09 08 05 03 06
number,1,6000,19 13 20 02 05 01 00 10 07 03 12 04 15 17 18 14 06 08 09 11
tool,0,4000,13 11 04 10 15 12 06 14 02 20 05 16 08 01 07 17 03 19 09 18
wordEF,1,6000,08 01 19 14 20 03 09 07 17 02 18 13 10 00 05 16 12 04 11 15
tool,1,4000,16 10 18 01 17 15 14 07 11 04 02 06 03 09 05 08 13 19 20 00
house,0,8000,09 02 12 10 06 14 17 18 13 07 01 08 11 15 03 20 05 16 04 19
face,0,4000,02 15 17 09 08 16 10 12 18 03 01 11 13 19 20 06 07 04 14 05
house,1,4000,03 18 20 06 15 11 17 14 13 05 09 07 04 01 02 19 16 00 08 12
house,0,6000,11 07 13 17 04 14 03 15 05 19 09 18 10 20 06 12 02 08 16 01
body,1,4000,04 20 16 05 11 06 12 02 09 07 03 10 13 01 15 19 14 18 08 00
house,0,8000,11 08 05 01 06 12 19 15 03 16 10 18 04 14 02 07 09 17 13 20
tool,0,6000,13 09 05 15 10 18 08 06 16 04 03 07 14 12 19 11 17 01 20 02
wordEF,0,8000,08 01 11 20 15 06 17 12 14 07 19 05 16 02 04 09 18 13 10 03
face,0,8000,12 14 09 20 05 18 07 02 08 17 15 04 03 11 01 13 16 19 10 06
body,0,6000,20 14 05 12 13 17 01 04 18 09 02 15 07 06 03 10 16 19 08 11
body,0,8000,13 19 20 02 15 07 18 12 16 10 14 05 17 09 11 08 06 04 03 01
tool,1,4000,08 09 18 05 14 15 12 10 17 20 11 07 13 19 16 01 00 03 04 02
wordEF,1,6000,16 19 10 11 01 17 03 08 04 05 14 09 07 20 18 02 12 15 00 06
