onset,type,stim
2000,picture,emoji14.png
2100,picture,emoji16.png
2200,picture,emoji05.png
2300,picture,star.png
2400,picture,emoji01.png
2500,picture,emoji13.png
2600,picture,emoji02.png
2700,picture,emoji19.png
2800,picture,emoji06.png
2900,picture,emoji10.png
3000,picture,emoji07.png
3100,picture,emoji18.png
3200,picture,emoji08.png
3300,picture,emoji11.png
3400,picture,emoji12.png
3500,picture,emoji15.png
3600,picture,emoji09.png
3700,picture,emoji17.png
3800,picture,emoji20.png
3900,picture,emoji04.png
9900,picture,wordEF03.png
10000,picture,wordEF04.png
10100,picture,wordEF16.png
10200,picture,wordEF18.png
10300,picture,wordEF05.png
10400,picture,wordEF13.png
10500,picture,wordEF09.png
10600,picture,wordEF15.png
10700,picture,wordEF20.png
10800,picture,wordEF10.png
10900,picture,wordEF01.png
11000,picture,wordEF08.png
11100,picture,wordEF11.png
11200,picture,wordEF02.png
11300,picture,wordEF07.png
11400,picture,wordEF12.png
11500,picture,wordEF19.png
11600,picture,wordEF14.png
11700,picture,star.png
11800,picture,wordEF17.png
17800,picture,Mu06.png
17900,picture,Mu01.png
18000,picture,Mu05.png
18100,picture,Mu11.png
18200,picture,Mu04.png
18300,picture,Mu10.png
18400,picture,Mu17.png
18500,picture,Mu07.png
18600,picture,star.png
18700,picture,Mu18.png
18800,picture,Mu03.png
18900,picture,Mu19.png
19000,picture,Mu09.png
19100,picture,Mu08.png
19200,picture,Mu14.png
19300,picture,Mu02.png
19400,picture,Mu12.png
19500,picture,Mu15.png
19600,picture,Mu20.png
19700,picture,Mu16.png
25700,picture,face07.png
25800,picture,face11.png
25900,picture,face08.png
26000,picture,face03.png
26100,picture,face12.png
26200,picture,star.png
26300,picture,face16.png
26400,picture,face14.png
26500,picture,face17.png
26600,picture,face04.png
26700,picture,face06.png
26800,picture,face09.png
26900,picture,face13.png
27000,picture,face01.png
27100,picture,face05.png
27200,picture,face10.png
27300,picture,face18.png
27400,picture,face19.png
27500,picture,face02.png
27600,picture,face20.png
33600,picture,wordC03.png
33700,picture,wordC16.png
33800,picture,wordC17.png
33900,picture,wordC09.png
34000,picture,wordC15.png
34100,picture,wordC05.png
34200,picture,wordC06.png
34300,picture,wordC11.png
34400,picture,wordC07.png
34500,picture,wordC18.png
34600,picture,wordC10.png
34700,picture,wordC19.png
34800,picture,wordC02.png
34900,picture,wordC04.png
35000,picture,wordC20.png
35100,picture,wordC12.png
35200,picture,wordC01.png
35300,picture,wordC08.png
35400,picture,wordC13.png
35500,picture,wordC14.png
41500,picture,wordEF13.png
41600,picture,wordEF10.png
41700,picture,wordEF14.png
41800,picture,wordEF20.png
41900,picture,wordEF03.png
42000,picture,wordEF12.png
42100,picture,wordEF11.png
42200,picture,wordEF16.png
42300,picture,wordEF07.png
42400,picture,wordEF04.png
42500,picture,wordEF17.png
42600,picture,wordEF02.png
42700,picture,wordEF06.png
42800,picture,wordEF09.png
42900,picture,wordEF15.png
43000,picture,wordEF18.png
43100,picture,wordEF01.png
43200,picture,wordEF08.png
43300,picture,wordEF19.png
43400,picture,wordEF05.png
49400,picture,face13.png
49500,picture,face04.png
49600,picture,face11.png
49700,picture,face10.png
49800,picture,face06.png
49900,picture,face08.png
50000,picture,face16.png
50100,picture,face05.png
50200,picture,face07.png
50300,picture,face14.png
50400,picture,face20.png
50500,picture,face03.png
50600,picture,star.png
50700,picture,face12.png
50800,picture,face15.png
50900,picture,face19.png
51000,picture,face17.png
51100,picture,face01.png
51200,picture,face09.png
51300,picture,face02.png
57300,picture,wordEF12.png
57400,picture,wordEF16.png
57500,picture,wordEF06.png
57600,picture,wordEF15.png
57700,picture,wordEF17.png
57800,picture,wordEF10.png
57900,picture,wordEF19.png
58000,picture,wordEF20.png
58100,picture,wordEF05.png
58200,picture,wordEF02.png
58300,picture,wordEF13.png
58400,picture,wordEF03.png
58500,picture,wordEF11.png
58600,picture,wordEF01.png
58700,picture,wordEF08.png
58800,picture,wordEF09.png
58900,picture,wordEF18.png
59000,picture,wordEF04.png
59100,picture,wordEF07.png
59200,picture,wordEF14.png
65200,picture,Mu06.png
65300,picture,Mu09.png
65400,picture,Mu14.png
65500,picture,Mu03.png
65600,picture,Mu15.png
65700,picture,Mu16.png
65800,picture,Mu07.png
65900,picture,Mu18.png
66000,picture,Mu05.png
66100,picture,Mu02.png
66200,picture,Mu01.png
66300,picture,Mu17.png
66400,picture,Mu19.png
66500,picture,Mu13.png
66600,picture,Mu12.png
66700,picture,Mu04.png
66800,picture,Mu11.png
66900,picture,Mu20.png
67000,picture,Mu08.png
67100,picture,Mu10.png
73100,picture,emoji03.png
73200,picture,emoji12.png
73300,picture,emoji06.png
73400,picture,emoji19.png
73500,picture,emoji17.png
73600,picture,emoji11.png
73700,picture,emoji20.png
73800,picture,emoji01.png
73900,picture,emoji02.png
74000,picture,emoji14.png
74100,picture,emoji08.png
74200,picture,emoji04.png
74300,picture,emoji05.png
74400,picture,emoji15.png
74500,picture,emoji07.png
74600,picture,emoji10.png
74700,picture,emoji13.png
74800,picture,emoji18.png
74900,picture,emoji09.png
75000,picture,emoji16.png
81000,picture,wordEF19.png
81100,picture,wordEF18.png
81200,picture,wordEF09.png
81300,picture,wordEF08.png
81400,picture,wordEF16.png
81500,picture,wordEF20.png
81600,picture,wordEF05.png
