Index,Emoji,Frequency,Log Frequency
0,😂,1357923415,21.03
1,♥,611163235,20.23
2,❤,606282827,20.22
3,😍,529915039,20.09
4,😭,392089577,19.79
5,😊,391558055,19.79
6,😒,391281098,19.78
7,😘,315492854,19.57
8,💕,313040199,19.56
9,☺,295985307,19.51
10,😩,288198198,19.48
11,👌,277839106,19.44
12,😔,244681405,19.32
13,😏,235138496,19.28
14,😁,229423647,19.25
15,♻,167241067,18.93
16,😉,159518076,18.89
17,👍,151981225,18.84
18,🙏,149646214,18.82
19,😌,144996206,18.79
20,😳,134573015,18.72
21,🎶,134338498,18.72
22,🙌,131570754,18.7
23,🙈,126409989,18.66
24,😢,125430810,18.65
25,😎,125414834,18.65
26,✌,124094238,18.64
27,👀,123275847,18.63
28,😅,116066587,18.57
29,✨,111015963,18.53
30,😴,108136604,18.5
31,😄,107899823,18.5
32,💜,107577757,18.49
33,💯,106109645,18.48
34,💔,106003165,18.48
35,😑,103621224,18.46
36,💖,103465262,18.45
37,💙,99829113,18.42
38,😕,96804862,18.39
39,💁,94991949,18.37
40,😜,94166103,18.36
41,😞,93512892,18.35
42,😋,89979696,18.32
43,😐,86886754,18.28
44,😪,84810068,18.26
45,👏,84053092,18.25
46,💘,83546349,18.24
47,💞,80459708,18.2
48,💗,80370766,18.2
49,⬅,78670341,18.18
50,🙊,75425671,18.14
51,✋,73870678,18.12
52,💋,73735468,18.12
53,👉,71513965,18.09
54,🌸,69206592,18.05
55,😱,67531101,18.03
56,😈,64947894,17.99
57,🔥,64044038,17.98
58,😡,63009869,17.96
59,😃,58883482,17.89
60,👊,58146958,17.88
61,🎉,58130284,17.88
62,😫,57621659,17.87
63,🌹,55569149,17.83
64,😝,55246992,17.83
65,📷,54824883,17.82
66,💪,54321769,17.81
67,💀,53964972,17.8
68,☀,52391810,17.77
69,💛,51502859,17.76
70,😤,50968859,17.75
71,🌚,50028071,17.73
72,😆,49672223,17.72
73,😓,49434944,17.72
74,👈,48216345,17.69
75,✔,47739131,17.68
76,😻,47151462,17.67
77,😷,44924383,17.62
78,😀,44869926,17.62
79,👋,44520255,17.61
80,💚,44494030,17.61
81,😣,44265430,17.61
82,💓,42495444,17.56
83,▶,39349281,17.49
84,👑,39271738,17.49
85,😚,39029210,17.48
86,😛,38280258,17.46
87,😥,38029398,17.45
88,🎧,36163584,17.4
89,😇,35864849,17.4
90,✅,35261327,17.38
91,😖,35069746,17.37
92,➡,33809628,17.34
93,😠,33543126,17.33
94,😬,32625170,17.3
95,🌟,32284720,17.29
96,🔫,31998540,17.28
97,🙋,31899124,17.28
98,👎,30520506,17.23
99,💃,29567128,17.2
100,🎵,29402574,17.2
101,😶,28978897,17.18
102,1⃣,28828204,17.18
103,2⃣,28073381,17.15
104,💫,27793293,17.14
105,✊,26818922,17.1
106,👇,26391938,17.09
107,🔴,26240584,17.08
108,🙅,25697265,17.06
109,💥,25526901,17.06
110,↪,24599318,17.02
111,©,24023391,16.99
112,💭,23712318,16.98
113,↩,23504732,16.97
114,💩,23357585,16.97
115,👅,23270623,16.96
116,😰,22478551,16.93
117,💎,22301926,16.92
118,🙆,22062647,16.91
119,🍕,22004774,16.91
120,😹,20933466,16.86
121,🌞,20834089,16.85
122,🍃,20764307,16.85
123,🐧,20611699,16.84
124,💦,20280203,16.83
125,💤,20179279,16.82
126,🚶,19756051,16.8
127,✈,19227913,16.77
128,🎈,19177149,16.77
129,⭐,18839764,16.75
130,🎀,18680205,16.74
131,☑,18213886,16.72
132,🔞,17876969,16.7
133,😟,17830286,16.7
134,😨,17670140,16.69
135,🍀,17614148,16.68
136,🎤,17353639,16.67
137,🌺,17317121,16.67
138,👐,17180894,16.66
139,◀,16966587,16.65
140,👻,16849123,16.64
141,🌴,16739213,16.63
142,‼,16472717,16.62
143,💅,16435754,16.61
144,❌,16389214,16.61
145,👽,16381057,16.61
146,🙇,16135189,16.6
147,☁,15994336,16.59
148,👼,15639065,16.57
149,⚽,15521720,16.56
150,👯,15444853,16.55
151,❄,15223351,16.54
152,❗,15177669,16.54
153,☝,14958591,16.52
154,😙,14895954,16.52
155,🌈,14886995,16.52
156,🌙,14445591,16.49
157,💟,14187493,16.47
158,🎁,13413553,16.41
159,💝,13268688,16.4
160,🌍,13153840,16.39
161,🍻,13118765,16.39
162,😧,13090246,16.39
163,🎥,13070812,16.39
164,⚓,12946580,16.38
165,♣,12890972,16.37
166,⚡,12711051,16.36
167,✖,12585142,16.35
168,🏃,12532075,16.34
169,🌻,12496683,16.34
170,🌎,12293655,16.32
171,💐,12205063,16.32
172,🐶,12123478,16.31
173,💰,11860003,16.29
174,👫,11785488,16.28
175,🌿,11745857,16.28
176,🎂,11625329,16.27
177,🐱,11598124,16.27
178,🌷,11569813,16.26
179,☕,11482396,16.26
180,😵,11311108,16.24
181,👆,11106074,16.22
182,😯,10912703,16.21
183,😮,10902737,16.2
184,🏀,10848719,16.2
185,🎄,10837316,16.2
186,💍,10698136,16.19
187,🌝,10563651,16.17
188,😲,10417938,16.16
189,👭,10320320,16.15
190,💏,10183233,16.14
191,💸,10150062,16.13
192,😿,10097561,16.13
193,🙉,9757414,16.09
194,💨,9677504,16.09
195,🌵,9674834,16.09
196,♨,9549781,16.07
197,☎,9354480,16.05
198,👸,9264622,16.04
199,💆,9125443,16.03
200,🍁,9094154,16.02
201,🙍,9030059,16.02
202,🏆,8976144,16.01
203,💌,8970406,16.01
204,🍂,8941738,16.01
205,🎊,8916994,16.0
206,🇺🇸,8777700,15.99
207,🌼,8527723,15.96
208,🔪,8384078,15.94
209,🍩,8175638,15.92
210,👄,8137041,15.91
211,😦,7990098,15.89
212,🆗,7971354,15.89
213,🍟,7967486,15.89
214,🌊,7960754,15.89
215,🌀,7948744,15.89
216,💣,7935737,15.89
217,🚀,7875338,15.88
218,☔,7731122,15.86
219,🍭,7696495,15.86
220,💑,7682329,15.85
221,🎬,7601371,15.84
222,👿,7563961,15.84
223,🐷,7562697,15.84
224,😽,7518681,15.83
225,💢,7485490,15.83
226,🎅,7342319,15.81
227,🌏,7320646,15.81
228,🎼,7219359,15.79
229,🐝,7114337,15.78
230,🎸,7077302,15.77
231,🏈,7071779,15.77
232,♦,6967928,15.76
233,🐼,6930637,15.75
234,💬,6929574,15.75
235,😼,6804453,15.73
236,⛄,6736748,15.72
237,🍌,6727743,15.72
238,😸,6641091,15.71
239,♠,6630882,15.71
240,🍉,6585219,15.7
241,🍓,6545191,15.69
242,🍆,6363306,15.67
243,🍴,6243190,15.65
244,🔝,6164096,15.63
245,📲,6007054,15.61
246,📱,5986599,15.61
247,⛅,5943822,15.6
248,🔸,5924993,15.59
249,👶,5893569,15.59
250,🙀,5890577,15.59
251,⚠,5886698,15.59
252,🐾,5832487,15.58
253,👣,5816200,15.58
254,🔮,5815336,15.58
255,⭕,5767271,15.57
256,🍺,5761258,15.57
257,🍷,5754505,15.57
258,🐰,5674956,15.55
259,📹,5619779,15.54
260,🚬,5607174,15.54
261,👾,5525102,15.52
262,🐢,5435828,15.51
263,🐍,5435487,15.51
264,🍑,5394844,15.5
265,🍒,5334265,15.49
266,🌌,5325232,15.49
267,😗,5321423,15.49
268,🐸,5317591,15.49
269,🍹,5282485,15.48
270,📕,5232340,15.47
271,🐣,5224029,15.47
272,🚨,5202693,15.46
273,🍬,5167005,15.46
274,🐻,5122544,15.45
275,🍔,5101853,15.45
276,🐯,5084449,15.44
277,🚗,5014866,15.43
278,🍦,4931289,15.41
279,🍍,4839193,15.39
280,⏩,4823903,15.39
281,💉,4816684,15.39
282,▪,4788143,15.38
283,🍫,4774504,15.38
284,🌾,4757753,15.38
285,🚮,4709729,15.37
286,🐙,4708750,15.36
287,🎃,4704049,15.36
288,📺,4695318,15.36
289,💊,4652861,15.35
290,😺,4636672,15.35
291,💿,4627084,15.35
292,🍸,4567000,15.33
293,🍰,4566035,15.33
294,🎮,4507207,15.32
295,™,4418083,15.3
296,🍇,4400507,15.3
297,🚫,4392046,15.3
298,⬇,4381078,15.29
299,🐳,4327204,15.28
300,🍪,4203132,15.25
301,📝,4198182,15.25
302,®,4196242,15.25
303,🐬,4179388,15.25
304,👨,4038830,15.21
305,🔊,4013419,15.21
306,🐥,4010091,15.2
307,3⃣,3975705,15.2
308,🐒,3972534,15.19
309,📚,3942686,15.19
310,💂,3885959,15.17
311,👹,3879745,15.17
312,💄,3867020,15.17
313,✂,3837191,15.16
314,📢,3829881,15.16
315,👧,3791602,15.15
316,🎓,3755243,15.14
317,🚦,3748411,15.14
318,🇫🇷,3726749,15.13
319,⚾,3723863,15.13
320,👩,3706893,15.13
321,🎆,3646069,15.11
322,🆘,3602819,15.1
323,😾,3573583,15.09
324,🛅,3573403,15.09
325,🌠,3549393,15.08
326,👠,3536369,15.08
327,👪,3453320,15.05
328,🏊,3447297,15.05
329,👙,3440867,15.05
330,🔑,3422031,15.05
331,🎯,3421709,15.05
332,✏,3393901,15.04
333,💧,3379744,15.03
334,🐘,3352351,15.03
335,🆒,3340789,15.02
336,🍎,3321434,15.02
337,🌱,3312643,15.01
338,💵,3277526,15.0
339,🍄,3267540,15.0
340,📖,3233311,14.99
341,📞,3232785,14.99
342,💇,3230797,14.99
343,🏡,3212695,14.98
344,💻,3209810,14.98
345,🔙,3175076,14.97
346,❓,3172280,14.97
347,💡,3142685,14.96
348,👦,3118669,14.95
349,🔐,3036054,14.93
350,🙎,2958910,14.9
351,🍊,2936726,14.89
352,🍗,2860044,14.87
353,🌅,2858722,14.87
354,🚘,2853338,14.86
355,🔵,2843417,14.86
356,🍧,2804151,14.85
357,🇮🇹,2803462,14.85
358,🐦,2779795,14.84
359,4⃣,2758888,14.83
360,↔,2754590,14.83
361,🌛,2701811,14.81
362,🇬🇧,2699002,14.81
