onset,type,stim
2000,rsvp,dans ta tête répètez "basket"
6000,rsvp,dans ta tête répètez "invite"
10000,rsvp,dans ta tête répètez "nation"
14000,rsvp,dans ta tête répètez "jungle"
18000,rsvp,dans ta tête répètez "blonde"
22000,rsvp,dans ta tête répètez "action"
26000,rsvp,dans ta tête répètez "budget"
30000,rsvp,dans ta tête répètez "stable"
34000,rsvp,dans ta tête répètez "garage"
38000,rsvp,dans ta tête répètez "signal"
42000,rsvp,dans ta tête répètez "temple"
46000,rsvp,dans ta tête répètez "stress"
50000,rsvp,dans ta tête répètez "client"
54000,rsvp,dans ta tête répètez "phrase"
58000,rsvp,dans ta tête répètez "accent"
62000,rsvp,dans ta tête répètez "tennis"
66000,rsvp,dans ta tête répètez "profit"
70000,rsvp,dans ta tête répètez "effort"
74000,rsvp,dans ta tête répètez "vision"
78000,rsvp,dans ta tête répètez "tunnel"

