Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
basket,,,,Visual,Speech,5.0
invite,,,,Visual,Speech,4.0
nation,,,,Visual,Speech,5.0
jungle,,,,Visual,Speech,5.5
blonde,,,,Visual,Speech,4.0
action,,,,Visual,Speech,4.0
budget,,,,Visual,Speech,5.0
stable,,,,Visual,Speech,6.0
garage,,,,Visual,Speech,5.0
signal,,,,Visual,Speech,5.0
temple,,,,Visual,Speech,6.0
stress,,,,Visual,Speech,5.0
client,,,,Visual,Speech,5.5
phrase,,,,Visual,Speech,5.5
accent,,,,Visual,Speech,4.0
tennis,,,,Visual,Speech,6.0
profit,,,,Visual,Speech,5.5
effort,,,,Visual,Speech,5.0
vision,,,,Visual,Speech,5.0
tunnel,,,,Visual,Speech,4.5
