Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
arcove,PSS,6,,Visual,Write,9.0
aubedulle,PLS,9,,Visual,Write,10.0
résem,PSC,5,,Visual,Write,10.0
étudiant,RLHC,8,,Visual,Write,10.0
scandale,RLHS,8,,Visual,Write,9.5
surestimé,RLLC,9,,Visual,Write,9.5
saison,RSHS,6,,Visual,Write,10.5
confetti,RLLS,8,,Visual,Write,9.0
usage,RSHC,5,,Visual,Write,10.5
cireux,RSLC,6,,Visual,Write,11.0
nectar,RSLS,6,,Visual,Write,11.0
rentonice,PLC,9,,Visual,Write,10.0
frime,RSLS,5,frime_MALE_G.wav,Audio,Write,10.0
humanité,RLHC,8,humanité_MALE_G.wav,Audio,Write,10.0
étiquette,RLHS,9,étiquette_MALE_G.wav,Audio,Write,10.5
fleur,RSHS,5,fleur_FEMALE_C.wav,Audio,Write,9.5
idéal,RSHC,5,idéal_FEMALE_C.wav,Audio,Write,10.0
déforion,PLC,8,déforion_MALE_G.wav,Audio,Write,11.0
intellect,RLLS,9,intellect_FEMALE_C.wav,Audio,Write,10.0
détraqué,RLLC,8,détraqué_FEMALE_C.wav,Audio,Write,9.0
tartifuge,PLS,9,tartifuge_MALE_G.wav,Audio,Write,10.5
apleté,PSC,6,apleté_FEMALE_C.wav,Audio,Write,9.5
clide,PSS,5,clide_FEMALE_C.wav,Audio,Write,9.0
nageur,RSLC,6,nageur_MALE_G.wav,Audio,Write,11.0
rancolat,PLS,8,,Visual,Speech,5.0
instagne,PLC,8,,Visual,Speech,6.0
gluant,RSLC,6,,Visual,Speech,4.0
buide,PSS,5,,Visual,Speech,4.5
caractère,RLHS,9,,Visual,Speech,5.0
emeraude,RLLS,8,,Visual,Speech,5.5
salivant,RLLC,8,,Visual,Speech,5.0
acajou,RSLS,6,,Visual,Speech,6.0
réuni,RSHC,5,,Visual,Speech,4.0
moulin,RSHS,6,,Visual,Speech,5.0
dénoya,PSC,6,,Visual,Speech,4.5
également,RLHC,9,,Visual,Speech,5.5
remet,RSHC,5,remet_FEMALE_C.wav,Audio,Speech,4.0
diversité,RLHC,9,diversité_FEMALE_C.wav,Audio,Speech,5.0
récortune,PLC,9,récortune_MALE_G.wav,Audio,Speech,4.0
frontière,RLHS,9,frontière_MALE_G.wav,Audio,Speech,5.5
roduillon,PLS,9,roduillon_MALE_G.wav,Audio,Speech,5.0
brumeuse,RLLC,8,brumeuse_MALE_G.wav,Audio,Speech,5.0
kangourou,RLLS,9,kangourou_FEMALE_C.wav,Audio,Speech,5.0
slagé,PSC,5,slagé_MALE_G.wav,Audio,Speech,6.0
lacèle,PSS,6,lacèle_MALE_G.wav,Audio,Speech,4.5
ambre,RSLS,5,ambre_FEMALE_C.wav,Audio,Speech,5.5
simple,RSHS,6,simple_FEMALE_C.wav,Audio,Speech,6.0
fuselé,RSLC,6,fuselé_FEMALE_C.wav,Audio,Speech,4.5
