Word,Condition,Wordlength,Audio File,Trial Duration,Input Modality,Output Modality
rudement,RLLC,8,,9.0,Visual,Type
récumi,PSC,6,,9.5,Visual,Type
sûreté,RSHC,6,,9.0,Visual,Type
sonsuaine,PLS,9,,9.5,Visual,Type
crapuleux,RLLC,9,,10.0,Visual,Type
indiscret,RLLC,9,,11.0,Visual,Type
berlue,PSS,6,,9.5,Visual,Type
fribuste,PLS,8,,10.5,Visual,Type
genièvre,RLLS,8,,10.0,Visual,Type
étoda,PSC,5,,9.0,Visual,Type
historien,RLHC,9,,11.0,Visual,Type
diversité,RLHC,9,,9.5,Visual,Type
aérée,RSLC,5,,10.0,Visual,Type
gnome,RSLS,5,,10.5,Visual,Type
matricule,RLLS,9,,10.0,Visual,Type
lodeur,PSC,6,,10.5,Visual,Type
indien,RSHC,6,,10.0,Visual,Type
vidéo,RSHS,5,,10.5,Visual,Type
poursuit,RLHC,8,,10.5,Visual,Type
margarine,RLLS,9,,10.0,Visual,Type
carichier,PLC,9,,9.0,Visual,Type
simple,RSHS,6,,11.0,Visual,Type
final,RSHC,5,,10.0,Visual,Type
parallèle,RLHS,9,,10.0,Visual,Type
désla,PSC,5,,11.0,Visual,Type
crypté,RSLC,6,,10.5,Visual,Type
sûrement,RLHC,8,,9.0,Visual,Type
satellite,RLHS,9,,9.0,Visual,Type
jambe,RSHS,5,,9.0,Visual,Type
actif,RSHC,5,,11.0,Visual,Type
nacule,PSS,6,,10.0,Visual,Type
élimé,RSLC,5,,10.0,Visual,Type
tatoueur,RLLC,8,,10.0,Visual,Type
cireux,RSLC,6,,9.5,Visual,Type
glonable,PLC,8,,10.5,Visual,Type
commerce,RLHS,8,,9.0,Visual,Type
confetti,RLLS,8,,9.5,Visual,Type
girafe,RSLS,6,,11.0,Visual,Type
feque,PSS,5,,10.0,Visual,Type
brambouse,PLS,9,,11.0,Visual,Type
religion,RLHS,8,,11.0,Visual,Type
clide,PSS,5,,10.5,Visual,Type
héricole,PLS,8,,9.5,Visual,Type
soleil,RSHS,6,,10.5,Visual,Type
rentonice,PLC,9,,11.0,Visual,Type
corset,RSLS,6,,9.5,Visual,Type
carpe,RSLS,5,,9.0,Visual,Type
déforion,PLC,8,,9.5,Visual,Type
