Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
lentille,RLLS,8,lentille_FEMALE_C.wav,Audio,Speech,6.0
déconnal,PLC,8,déconnal_MALE_G.wav,Audio,Speech,5.5
marim,PSS,5,marim_MALE_G.wav,Audio,Speech,4.5
rivide,PSS,6,rivide_FEMALE_C.wav,Audio,Speech,5.0
tolérable,RLLC,9,tolérable_FEMALE_C.wav,Audio,Speech,4.5
brambouse,PLS,9,brambouse_MALE_G.wav,Audio,Speech,5.0
désac,PSC,5,désac_MALE_G.wav,Audio,Speech,4.0
carpe,RSLS,5,carpe_FEMALE_C.wav,Audio,Speech,5.5
champagne,RLHS,9,champagne_FEMALE_C.wav,Audio,Speech,6.0
commerce,RLHS,8,commerce_FEMALE_C.wav,Audio,Speech,5.5
mobilité,RLHC,8,mobilité_FEMALE_C.wav,Audio,Speech,5.0
remet,RSHC,5,remet_FEMALE_C.wav,Audio,Speech,6.0
fuselé,RSLC,6,fuselé_MALE_G.wav,Audio,Speech,4.0
tombe,RSHS,5,tombe_FEMALE_C.wav,Audio,Speech,5.0
rachat,RSHC,6,rachat_MALE_G.wav,Audio,Speech,4.0
érogieuse,PLC,9,érogieuse_MALE_G.wav,Audio,Speech,5.0
margarine,RLLS,9,margarine_MALE_G.wav,Audio,Speech,5.0
invisible,RLHC,9,invisible_MALE_G.wav,Audio,Speech,5.0
girafe,RSLS,6,girafe_FEMALE_C.wav,Audio,Speech,4.5
usité,RSLC,5,usité_FEMALE_C.wav,Audio,Speech,5.0
détria,PSC,6,détria_MALE_G.wav,Audio,Speech,5.5
carluque,PLS,8,carluque_FEMALE_C.wav,Audio,Speech,4.0
mielleux,RLLC,8,mielleux_MALE_G.wav,Audio,Speech,6.0
siècle,RSHS,6,siècle_MALE_G.wav,Audio,Speech,4.5
