Word,Wordlength,Condition,Audio_Male,Audio_Female
prévu,5,RSHC,prévu_MALE_G.wav,prévu_FEMALE_C.wav
unité,5,RSHC,unité_MALE_G.wav,unité_FEMALE_C.wav
remet,5,RSHC,remet_MALE_G.wav,remet_FEMALE_C.wav
revue,5,RSHC,revue_MALE_G.wav,revue_FEMALE_C.wav
actif,5,RSHC,actif_MALE_G.wav,actif_FEMALE_C.wav
final,5,RSHC,final_MALE_G.wav,final_FEMALE_C.wav
tueur,5,RSHC,tueur_MALE_G.wav,tueur_FEMALE_C.wav
usage,5,RSHC,usage_MALE_G.wav,usage_FEMALE_C.wav
idéal,5,RSHC,idéal_MALE_G.wav,idéal_FEMALE_C.wav
réuni,5,RSHC,réuni_MALE_G.wav,réuni_FEMALE_C.wav
amitié,6,RSHC,amitié_MALE_G.wav,amitié_FEMALE_C.wav
fierté,6,RSHC,fierté_MALE_G.wav,fierté_FEMALE_C.wav
annuel,6,RSHC,annuel_MALE_G.wav,annuel_FEMALE_C.wav
beauté,6,RSHC,beauté_MALE_G.wav,beauté_FEMALE_C.wav
sûreté,6,RSHC,sûreté_MALE_G.wav,sûreté_FEMALE_C.wav
indien,6,RSHC,indien_MALE_G.wav,indien_FEMALE_C.wav
rachat,6,RSHC,rachat_MALE_G.wav,rachat_FEMALE_C.wav
remise,6,RSHC,remise_MALE_G.wav,remise_FEMALE_C.wav
survie,6,RSHC,survie_MALE_G.wav,survie_FEMALE_C.wav
génial,6,RSHC,génial_MALE_G.wav,génial_FEMALE_C.wav
peinture,8,RLHC,peinture_MALE_G.wav,peinture_FEMALE_C.wav
mobilité,8,RLHC,mobilité_MALE_G.wav,mobilité_FEMALE_C.wav
deuxième,8,RLHC,deuxième_MALE_G.wav,deuxième_FEMALE_C.wav
étudiant,8,RLHC,étudiant_MALE_G.wav,étudiant_FEMALE_C.wav
sûrement,8,RLHC,sûrement_MALE_G.wav,sûrement_FEMALE_C.wav
poursuit,8,RLHC,poursuit_MALE_G.wav,poursuit_FEMALE_C.wav
noblesse,8,RLHC,noblesse_MALE_G.wav,noblesse_FEMALE_C.wav
humanité,8,RLHC,humanité_MALE_G.wav,humanité_FEMALE_C.wav
culturel,8,RLHC,culturel_MALE_G.wav,culturel_FEMALE_C.wav
remporté,8,RLHC,remporté_MALE_G.wav,remporté_FEMALE_C.wav
également,9,RLHC,également_MALE_G.wav,également_FEMALE_C.wav
chanteuse,9,RLHC,chanteuse_MALE_G.wav,chanteuse_FEMALE_C.wav
découvert,9,RLHC,découvert_MALE_G.wav,découvert_FEMALE_C.wav
doucement,9,RLHC,doucement_MALE_G.wav,doucement_FEMALE_C.wav
diversité,9,RLHC,diversité_MALE_G.wav,diversité_FEMALE_C.wav
historien,9,RLHC,historien_MALE_G.wav,historien_FEMALE_C.wav
invisible,9,RLHC,invisible_MALE_G.wav,invisible_FEMALE_C.wav
forcément,9,RLHC,forcément_MALE_G.wav,forcément_FEMALE_C.wav
fermeture,9,RLHC,fermeture_MALE_G.wav,fermeture_FEMALE_C.wav
ignorance,9,RLHC,ignorance_MALE_G.wav,ignorance_FEMALE_C.wav
enfui,5,RSLC,enfui_MALE_G.wav,enfui_FEMALE_C.wav
hâtif,5,RSLC,hâtif_MALE_G.wav,hâtif_FEMALE_C.wav
vitré,5,RSLC,vitré _MALE_G.wav,vitré _FEMALE_C.wav
dégel,5,RSLC,dégel_MALE_G.wav,dégel_FEMALE_C.wav
aérée,5,RSLC,aérée_MALE_G.wav,aérée_FEMALE_C.wav
élimé,5,RSLC,élimé_MALE_G.wav,élimé_FEMALE_C.wav
irisé,5,RSLC,irisé_MALE_G.wav,irisé_FEMALE_C.wav
usité,5,RSLC,usité_MALE_G.wav,usité_FEMALE_C.wav
ancré,5,RSLC,ancré_MALE_G.wav,ancré_FEMALE_C.wav
déplu,5,RSLC,déplu_MALE_G.wav,déplu_FEMALE_C.wav
gluant,6,RSLC,gluant_MALE_G.wav,gluant_FEMALE_C.wav
nageur,6,RSLC,nageur_MALE_G.wav,nageur_FEMALE_C.wav
inapte,6,RSLC,inapte_MALE_G.wav,inapte_FEMALE_C.wav
musclé,6,RSLC,musclé_MALE_G.wav,musclé_FEMALE_C.wav
cireux,6,RSLC,cireux_MALE_G.wav,cireux_FEMALE_C.wav
crypté,6,RSLC,crypté_MALE_G.wav,crypté_FEMALE_C.wav
fuselé,6,RSLC,fuselé_MALE_G.wav,fuselé_FEMALE_C.wav
rôdeur,6,RSLC,rôdeur_MALE_G.wav,rôdeur_FEMALE_C.wav
rasage,6,RSLC,rasage_MALE_G.wav,rasage_FEMALE_C.wav
englué,6,RSLC,englué_MALE_G.wav,englué_FEMALE_C.wav
mielleux,8,RLLC,mielleux_MALE_G.wav,mielleux_FEMALE_C.wav
détraqué,8,RLLC,détraqué_MALE_G.wav,détraqué_FEMALE_C.wav
pulpeuse,8,RLLC,pulpeuse_MALE_G.wav,pulpeuse_FEMALE_C.wav
inhabité,8,RLLC,inhabité_MALE_G.wav,inhabité_FEMALE_C.wav
tatoueur,8,RLLC,tatoueur_MALE_G.wav,tatoueur_FEMALE_C.wav
rudement,8,RLLC,rudement_MALE_G.wav,rudement_FEMALE_C.wav
salivant,8,RLLC,salivant_MALE_G.wav,salivant_FEMALE_C.wav
luisante,8,RLLC,luisante_MALE_G.wav,luisante_FEMALE_C.wav
tsariste,8,RLLC,tsariste_MALE_G.wav,tsariste_FEMALE_C.wav
brumeuse,8,RLLC,brumeuse_MALE_G.wav,brumeuse_FEMALE_C.wav
grillagée,9,RLLC,grillagée_MALE_G.wav,grillagée_FEMALE_C.wav
surestimé,9,RLLC,surestimé_MALE_G.wav,surestimé_FEMALE_C.wav
décompose,9,RLLC,décompose_MALE_G.wav,décompose_FEMALE_C.wav
