Word,Condition,Audio
allurement,RLLC,allurement_MALE_D.wav
tattooist,RLLC,tattooist_FEMALE_C.wav
tartness,RLLC,tartness_MALE_D.wav
adaptable,RLLC,adaptable_FEMALE_C.wav
woefully,RLLC,woefully_MALE_D.wav
egotistic,RLLC,egotistic_FEMALE_C.wav
sourness,RLLC,sourness_MALE_D.wav
scepticism,RLLC,scepticism_FEMALE_C.wav
chameleon,RLLS,chameleon_MALE_D.wav
scrabble,RLLS,scrabble_FEMALE_C.wav
hedgehog,RLLS,hedgehog_MALE_D.wav
fumigate,RLLS,fumigate_FEMALE_C.wav
avalanche,RLLS,avalanche_MALE_D.wav
hieroglyph,RLLS,hieroglyph_FEMALE_C.wav
chinchilla,RLLS,chinchilla_MALE_D.wav
blaspheme,RLLS,blaspheme_FEMALE_C.wav
oxen,RSLC,oxen_MALE_D.wav
idly,RSLC,idly_FEMALE_C.wav
pods,RSLC,pods_MALE_D.wav
unzip,RSLC,unzip_FEMALE_C.wav
surfer,RSLC,surfer_MALE_D.wav
shears,RSLC,shears_FEMALE_C.wav
mixer,RSLC,mixer_MALE_D.wav
mended,RSLC,mended_FEMALE_C.wav
truck,RSHS,truck_MALE_D.wav
sword,RSHS,sword_FEMALE_C.wav
guitar,RSHS,guitar_MALE_D.wav
iron,RSHS,iron_FEMALE_C.wav
jersey,RSHS,jersey_MALE_D.wav
phone,RSHS,phone_FEMALE_C.wav
camera,RSHS,camera_MALE_D.wav
large,RSHS,large_FEMALE_C.wav
satellite,RLHS,satellite_MALE_D.wav
establish,RLHS,establish_FEMALE_C.wav
immediate,RLHS,immediate_MALE_D.wav
straight,RLHS,straight_FEMALE_C.wav
architect,RLHS,architect_MALE_D.wav
phenomenon,RLHS,phenomenon_FEMALE_C.wav
shoulder,RLHS,shoulder_MALE_D.wav
discipline,RLHS,discipline_FEMALE_C.wav
balk,RSLS,balk_MALE_D.wav
broom,RSLS,broom_FEMALE_C.wav
ajar,RSLS,ajar_MALE_D.wav
leery,RSLS,leery_FEMALE_C.wav
ramble,RSLS,ramble_MALE_D.wav
hoist,RSLS,hoist_FEMALE_C.wav
trifle,RSLS,trifle_MALE_D.wav
quiver,RSLS,quiver_FEMALE_C.wav
theatrical,RLHC,theatrical_MALE_D.wav
receiving,RLHC,receiving_FEMALE_C.wav
criminals,RLHC,criminals_MALE_D.wav
mentally,RLHC,mentally_FEMALE_C.wav
impossible,RLHC,impossible_MALE_D.wav
disappear,RLHC,disappear_FEMALE_C.wav
beautiful,RLHC,beautiful_MALE_D.wav
clinical,RLHC,clinical_FEMALE_C.wav
lets,RSHC,lets_MALE_D.wav
daily,RSHC,daily_FEMALE_C.wav
unit,RSHC,unit_MALE_D.wav
actor,RSHC,actor_FEMALE_C.wav
hearts,RSHC,hearts_MALE_D.wav
easy,RSHC,easy_FEMALE_C.wav
stars,RSHC,stars_MALE_D.wav
worn,RSHC,worn_FEMALE_C.wav
submingers,PLC,submingers_MALE_D.wav
chriniable,PLC,chriniable_FEMALE_C.wav
alassfully,PLC,alassfully_MALE_D.wav
procreach,PLC,procreach_FEMALE_C.wav
reodeness,PLC,reodeness_MALE_D.wav
sprindly,PLC,sprindly_FEMALE_C.wav
trustler,PLC,trustler_MALE_D.wav
impolder,PLC,impolder_FEMALE_C.wav
artillise,PLS,artillise_MALE_D.wav
chamerane,PLS,chamerane_FEMALE_C.wav
tescootous,PLS,tescootous_MALE_D.wav
dritertoon,PLS,dritertoon_FEMALE_C.wav
gormassime,PLS,gormassime_MALE_D.wav
hospency,PLS,hospency_FEMALE_C.wav
currease,PLS,currease_MALE_D.wav
thildhoust,PLS,thildhoust_FEMALE_C.wav
alab,PSS,alab_MALE_D.wav
duid,PSS,duid_FEMALE_C.wav
japhen,PSS,japhen_MALE_D.wav
wrivol,PSS,wrivol_FEMALE_C.wav
rearce,PSS,rearce_MALE_D.wav
foab,PSS,foab_FEMALE_C.wav
lirce,PSS,lirce_MALE_D.wav
puivon,PSS,puivon_FEMALE_C.wav
flants,PSC,flants_MALE_D.wav
hexy,PSC,hexy_FEMALE_C.wav
rewn,PSC,rewn_MALE_D.wav
betor,PSC,betor_FEMALE_C.wav
misbar,PSC,misbar_MALE_D.wav
damer,PSC,damer_FEMALE_C.wav
icones,PSC,icones_MALE_D.wav
nory,PSC,nory_FEMALE_C.wav
