Word,Condition,Audio_Male,Audio_Female
infertile,RLLC,infertile_Rocko.wav,infertile_Flo.wav
egotistic,RLLC,egotistic_Rocko.wav,egotistic_Flo.wav
tartness,RLLC,tartness_Rocko.wav,tartness_Flo.wav
adaptable,RLLC,adaptable_Rocko.wav,adaptable_Flo.wav
whisperer,RLLC,whisperer_Rocko.wav,whisperer_Flo.wav
tattooist,RLLC,tattooist_Rocko.wav,tattooist_Flo.wav
sourness,RLLC,sourness_Rocko.wav,sourness_Flo.wav
disembark,RLLC,disembark_Rocko.wav,disembark_Flo.wav
impolite,RLLC,impolite_Rocko.wav,impolite_Flo.wav
woefully,RLLC,woefully_Rocko.wav,woefully_Flo.wav
etiquette,RLLS,etiquette_Rocko.wav,etiquette_Flo.wav
hedgehog,RLLS,hedgehog_Rocko.wav,hedgehog_Flo.wav
fumigate,RLLS,fumigate_Rocko.wav,fumigate_Flo.wav
avalanche,RLLS,avalanche_Rocko.wav,avalanche_Flo.wav
chameleon,RLLS,chameleon_Rocko.wav,chameleon_Flo.wav
boomerang,RLLS,boomerang_Rocko.wav,boomerang_Flo.wav
scrabble,RLLS,scrabble_Rocko.wav,scrabble_Flo.wav
blaspheme,RLLS,blaspheme_Rocko.wav,blaspheme_Flo.wav
trombone,RLLS,trombone_Rocko.wav,trombone_Flo.wav
gargoyle,RLLS,gargoyle_Rocko.wav,gargoyle_Flo.wav
shears,RSLC,shears_Rocko.wav,shears_Flo.wav
combs,RSLC,combs_Rocko.wav,combs_Flo.wav
shyly,RSLC,shyly_Rocko.wav,shyly_Flo.wav
surfer,RSLC,surfer_Rocko.wav,surfer_Flo.wav
orally,RSLC,orally_Rocko.wav,orally_Flo.wav
oxen,RSLC,oxen_Rocko.wav,oxen_Flo.wav
idly,RSLC,idly_Rocko.wav,idly_Flo.wav
pods,RSLC,pods_Rocko.wav,pods_Flo.wav
sows,RSLC,sows_Rocko.wav,sows_Flo.wav
mugs,RSLC,mugs_Rocko.wav,mugs_Flo.wav
unzip,RSLC,unzip_Rocko.wav,unzip_Flo.wav
inhale,RSLC,inhale_Rocko.wav,inhale_Flo.wav
mended,RSLC,mended_Rocko.wav,mended_Flo.wav
mixer,RSLC,mixer_Rocko.wav,mixer_Flo.wav
lamer,RSLC,lamer_Rocko.wav,lamer_Flo.wav
jersey,RSHS,jersey_Rocko.wav,jersey_Flo.wav
sword,RSHS,sword_Rocko.wav,sword_Flo.wav
phone,RSHS,phone_Rocko.wav,phone_Flo.wav
camera,RSHS,camera_Rocko.wav,camera_Flo.wav
strong,RSHS,strong_Rocko.wav,strong_Flo.wav
dare,RSHS,dare_Rocko.wav,dare_Flo.wav
rain,RSHS,rain_Rocko.wav,rain_Flo.wav
tank,RSHS,tank_Rocko.wav,tank_Flo.wav
iron,RSHS,iron_Rocko.wav,iron_Flo.wav
bear,RSHS,bear_Rocko.wav,bear_Flo.wav
radio,RSHS,radio_Rocko.wav,radio_Flo.wav
cherry,RSHS,cherry_Rocko.wav,cherry_Flo.wav
guitar,RSHS,guitar_Rocko.wav,guitar_Flo.wav
large,RSHS,large_Rocko.wav,large_Flo.wav
truck,RSHS,truck_Rocko.wav,truck_Flo.wav
establish,RLHS,establish_Rocko.wav,establish_Flo.wav
shoulder,RLHS,shoulder_Rocko.wav,shoulder_Flo.wav
straight,RLHS,straight_Rocko.wav,straight_Flo.wav
satellite,RLHS,satellite_Rocko.wav,satellite_Flo.wav
character,RLHS,character_Rocko.wav,character_Flo.wav
immediate,RLHS,immediate_Rocko.wav,immediate_Flo.wav
sandwich,RLHS,sandwich_Rocko.wav,sandwich_Flo.wav
