Word,Condition,Audio_Male,Audio_Female
infertile,RLLC,infertile_MALE_D.wav,infertile_FEMALE_C.wav
egotistic,RLLC,egotistic_MALE_D.wav,egotistic_FEMALE_C.wav
tartness,RLLC,tartness_MALE_D.wav,tartness_FEMALE_C.wav
adaptable,RLLC,adaptable_MALE_D.wav,adaptable_FEMALE_C.wav
whisperer,RLLC,whisperer_MALE_D.wav,whisperer_FEMALE_C.wav
tattooist,RLLC,tattooist_MALE_D.wav,tattooist_FEMALE_C.wav
sourness,RLLC,sourness_MALE_D.wav,sourness_FEMALE_C.wav
disembark,RLLC,disembark_MALE_D.wav,disembark_FEMALE_C.wav
impolite,RLLC,impolite_MALE_D.wav,impolite_FEMALE_C.wav
woefully,RLLC,woefully_MALE_D.wav,woefully_FEMALE_C.wav
etiquette,RLLS,etiquette_MALE_D.wav,etiquette_FEMALE_C.wav
hedgehog,RLLS,hedgehog_MALE_D.wav,hedgehog_FEMALE_C.wav
fumigate,RLLS,fumigate_MALE_D.wav,fumigate_FEMALE_C.wav
avalanche,RLLS,avalanche_MALE_D.wav,avalanche_FEMALE_C.wav
chameleon,RLLS,chameleon_MALE_D.wav,chameleon_FEMALE_C.wav
boomerang,RLLS,boomerang_MALE_D.wav,boomerang_FEMALE_C.wav
scrabble,RLLS,scrabble_MALE_D.wav,scrabble_FEMALE_C.wav
blaspheme,RLLS,blaspheme_MALE_D.wav,blaspheme_FEMALE_C.wav
trombone,RLLS,trombone_MALE_D.wav,trombone_FEMALE_C.wav
gargoyle,RLLS,gargoyle_MALE_D.wav,gargoyle_FEMALE_C.wav
shears,RSLC,shears_MALE_D.wav,shears_FEMALE_C.wav
combs,RSLC,combs_MALE_D.wav,combs_FEMALE_C.wav
shyly,RSLC,shyly_MALE_D.wav,shyly_FEMALE_C.wav
surfer,RSLC,surfer_MALE_D.wav,surfer_FEMALE_C.wav
orally,RSLC,orally_MALE_D.wav,orally_FEMALE_C.wav
oxen,RSLC,oxen_MALE_D.wav,oxen_FEMALE_C.wav
idly,RSLC,idly_MALE_D.wav,idly_FEMALE_C.wav
pods,RSLC,pods_MALE_D.wav,pods_FEMALE_C.wav
sows,RSLC,sows_MALE_D.wav,sows_FEMALE_C.wav
mugs,RSLC,mugs_MALE_D.wav,mugs_FEMALE_C.wav
unzip,RSLC,unzip_MALE_D.wav,unzip_FEMALE_C.wav
inhale,RSLC,inhale_MALE_D.wav,inhale_FEMALE_C.wav
mended,RSLC,mended_MALE_D.wav,mended_FEMALE_C.wav
mixer,RSLC,mixer_MALE_D.wav,mixer_FEMALE_C.wav
lamer,RSLC,lamer_MALE_D.wav,lamer_FEMALE_C.wav
jersey,RSHS,jersey_MALE_D.wav,jersey_FEMALE_C.wav
sword,RSHS,sword_MALE_D.wav,sword_FEMALE_C.wav
phone,RSHS,phone_MALE_D.wav,phone_FEMALE_C.wav
camera,RSHS,camera_MALE_D.wav,camera_FEMALE_C.wav
strong,RSHS,strong_MALE_D.wav,strong_FEMALE_C.wav
dare,RSHS,dare_MALE_D.wav,dare_FEMALE_C.wav
rain,RSHS,rain_MALE_D.wav,rain_FEMALE_C.wav
tank,RSHS,tank_MALE_D.wav,tank_FEMALE_C.wav
iron,RSHS,iron_MALE_D.wav,iron_FEMALE_C.wav
bear,RSHS,bear_MALE_D.wav,bear_FEMALE_C.wav
radio,RSHS,radio_MALE_D.wav,radio_FEMALE_C.wav
cherry,RSHS,cherry_MALE_D.wav,cherry_FEMALE_C.wav
guitar,RSHS,guitar_MALE_D.wav,guitar_FEMALE_C.wav
large,RSHS,large_MALE_D.wav,large_FEMALE_C.wav
truck,RSHS,truck_MALE_D.wav,truck_FEMALE_C.wav
establish,RLHS,establish_MALE_D.wav,establish_FEMALE_C.wav
shoulder,RLHS,shoulder_MALE_D.wav,shoulder_FEMALE_C.wav
straight,RLHS,straight_MALE_D.wav,straight_FEMALE_C.wav
satellite,RLHS,satellite_MALE_D.wav,satellite_FEMALE_C.wav
character,RLHS,character_MALE_D.wav,character_FEMALE_C.wav
immediate,RLHS,immediate_MALE_D.wav,immediate_FEMALE_C.wav
sandwich,RLHS,sandwich_MALE_D.wav,sandwich_FEMALE_C.wav
architect,RLHS,architect_MALE_D.wav,architect_FEMALE_C.wav
gorgeous,RLHS,gorgeous_MALE_D.wav,gorgeous_FEMALE_C.wav
calendar,RLHS,calendar_MALE_D.wav,calendar_FEMALE_C.wav
peddle,RSLS,peddle_MALE_D.wav,peddle_FEMALE_C.wav
hoist,RSLS,hoist_MALE_D.wav,hoist_FEMALE_C.wav
acorn,RSLS,acorn_MALE_D.wav,acorn_FEMALE_C.wav
ramble,RSLS,ramble_MALE_D.wav,ramble_FEMALE_C.wav
mingle,RSLS,mingle_MALE_D.wav,mingle_FEMALE_C.wav
quiver,RSLS,quiver_MALE_D.wav,quiver_FEMALE_C.wav
ajar,RSLS,ajar_MALE_D.wav,ajar_FEMALE_C.wav
balk,RSLS,balk_MALE_D.wav,balk_FEMALE_C.wav
lore,RSLS,lore_MALE_D.wav,lore_FEMALE_C.wav
rake,RSLS,rake_MALE_D.wav,rake_FEMALE_C.wav
heft,RSLS,heft_MALE_D.wav,heft_FEMALE_C.wav
scour,RSLS,scour_MALE_D.wav,scour_FEMALE_C.wav
trifle,RSLS,trifle_MALE_D.wav,trifle_FEMALE_C.wav
broom,RSLS,broom_MALE_D.wav,broom_FEMALE_C.wav
leery,RSLS,leery_MALE_D.wav,leery_FEMALE_C.wav
beautiful,RLHC,beautiful_MALE_D.wav,beautiful_FEMALE_C.wav
northern,RLHC,northern_MALE_D.wav,northern_FEMALE_C.wav
pictures,RLHC,pictures_MALE_D.wav,pictures_FEMALE_C.wav
seriously,RLHC,seriously_MALE_D.wav,seriously_FEMALE_C.wav
disappear,RLHC,disappear_MALE_D.wav,disappear_FEMALE_C.wav
receiving,RLHC,receiving_MALE_D.wav,receiving_FEMALE_C.wav
mentally,RLHC,mentally_MALE_D.wav,mentally_FEMALE_C.wav
criminals,RLHC,criminals_MALE_D.wav,criminals_FEMALE_C.wav
disagree,RLHC,disagree_MALE_D.wav,disagree_FEMALE_C.wav
clinical,RLHC,clinical_MALE_D.wav,clinical_FEMALE_C.wav
hearts,RSHC,hearts_MALE_D.wav,hearts_FEMALE_C.wav
daily,RSHC,daily_MALE_D.wav,daily_FEMALE_C.wav
actor,RSHC,actor_MALE_D.wav,actor_FEMALE_C.wav
writes,RSHC,writes_MALE_D.wav,writes_FEMALE_C.wav
across,RSHC,across_MALE_D.wav,across_FEMALE_C.wav
trains,RSHC,trains_MALE_D.wav,trains_FEMALE_C.wav
worn,RSHC,worn_MALE_D.wav,worn_FEMALE_C.wav
user,RSHC,user_MALE_D.wav,user_FEMALE_C.wav
unit,RSHC,unit_MALE_D.wav,unit_FEMALE_C.wav
