Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
usage,RSHC,5,,Visual,Speech,4.5
également,RLHC,9,,Visual,Speech,5.5
fuselé,RSLC,6,,Visual,Speech,5.0
surestimé,RLLC,9,,Visual,Speech,4.0
viande,RSHS,6,,Visual,Speech,6.0
marathon,RLHS,8,,Visual,Speech,5.0
nacre,RSLS,5,,Visual,Speech,5.5
emeraude,RLLS,8,,Visual,Speech,5.0
duage,PSC,5,,Visual,Speech,4.0
cabariste,PLC,9,,Visual,Speech,6.0
arcove,PSS,6,,Visual,Speech,5.0
pacheril,PLS,8,,Visual,Speech,4.5
final,RSHC,5,final_MALE_G.wav,Audio,Type,9.0
historien,RLHC,9,historien_FEMALE_C.wav,Audio,Type,10.0
irisé,RSLC,5,irisé_FEMALE_C.wav,Audio,Type,9.5
besogneux,RLLC,9,besogneux_FEMALE_C.wav,Audio,Type,10.5
soleil,RSHS,6,soleil_MALE_G.wav,Audio,Type,10.0
complexe,RLHS,8,complexe_FEMALE_C.wav,Audio,Type,10.0
marmot,RSLS,6,marmot_FEMALE_C.wav,Audio,Type,9.5
samouraï,RLLS,8,samouraï_MALE_G.wav,Audio,Type,10.0
étoda,PSC,5,étoda_FEMALE_C.wav,Audio,Type,10.5
instagne,PLC,8,instagne_FEMALE_C.wav,Audio,Type,9.0
jaren,PSS,5,jaren_MALE_G.wav,Audio,Type,11.0
roupiote,PLS,8,roupiote_FEMALE_C.wav,Audio,Type,11.0
rachat,RSHC,6,,Visual,Type,10.5
ignorance,RLHC,9,,Visual,Type,10.0
ancré,RSLC,5,,Visual,Type,10.0
détraqué,RLLC,8,,Visual,Type,9.0
jardin,RSHS,6,,Visual,Type,9.0
chocolat,RLHS,8,,Visual,Type,11.0
nectar,RSLS,6,,Visual,Type,11.0
esclandre,RLLS,9,,Visual,Type,9.5
cliard,PSC,6,,Visual,Type,10.5
bransier,PLC,8,,Visual,Type,10.0
lacèle,PSS,6,,Visual,Type,10.0
roduillon,PLS,9,,Visual,Type,9.5
sûreté,RSHC,6,sûreté_MALE_G.wav,Audio,Speech,5.0
peinture,RLHC,8,peinture_FEMALE_C.wav,Audio,Speech,5.0
usité,RSLC,5,usité_MALE_G.wav,Audio,Speech,5.0
salivant,RLLC,8,salivant_FEMALE_C.wav,Audio,Speech,6.0
moulin,RSHS,6,moulin_MALE_G.wav,Audio,Speech,5.5
satellite,RLHS,9,satellite_FEMALE_C.wav,Audio,Speech,6.0
prune,RSLS,5,prune_FEMALE_C.wav,Audio,Speech,4.5
salpêtre,RLLS,8,salpêtre_MALE_G.wav,Audio,Speech,4.0
récumi,PSC,6,récumi_MALE_G.wav,Audio,Speech,4.5
cirlement,PLC,9,cirlement_MALE_G.wav,Audio,Speech,5.5
vithe,PSS,5,vithe_FEMALE_C.wav,Audio,Speech,5.0
téralemet,PLS,9,téralemet_FEMALE_C.wav,Audio,Speech,4.0
