onset,type,stim
2000,picture,finger.png
5000,blank,
16000,picture,write.png
19000,blank,
21000,text,stress
34000,picture,write.png
37000,blank,
39000,text,tennis
50000,picture,finger.png
53000,blank,
66000,picture,write.png
69000,blank,
71000,text,vision
82000,picture,finger.png
85000,blank,
86000,picture,finger.png
89000,blank,
102000,picture,write.png
105000,blank,
115000,text,basket
126000,picture,finger.png
129000,blank,
142000,picture,write.png
145000,blank,
147000,text,nation
160000,picture,write.png
163000,blank,
165000,text,signal
176000,picture,finger.png
179000,blank,
