onset,type,stim
2000,picture,hum.png
5000,blank,
16000,picture,speech.png
19000,blank,
21000,text,signal
26000,text,invite
32000,picture,speech.png
35000,blank,
37000,text,tennis
42000,text,accent
50000,picture,hum.png
53000,blank,
64000,picture,speech.png
67000,blank,
69000,text,effort
74000,text,vision
82000,picture,hum.png
85000,blank,
98000,picture,hum.png
99000,blank,
110000,picture,speech.png
113000,blank,
115000,text,signal
120000,text,stress
128000,picture,hum.png
131000,blank,
142000,picture,speech.png
145000,blank,
147000,text,temple
152000,text,budget
158000,picture,speech.png
161000,blank,
163000,text,garage
168000,text,blonde
176000,picture,hum.png
179000,blank,
