cond,hasStar,rest,stim
wordEF,1,6000,17 14 04 15 18 20 05 06 01 09 13 07 16 02 10 11 08 12 00 03
Mu,0,6000,17 08 16 04 02 09 01 13 05 03 14 12 07 15 10 19 18 11 06 20
wordEF,0,6000,05 09 20 07 04 15 01 19 03 13 10 17 11 12 14 06 08 16 18 02
face,0,6000,13 12 03 10 15 04 01 14 16 02 08 05 18 17 11 07 06 09 20 19
wordC,0,6000,02 20 15 11 19 04 09 06 08 12 18 14 13 17 16 01 05 07 03 10
emoji,1,6000,09 11 05 12 07 20 06 14 13 02 17 04 03 00 01 16 08 19 15 18
wordEF,0,6000,10 17 07 04 09 08 12 20 06 01 19 11 13 02 14 16 05 03 15 18
Mu,0,6000,12 13 04 07 02 05 19 08 20 16 18 01 06 15 14 11 17 09 03 10
wordC,0,6000,01 02 09 06 16 10 07 12 13 08 03 17 04 19 15 11 14 05 20 18
face,0,6000,20 08 01 12 02 13 11 09 10 03 19 17 18 04 14 15 07 05 16 06
wordEF,1,6000,11 04 02 08 03 19 13 00 05 09 01 18 20 10 12 14 07 17 06 16
emoji,0,6000,05 09 03 18 13 20 11 12 02 15 04 19 06 16 08 01 07 10 14 17
wordEF,1,6000,19 18 09 05 04 01 02 13 08 11 15 12 16 10 07 06 20 14 00 17
Mu,1,6000,18 16 19 11 06 09 01 02 17 03 00 12 14 10 20 13 08 04 07 05
emoji,0,6000,01 11 13 18 03 08 19 20 10 15 02 09 05 04 17 06 07 14 16 12
wordEF,0,6000,07 14 16 03 13 06 08 18 04 17 10 19 09 15 20 02 05 12 01 11
face,0,6000,20 11 19 05 15 14 06 18 12 10 17 04 07 03 13 09 01 16 02 08
wordC,1,6000,15 13 20 16 14 17 00 08 01 06 02 18 11 05 10 12 19 04 07 03
