Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
remise,RSHC,6,remise_MALE_G.wav,Audio,Speech,5.0
tésin,PSS,6,tésin_MALE_G.wav,Audio,Speech,6.0
légume,RSLS,6,légume_MALE_G.wav,Audio,Speech,4.5
glonable,PLC,8,glonable_FEMALE_C.wav,Audio,Speech,5.5
séquence,RLHS,8,séquence_FEMALE_C.wav,Audio,Speech,6.0
fuselé,RSLC,6,fuselé_MALE_G.wav,Audio,Speech,4.5
également,RLHC,9,également_FEMALE_C.wav,Audio,Speech,5.0
margarine,RLLS,9,margarine_FEMALE_C.wav,Audio,Speech,4.0
tombe,RSHS,5,tombe_FEMALE_C.wav,Audio,Speech,4.0
luisante,RLLC,8,luisante_MALE_G.wav,Audio,Speech,5.0
chalgame,PLS,8,chalgame_FEMALE_C.wav,Audio,Speech,5.5
surpu,PSC,5,surpu_MALE_G.wav,Audio,Speech,5.0
carichier,PLC,9,,Visual,Write,10.0
feque,PSS,5,,Visual,Write,10.5
sphinx,RSLS,6,,Visual,Write,9.0
gariplete,PLS,9,,Visual,Write,10.0
mobilité,RLHC,8,,Visual,Write,11.0
survie,RSHC,6,,Visual,Write,11.0
crapuleux,RLLC,9,,Visual,Write,10.0
crème,RSHS,5,,Visual,Write,10.5
marathon,RLHS,8,,Visual,Write,9.5
hâtif,RSLC,5,,Visual,Write,9.5
genièvre,RLLS,8,,Visual,Write,10.0
hueur,PSC,5,,Visual,Write,9.0
argent,RSHS,6,,Visual,Speech,5.0
acajou,RSLS,6,,Visual,Speech,5.0
frontière,RLHS,9,,Visual,Speech,5.0
peinture,RLHC,8,,Visual,Speech,4.0
crémosant,PLC,9,,Visual,Speech,5.0
détria,PSC,6,,Visual,Speech,6.0
tolérable,RLLC,9,,Visual,Speech,4.5
fierté,RSHC,6,,Visual,Speech,5.5
emeraude,RLLS,8,,Visual,Speech,4.5
neunièle,PLS,8,,Visual,Speech,6.0
jaren,PSS,5,,Visual,Speech,5.5
dégel,RSLC,5,,Visual,Speech,4.0
surestimé,RLLC,9,surestimé_FEMALE_C.wav,Audio,Write,9.5
scandale,RLHS,8,scandale_FEMALE_C.wav,Audio,Write,10.0
deuxième,RLHC,8,deuxième_FEMALE_C.wav,Audio,Write,10.0
cireux,RSLC,6,cireux_FEMALE_C.wav,Audio,Write,10.5
pingle,PSS,6,pingle_FEMALE_C.wav,Audio,Write,10.0
bransier,PLC,8,bransier_FEMALE_C.wav,Audio,Write,9.0
revue,RSHC,5,revue_MALE_G.wav,Audio,Write,10.0
mammouth,RLLS,8,mammouth_MALE_G.wav,Audio,Write,11.0
roduillon,PLS,9,roduillon_MALE_G.wav,Audio,Write,10.5
gnome,RSLS,5,gnome_MALE_G.wav,Audio,Write,11.0
résem,PSC,5,résem_MALE_G.wav,Audio,Write,9.0
vidéo,RSHS,5,vidéo_FEMALE_C.wav,Audio,Write,9.5
