Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
indien,RSHC,6,,Visual,Speech,5.0
invisible,RLHC,9,,Visual,Speech,5.0
surestimé,RLLC,9,,Visual,Speech,5.0
corset,RSLS,6,,Visual,Speech,6.0
propre,RSHS,6,,Visual,Speech,4.5
spaghetti,RLLS,9,,Visual,Speech,5.5
bransier,PLC,8,,Visual,Speech,5.0
arcove,PSS,6,,Visual,Speech,4.0
surpu,PSC,5,,Visual,Speech,4.5
industrie,RLHS,9,,Visual,Speech,4.0
héricole,PLS,8,,Visual,Speech,6.0
élimé,RSLC,5,,Visual,Speech,5.5
actif,RSHC,5,actif_MALE_G.wav,Audio,Speech,4.5
sapis,PSS,5,sapis_FEMALE_C.wav,Audio,Speech,5.5
scandale,RLHS,8,scandale_FEMALE_C.wav,Audio,Speech,4.5
aubedulle,PLS,9,aubedulle_MALE_G.wav,Audio,Speech,6.0
nuage,RSHS,5,nuage_FEMALE_C.wav,Audio,Speech,5.0
usité,RSLC,5,usité_FEMALE_C.wav,Audio,Speech,4.0
kangourou,RLLS,9,kangourou_MALE_G.wav,Audio,Speech,6.0
forcément,RLHC,9,forcément_MALE_G.wav,Audio,Speech,5.0
rentonice,PLC,9,rentonice_FEMALE_C.wav,Audio,Speech,5.0
confiseur,RLLC,9,confiseur_FEMALE_C.wav,Audio,Speech,4.0
slagé,PSC,5,slagé_MALE_G.wav,Audio,Speech,5.0
ambre,RSLS,5,ambre_FEMALE_C.wav,Audio,Speech,5.5
blasphème,RLLS,9,blasphème_MALE_G.wav,Audio,Write,9.0
nacre,RSLS,5,nacre_FEMALE_C.wav,Audio,Write,10.0
incompoir,PLC,9,incompoir_MALE_G.wav,Audio,Write,10.0
lapin,RSHS,5,lapin_FEMALE_C.wav,Audio,Write,11.0
plivie,PSS,6,plivie_MALE_G.wav,Audio,Write,10.0
ritourque,PLS,9,ritourque_FEMALE_C.wav,Audio,Write,10.5
remporté,RLHC,8,remporté_MALE_G.wav,Audio,Write,10.0
indiscret,RLLC,9,indiscret_MALE_G.wav,Audio,Write,9.5
amitié,RSHC,6,amitié_FEMALE_C.wav,Audio,Write,10.5
marathon,RLHS,8,marathon_FEMALE_C.wav,Audio,Write,9.5
duage,PSC,5,duage_FEMALE_C.wav,Audio,Write,9.0
déplu,RSLC,5,déplu_FEMALE_C.wav,Audio,Write,11.0
carpe,RSLS,5,,Visual,Write,10.5
instagne,PLC,8,,Visual,Write,10.0
crapuleux,RLLC,9,,Visual,Write,9.0
tombe,RSHS,5,,Visual,Write,10.0
englué,RSLC,6,,Visual,Write,10.0
marim,PSS,5,,Visual,Write,9.5
usage,RSHC,5,,Visual,Write,10.0
brambouse,PLS,9,,Visual,Write,9.5
ignorance,RLHC,9,,Visual,Write,9.0
blité,PSC,5,,Visual,Write,10.5
seringue,RLLS,8,,Visual,Write,11.0
chocolat,RLHS,8,,Visual,Write,11.0
