Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
couchifia,PLC,9,couchifias_FEMALE_C.wav,Audio,Write,9.0
poulet,RSHS,6,poulet_FEMALE_C.wav,Audio,Write,10.5
manterer,PLS,9,manterer_MALE_G.wav,Audio,Write,11.0
saularion,PLC,9,saularion_FEMALE_C.wav,Audio,Write,9.5
heureuse,RLHS,8,heureuse_MALE_G.wav,Audio,Write,10.0
indulgent,RLLS,9,indulgent_FEMALE_C.wav,Audio,Speech,4.0
frabidase,PLC,9,frabidase_FEMALE_C.wav,Audio,Speech,4.5
mouton,RSHS,6,mouton_MALE_G.wav,Audio,Speech,5.5
concombre,RLLS,9,concombre_FEMALE_C.wav,Audio,Speech,5.0
tyrannie,RLLC,8,tyrannie_MALE_G.wav,Audio,Speech,6.0
concubine,RSLC,9,,Visual,Speech,5.0
sultaiton,RLLS,9,,Visual,Speech,5.0
malade,RSHS,6,,Visual,Speech,4.0
pulmatier,PLS,9,,Visual,Speech,5.5
terrasse,RLHS,8,,Visual,Speech,5.5
pavement,RLLC,8,,Visual,Write,10.5
évolution,RLHC,9,,Visual,Write,9.5
prexamen,PLC,8,,Visual,Write,9.0
charnière,RLLS,9,,Visual,Write,11.0
pollen,RSLS,6,,Visual,Write,10.0
