Word,Wordlength,Lexicality,Length,Morphology,Condition,Phonemes,num_phonemes,num_syllables,levenshtein_dist,normalized_levenshtein_dist,,Comments
anif,4,pseudo,short,complex,PSC,anif,4,1,1,0.25,,
déal,4,pseudo,short,complex,PSC,deal,3,1,1,0.25,,
déir,4,pseudo,short,complex,PSC,deiʁ,3,2,1,0.25,,
mori,4,pseudo,short,complex,PSC,moʁi,3,2,0,0,,
réir,4,pseudo,short,complex,PSC,ʁeiʁ,4,2,1,0.25,,
bueux,5,pseudo,short,complex,PSC,byø,4,1,1,0.2,,
galif,5,pseudo,short,complex,PSC,ɡalif,5,2,2,0.4,,
imbui,5,pseudo,short,complex,PSC,ɛ̃byi,4,2,1,0.2,,
implu,5,pseudo,short,complex,PSC,ɛ̃ply,5,2,2,0.4,,
malir,5,pseudo,short,complex,PSC,maliʁ,5,2,1,0.2,,
anisme,6,pseudo,short,complex,PSC,anism,6,1,1,0.1666666667,,
éniste,6,pseudo,short,complex,PSC,enist,6,1,2,0.3333333333,,
envoré,6,pseudo,short,complex,PSC,ɑ̃voʁe,5,3,1,0.1666666667,,
jourvu,6,pseudo,short,complex,PSC,ʒuʁvy,5,2,1,0.1666666667,,
poueur,6,pseudo,short,complex,PSC,pwœʁ,3,1,1,0.1666666667,,
défonnu,7,pseudo,long,complex,PLC,defɔny,7,3,2,0.2857142857,,
indonce,7,pseudo,long,complex,PLC,ɛ̃dɔ̃s,7,2,2,0.2857142857,,
justial,7,pseudo,long,complex,PLC,ʒystjal,8,2,2,0.2857142857,,
mélotir,7,pseudo,long,complex,PLC,melotiʁ,7,3,2,0.2857142857,,
podrome,7,pseudo,long,complex,PLC,podʁom,7,2,2,0.2857142857,,
glonable,8,pseudo,long,complex,PLC,ɡlonabl,8,2,2,0.25,,
instagne,8,pseudo,long,complex,PLC,ɛ̃staɲ,8,2,2,0.25,,
nonlexie,8,pseudo,long,complex,PLC,nɔ̃lɛksi,7,2,3,0.375,,
révoutir,8,pseudo,long,complex,PLC,ʁevutiʁ,8,3,2,0.25,,
surgalir,8,pseudo,long,complex,PLC,syʁɡaliʁ,8,3,2,0.25,,
branvalin,9,pseudo,long,complex,PLC,bʁɑ̃valɛ̃,9,3,3,0.3333333333,,
crémosant,9,pseudo,long,complex,PLC,kʁemozɑ̃,9,3,3,0.3333333333,,
incompoir,9,pseudo,long,complex,PLC,ɛ̃kɔ̃pwaʁ,10,3,2,0.2222222222,,
maloriste,9,pseudo,long,complex,PLC,maloʁist,9,3,2,0.2222222222,,
récortune,9,pseudo,long,complex,PLC,ʁekɔʁtyn,9,3,3,0.3333333333,,
cudathèque,10,pseudo,long,complex,PLC,kydatɛk,10,3,3,0.3,,
déclentilé,10,pseudo,long,complex,PLC,deklɑ̃tile,10,4,3,0.3,,
féminiseux,10,pseudo,long,complex,PLC,feminizø,10,4,3,0.3,,
frutroudit,10,pseudo,long,complex,PLC,fʁytʁudi,10,3,4,0.4,,
imigiserai,10,pseudo,long,complex,PLC,imiʒizʁe,10,4,3,0.3,,
gieu,4,pseudo,short,simple,PSS,ʒjø,2,1,1,0.25,,
lank,4,pseudo,short,simple,PSS,(en)laŋk(fr),4,1,1,0.25,,
pone,4,pseudo,short,simple,PSS,pɔn,3,1,1,0.25,,
sobe,4,pseudo,short,simple,PSS,sɔb,3,1,1,0.25,,
vage,4,pseudo,short,simple,PSS,vaʒ,3,1,1,0.25,,
gamal,5,pseudo,short,simple,PSS,ɡamal,4,2,1,0.2,,
hiave,5,pseudo,short,simple,PSS,jav,3,1,1,0.2,,
honou,5,pseudo,short,simple,PSS,onu,4,2,1,0.2,,
noilo,5,pseudo,short,simple,PSS,nwalo,4,2,2,0.4,,
prici,5,pseudo,short,simple,PSS,pʁisi,4,2,1,0.2,,
bagari,6,pseudo,short,simple,PSS,baɡaʁi,6,1,2,0.3333333333,,
bartel,6,pseudo,short,simple,PSS,baʁtɛl,6,2,1,0.1666666667,,
norfel,6,pseudo,short,simple,PSS,nɔʁfɛl,6,2,2,0.3333333333,,
paisin,6,pseudo,short,simple,PSS,pɛzɛ̃,5,2,1,0.1666666667,,
ralise,6,pseudo,short,simple,PSS,ʁaliz,6,2,1,0.1666666667,,
boutron,7,pseudo,long,simple,PLS,butʁɔ̃,6,2,1,0.1428571429,,
bouvoie,7,pseudo,long,simple,PLS,buvwa,6,2,2,0.2857142857,,
damallo,7,pseudo,long,simple,PLS,damalo,7,3,2,0.2857142857,,
langord,7,pseudo,long,simple,PLS,lɑ̃ɡɔʁ,7,2,2,0.2857142857,,
pafitre,7,pseudo,long,simple,PLS,pafitʁ,7,2,2,0.2857142857,,
carruque,8,pseudo,long,simple,PLS,kaʁyk,8,2,2,0.25,,
chalgame,8,pseudo,long,simple,PLS,ʃalɡam,7,2,2,0.25,,
héricole,8,pseudo,long,simple,PLS,eʁikɔl,8,3,2,0.25,,
pacheril,8,pseudo,long,simple,PLS,paʃʁil,8,3,3,0.375,,
rancolat,8,pseudo,long,simple,PLS,ʁɑ̃kola,8,3,3,0.375,,
aubedulle,9,pseudo,long,simple,PLS,obdyl,9,3,3,0.3333333333,,
dingouron,9,pseudo,long,simple,PLS,dɛ̃ɡuʁɔ̃,8,3,3,0.3333333333,,
ritourque,9,pseudo,long,simple,PLS,ʁituʁk,8,2,2,0.2222222222,,
sitralmet,9,pseudo,long,simple,PLS,sitʁalmɛ,9,3,4,0.4444444444,,
tibeline,9,pseudo,long,simple,PLS,tiblin,8,3,1,0.1111111111,,
coloccaphe,10,pseudo,long,simple,PLS,kolɔkaf,,3,4,0.4,,
évandestif,10,pseudo,long,simple,PLS,evɑ̃dɛstif,10,3,3,0.3,,
phalonnule,10,pseudo,long,simple,PLS,falɔnyl,10,3,4,0.4,,
télandolie,10,pseudo,long,simple,PLS,telɑ̃doli,11,4,2,0.2,,
troduiller,10,pseudo,long,simple,PLS,tʁodyije,,2,2,0.2,,
