Word,Wordlength,Length,Frequency,Morphology,Structure,Lexicality,Frequency,Zipf Frequency,Condition,Lemma,Zipf Lemma Frequency,Phonemes,num_phonemes,num_syllables,Difference,,,,,Comments/Suggestions
armé,4,short,high,complex,rs,real,high,4.21,RSHC,armer,3.5,aʁme,4,2,2,Orange = Ali Changed,,,,
fini,4,short,high,complex,rs,real,high,5.02,RSHC,finir,4.81,fini,4,2,2,,,,,
jugé,4,short,high,complex,rs,real,high,4.31,RSHC,juger,4.46,ʒyʒe,4,2,2,,,,,
sens,4,short,high,complex,rs,real,high,5.5,RSHC,sens,5.5,sɑ̃s,4,1,3,,,,,senir ? we want derivational not inflectional but might be impossible for 4-letters
voté,4,short,high,complex,rs,real,high,4.39,RSHC,voter,4.54,vote,4,2,2,,,,,
actif,5,short,high,complex,rs,real,high,4.49,RSHC,actif,4.49,aktif,5,2,3,,,,,
tueur,5,short,high,complex,rs,real,high,4.05,RSHC,tuer,4.77,tyœʁ,4,1,3,,,,,
remet,5,short,high,complex,pr,real,high,4.24,RSHC,met,5.12,ʁəmɛ,4,2,2,,,,,
prévu,5,short,high,complex,pr,real,high,4.78,RSHC,vue,5.37,pʁevy,5,2,3,,,,,
enfin,5,short,high,complex,pr,real,high,5.47,RSHC,fin,5.67,ɑ̃fɛ̃,5,2,3,,,,,
amitié,6,short,high,complex,rs,real,high,4.55,RSHC,ami,5.09,amitje,6,2,4,,,,,
fierté,6,short,high,complex,rs,real,high,4.21,RSHC,fier,4.54,fjɛʁte,6,2,4,,,,,
joueur,6,short,high,complex,rs,real,high,4.98,RSHC,jeu,5.49,ʒwœʁ,4,1,3,,,,,
prénom,6,short,high,complex,pr,real,high,4.48,RSHC,nom,5.59,pʁenɔ̃,6,2,4,,,,,
soirée,6,short,high,complex,rs,real,high,5,RSHC,soir,5.49,swaʁe,5,2,3,,,,,
peinture,8,long,high,complex,rs,real,high,4.61,RLHC,peint,4.14,pɛ̃tyʁ,6,2,4,,,,,"Gauchère (8, 2.38), Déborder (8, 3.37)  Retracer (8, 3.35), Exaltant (8, 2.83), Surclassé (9, 2.47)"
mobilité,8,long,high,complex,rs,real,high,4.14,RLHC,mobile,4.6,mobilite,8,4,4,,,,,"Détournée (9, 3.22), Réformera (9, 1.51), Prévoyant (9, 3.5), Déroulant (9, 3.96), Dévaluant (9, 1.38)"
deuxième,8,long,high,complex,rs,real,high,5.24,RLHC,deux,6.18,døzjɛm,6,1,5,,,,,
étudiant,8,long,high,complex,rs,real,high,4.54,RLHC,étude,5.09,etydjɑ̃,7,2,5,,,,,Notes: - I verified that the lemma frequency is in the same frequency category to maintain spread
sûrement,8,long,high,complex,rs,real,high,4.7,RLHC,sûre,4.43,syʁmɑ̃,6,3,3,,,,,- Attempting an even distribution of fixxes but perhaps too many 'dé'...
chanteuse,9,long,high,complex,rs,real,high,4.22,RLHC,chant,4.29,ʃɑ̃tøz,6,2,4,,,,,- Avoiding frequencies between 3.5-4 
éclairage,9,long,high,complex,prs,real,high,4.05,RLHC,clair,4.89,eklɛʁaʒ,7,2,5,,,,,- !! Higher frequency words more likely to not feel complex !!
découvert,9,long,high,complex,pr,real,high,4.72,RLHC,couvert,4.4,dekuvɛʁ,7,3,4,,,,,
également,9,long,high,complex,rs,real,high,5.59,RLHC,égal,4.23,eɡalmɑ̃,7,3,4,,,,,
antiquité,9,long,high,complex,rs,real,high,4.04,RLHC,antique,4.1,ɑ̃tikite,8,4,4,,,,,
artistique,10,long,high,complex,rss,real,high,4.42,RLHC,art,5.26,aʁtistik,8,3,5,,,,,
finalement,10,long,high,complex,rss,real,high,5.02,RLHC,finale,4.98,finalmɑ̃,8,4,4,,,,,
impossible,10,long,high,complex,pr,real,high,4.98,RLHC,possible,5.39,ɛ̃pɔsibl,8,3,5,,,,,"Habitude (8, 4.83), vraiment (8, 5.8), rarement (8, 4.49)"
incroyable,10,long,high,complex,pr,real,high,4.72,RLHC,croire,5.15,ɛ̃kʁwajabl,10,2,8,,,,,
visibilité,10,long,high,complex,rss,real,high,4.06,RLHC,visible,4.37,vizibilite,10,5,5,,,,,
sali,4,short,low,complex,rs,real,low,3.02,RSLC,salir,3.48,sali,4,2,2,,,These will have overlap w lemma frequency as cost to have quality derivational morphemes,,
têtu,4,short,low,complex,rs,real,low,3.23,RSLC,tête,5.53,tɛty,4,2,2,,,,,These are super hard to find!!!
îlot,4,short,low,complex,rs,real,low,3.38,RSLC,île,4.88,ilo,3,1,2,,,,,"sexualité (9, 3.98), mortalité (9, 3.93),  "
dupé,4,short,low,complex,rs,real,low,2.68,RSLC,dupe,3.36,dype,4,2,2,,,,,
zélé,4,short,low,complex,rs,real,low,2.84,RSLC,zèle,3.45,zele,4,2,2,,,,,
enfui,5,short,low,complex,pr,real,low,3.12,RSLC,fuir,4.2,ɑ̃fyi,5,2,3,,,"Important the morphemes are different phonetically (for when we use audio) (e.g., we can't use aérée =  aérer)",,
raton,5,short,low,complex,rs,real,low,3,RSLC,rat,3.9,ʁatɔ̃,5,2,3,,,,,
hâtif,5,short,low,complex,rs,real,low,3.44,RSLC,hâte,4.4,atif,4,2,2,,,,,
vitré ,5,short,low,complex,rs,real,low,3.12,RSLC,vitre,3.85,vitʁe,5,2,3,,,,,
fardé,5,short,low,complex,rs,real,low,1.47,RSLC,fard,3.02,faʁde,5,2,3,,,,,
gluant,6,short,low,complex,rs,real,low,2.7,RSLC,glu,2.68,ɡlyɑ̃,5,1,4,,,,,
nageur,6,short,low,complex,rs,real,low,3.32,RSLC,nage,3.79,naʒœʁ,5,2,3,,,,,
inapte,6,short,low,complex,pr,real,low,2.98,RSLC,apte,3.63,inapt,5,2,3,,,,,
