Pseudoword,Word,Lemma,prs,n_morphemes,Length
chevaret,chevalet,cheval,"(0, 1, 1)",2,8
centinge,centime,cent,"(0, 1, 1)",2,8
castingg,casting,cast,"(0, 1, 1)",2,8
casseyrs,casseurs,casser,"(0, 1, 1)",2,8
calriole,carriole,car,"(0, 1, 1)",2,8
camtique,cantique,chant,"(0, 1, 1)",2,8
cangdide,candide,candeur,"(0, 1, 1)",2,8
aqwarium,aquarium,aqua,"(0, 1, 1)",2,8
annwaire,annuaire,an,"(0, 1, 1)",2,8
cagneyse,cagneuse,cagne,"(0, 1, 1)",2,8
congtrer,contrer,contre,"(0, 1, 1)",2,8
comtenta,contenta,content,"(0, 1, 1)",2,8
comsulat,consulat,consul,"(0, 1, 1)",2,8
connelie,connerie,con,"(0, 1, 1)",2,8
conjugar,conjugal,conjuguer,"(0, 1, 1)",2,8
congique,conique,cône,"(0, 1, 1)",2,8
pingenta,pimenta,piment,"(0, 1, 1)",2,8
pirotage,pilotage,pilote,"(0, 1, 1)",2,8
pirlarde,pillarde,piller,"(0, 1, 1)",2,8
pierreyx,pierreux,pierre,"(0, 1, 1)",2,8
picoleur,picoreur,picor,"(0, 1, 1)",2,8
coquirle,coquille,coque,"(0, 1, 1)",2,8
comcerto,concerto,concert,"(0, 1, 1)",2,8
conmando,commando,commande,"(0, 1, 1)",2,8
piqwetés,piquetés,piquer,"(0, 1, 2)",3,8
pénarité,pénalité,pén,"(0, 1, 2)",3,8
passagel,passager,passe,"(0, 1, 2)",3,8
citadims,citadins,cité,"(0, 1, 1)",2,8
toyssota,toussota,toux,"(0, 1, 2)",3,8
absengce,absence,absent,"(0, 1, 1)",2,8
aboweurs,aboyeurs,aboi,"(0, 1, 1)",2,8
peyreuse,peureuse,peur,"(0, 1, 1)",2,8
fulibard,furibard,fur,"(0, 1, 1)",2,8
fwgitifs,fugitifs,fugue,"(0, 1, 1)",2,8
forcemée,forcenée,force,"(0, 1, 1)",2,8
festogns,festons,fête,"(0, 1, 1)",2,8
feelingg,feeling,feel,"(0, 1, 1)",2,8
exutoile,exutoire,exut,"(0, 1, 1)",2,8
exelcice,exercice,exerc,"(0, 1, 1)",2,8
empeleur,empereur,empire,"(0, 1, 1)",2,8
popurace,populace,popul,"(0, 1, 1)",2,8
perdagnt,perdant,perdre,"(0, 1, 1)",2,8
pelchoir,perchoir,perche,"(0, 1, 1)",2,8
pegnsant,pensant,penser,"(0, 1, 1)",2,8
pemderie,penderie,pendre,"(0, 1, 1)",2,8
peintyre,peinture,peint,"(0, 1, 1)",2,8
pédarait,pédalait,pédale,"(0, 1, 1)",2,8
émimence,éminence,éminent,"(0, 1, 1)",2,8
parqwait,parquait,parqu,"(0, 1, 1)",2,8
palolier,parolier,parole,"(0, 1, 1)",2,8
liblaire,libraire,livre,"(0, 1, 1)",2,8
horribre,horrible,horreur,"(0, 1, 1)",2,8
glutiers,grutiers,grue,"(0, 1, 1)",2,8
patromna,patronna,patron,"(0, 1, 1)",2,8
patlonat,patronat,patron,"(0, 1, 1)",2,8
patliote,patriote,patrie,"(0, 1, 1)",2,8
patiemte,patiente,patient,"(0, 1, 1)",2,8
paterner,paternel,père,"(0, 1, 1)",2,8
passoile,passoire,passe,"(0, 1, 1)",2,8
passangt,passant,passe,"(0, 1, 1)",2,8
passabre,passable,passe,"(0, 1, 1)",2,8
grobules,globules,globe,"(0, 1, 1)",2,8
gisangts,gisants,gésir,"(0, 1, 1)",2,8
gâtelies,gâteries,gât,"(0, 1, 1)",2,8
pressiom,pression,press,"(0, 1, 1)",2,8
plessing,pressing,press,"(0, 1, 1)",2,8
maréfice,maléfice,mal,"(0, 1, 1)",2,8
magmétos,magnétos,magnéto,"(0, 1, 1)",2,8
