Pseudoword,Word,Lemma,prs,n_morphemes,Length,Levenshtein Distance,Normalized Levenshtein Distance
calriole,carriole,car,"(0, 1, 1)",2,8,2,0.25
cagneyse,cagneuse,cagne,"(0, 1, 1)",2,8,2,0.25
pierreyx,pierreux,pierre,"(0, 1, 1)",2,8,2,0.25
picoleur,picoreur,picor,"(0, 1, 1)",2,8,2,0.25
toyssota,toussota,toux,"(0, 1, 2)",3,8,2,0.25
aboweurs,aboyeurs,aboi,"(0, 1, 1)",2,8,2,0.25
fulibard,furibard,fur,"(0, 1, 1)",2,8,3,0.375
pédarait,pédalait,pédale,"(0, 1, 1)",2,8,2,0.25
palolier,parolier,parole,"(0, 1, 1)",2,8,2,0.25
glutiers,grutiers,grue,"(0, 1, 1)",2,8,2,0.25
gâtelies,gâteries,gât,"(0, 1, 1)",2,8,2,0.25
maréfice,maléfice,mal,"(0, 1, 1)",2,8,2,0.25
palodiai,parodiai,parodie,"(0, 1, 1)",2,8,2,0.25
paperard,papelard,papel,"(0, 1, 1)",2,8,3,0.375
oyblieux,oublieux,oubli,"(0, 1, 1)",2,8,2,0.25
osswaire,ossuaire,os,"(0, 1, 1)",2,8,2,0.25
oldurier,ordurier,ordure,"(0, 1, 1)",2,8,2,0.25
owvreuse,ouvreuse,ouvrir,"(0, 1, 1)",2,8,2,0.25
ondurait,ondulait,onde,"(0, 1, 1)",2,8,3,0.375
pénaldes,pénardes,pén,"(0, 1, 1)",2,8,2,0.25
pallotes,parlotes,parler,"(0, 1, 1)",2,8,2,0.25
pimpamte,pimpante,pimp,"(0, 1, 1)",2,8,2,0.25
pétangte,pétante,pét,"(0, 1, 1)",2,8,2,0.2857142857142857
obsédamt,obsédant,obséder,"(0, 1, 1)",2,8,2,0.25
obsculci,obscurci,obscur,"(0, 1, 1)",2,8,2,0.25
purulemt,purulent,puruler,"(0, 1, 1)",2,8,2,0.25
pwrgatif,purgatif,purge,"(0, 1, 1)",2,8,2,0.25
nasaldes,nasardes,nez,"(0, 1, 1)",2,8,2,0.25
nappelon,napperon,nappe,"(0, 1, 1)",2,8,3,0.375
radotewr,radoteur,radoter,"(0, 1, 1)",2,8,2,0.25
légalait,régalait,régal,"(0, 1, 1)",2,8,2,0.25
laboteur,raboteur,rabot,"(0, 1, 1)",2,8,2,0.25
qyêteurs,quêteurs,quête,"(0, 1, 1)",2,8,2,0.25
camasson,canasson,canard,"(0, 1, 2)",3,8,2,0.25
nayséeux,nauséeux,nausée,"(0, 1, 1)",2,8,2,0.25
râlenent,râlement,râle,"(0, 1, 1)",2,8,2,0.25
ramorlis,ramollis,mou,"(2, 1, 1)",4,8,3,0.375
renawder,renauder,renaud,"(0, 1, 1)",2,8,2,0.25
rengédié,remédié,remède,"(0, 1, 1)",2,8,2,0.2857142857142857
rowgeaud,rougeaud,rouge,"(0, 1, 1)",2,8,2,0.25
ligolard,rigolard,rigoler,"(0, 1, 1)",2,8,2,0.25
modurait,modulait,module,"(0, 1, 1)",2,8,2,0.25
laffermi,raffermi,ferme,"(2, 1, 1)",4,8,3,0.375
rarliait,ralliait,lier,"(2, 1, 0)",3,8,2,0.25
moltifia,mortifia,mort,"(0, 1, 1)",2,8,2,0.25
minwteur,minuteur,minute,"(0, 1, 1)",2,8,2,0.25
ludoyant,rudoyant,rude,"(0, 1, 1)",2,8,2,0.25
lendorme,rendorme,dormir,"(2, 1, 0)",3,8,2,0.25
lemarche,remarche,marche,"(1, 1, 1)",3,8,2,0.25
savomner,savonner,savon,"(0, 1, 1)",2,8,2,0.25
refruait,refluait,flux,"(1, 1, 1)",3,8,2,0.25
lecoiffa,recoiffa,coiffe,"(1, 1, 1)",3,8,3,0.375
sarigaud,saligaud,sale,"(0, 1, 1)",2,8,2,0.25
lelooker,relooker,look,"(1, 1, 1)",3,8,3,0.375
siffrota,sifflota,siffler,"(0, 1, 1)",2,8,2,0.25
seuantes,seyantes,sey,"(0, 1, 1)",2,8,2,0.25
séminayx,séminaux,semence,"(0, 1, 1)",2,8,3,0.375
soûlongs,soûlons,saoul,"(0, 1, 1)",2,8,2,0.2857142857142857
reboycla,reboucla,boucle,"(1, 1, 1)",3,8,3,0.375
labougri,rabougri,bougre,"(1, 1, 1)",3,8,3,0.375
sinysite,sinusite,sinus,"(0, 1, 1)",2,8,3,0.375
rimaille,limaille,lime,"(0, 1, 1)",2,8,2,0.25
rigotage,ligotage,ligoter,"(0, 1, 1)",2,8,2,0.25
leulrent,leurrent,leurre,"(0, 1, 1)",2,8,2,0.25
tapaiemt,tapaient,tape,"(0, 1, 1)",2,8,2,0.25
tapageul,tapageur,tapage,"(0, 1, 1)",2,8,2,0.25
rampions,lampions,lampe,"(0, 1, 1)",2,8,2,0.25
laitewse,laiteuse,lait,"(0, 1, 1)",2,8,2,0.25
songewse,songeuse,songe,"(0, 1, 1)",2,8,2,0.25
jaldinet,jardinet,jardin,"(0, 1, 1)",2,8,2,0.25
succiong,succion,sucer,"(0, 1, 1)",2,8,2,0.2857142857142857
raitance,laitance,lait,"(0, 1, 1)",2,8,2,0.25
raideron,laideron,laid,"(0, 1, 1)",2,8,2,0.25
trafiqyé,trafiqué,trafic,"(0, 1, 1)",2,8,2,0.25
infanant,infamant,infâme,"(0, 1, 1)",2,8,2,0.25
tsaliste,tsariste,tsar,"(0, 1, 1)",2,8,2,0.25
tlottina,trottina,trot,"(0, 1, 1)",2,8,3,0.375
