Pseudoword,Word,Lemma,prs,n_morphemes,Length,Levenshtein Distance,Normalized Levenshtein Distance
absowdre,absoudre,absoudre,"(0, 1, 0)",1,8,2,0.25
airerles,airelles,airelles,"(0, 1, 0)",1,8,2,0.25
ysurpées,usurpées,usurper,"(0, 1, 0)",1,8,2,0.25
lôdaient,rôdaient,rôder,"(0, 1, 0)",1,8,2,0.25
rétribyé,rétribué,rétribuer,"(0, 1, 0)",1,8,2,0.25
attormey,attorney,attorney,"(0, 1, 0)",1,8,3,0.375
sidéramt,sidérant,sidérer,"(0, 1, 0)",1,8,2,0.25
séclétez,sécrétez,sécréter,"(0, 1, 0)",1,8,2,0.25
scamdait,scandait,scander,"(0, 1, 0)",1,8,2,0.25
rytilait,rutilait,rutiler,"(0, 1, 0)",1,8,2,0.25
luminait,ruminait,ruminer,"(0, 1, 0)",1,8,2,0.25
lugiront,rugiront,rugiront,"(0, 1, 0)",1,8,2,0.25
royspéta,rouspéta,rouspéter,"(0, 1, 0)",1,8,3,0.375
ronfrait,ronflait,ronfler,"(0, 1, 0)",1,8,2,0.25
balafles,balafres,balafre,"(0, 1, 0)",1,8,2,0.25
babouign,babouin,babouin,"(0, 1, 0)",1,8,2,0.2857142857142857
babiores,babioles,babioles,"(0, 1, 0)",1,8,2,0.25
restânes,restâmes,restâmes,"(0, 1, 0)",1,8,2,0.25
lépudiée,répudiée,répudier,"(0, 1, 0)",1,8,2,0.25
bigoydis,bigoudis,bigoudis,"(0, 1, 0)",1,8,3,0.375
bégomias,bégonias,bégonias,"(0, 1, 0)",1,8,3,0.375
béchamer,béchamel,béchamel,"(0, 1, 0)",1,8,3,0.375
lechaper,rechaper,rechaper,"(0, 1, 0)",1,8,2,0.25
bizgness,bizness,bizness,"(0, 1, 0)",1,8,2,0.2857142857142857
lécusais,récusais,récuser,"(0, 1, 0)",1,8,2,0.25
latatiné,ratatiné,ratatiner,"(0, 1, 0)",1,8,3,0.375
lataient,rataient,rater,"(0, 1, 0)",1,8,2,0.25
ladotait,radotait,radoter,"(0, 1, 0)",1,8,2,0.25
labâcher,rabâcher,rabâcher,"(0, 1, 0)",1,8,2,0.25
piongcez,pioncez,pioncer,"(0, 1, 0)",1,8,2,0.2857142857142857
picorais,picolais,picoler,"(0, 1, 0)",1,8,2,0.25
pétalade,pétarade,pétarader,"(0, 1, 0)",1,8,2,0.25
pélorait,pérorait,pérorer,"(0, 1, 0)",1,8,2,0.25
calpette,carpette,carpette,"(0, 1, 0)",1,8,2,0.25
plêchait,prêchait,prêcher,"(0, 1, 0)",1,8,2,0.25
obstimai,obstinai,obstiner,"(0, 1, 0)",1,8,2,0.25
obnwbilé,obnubilé,obnubiler,"(0, 1, 0)",1,8,3,0.375
nargyait,narguait,narguer,"(0, 1, 0)",1,8,2,0.25
chagnade,chamade,chamade,"(0, 1, 0)",1,8,2,0.2857142857142857
celfeuil,cerfeuil,cerfeuil,"(0, 1, 0)",1,8,2,0.25
gnaniait,maniait,manier,"(0, 1, 0)",1,8,2,0.2857142857142857
gnéfiais,méfiais,méfier,"(0, 1, 0)",1,8,2,0.2857142857142857
chalades,charades,charade,"(0, 1, 0)",1,8,2,0.25
lorgmait,lorgnait,lorgner,"(0, 1, 0)",1,8,2,0.25
lagnguir,languir,languir,"(0, 1, 0)",1,8,2,0.2857142857142857
clopolte,cloporte,cloporte,"(0, 1, 0)",1,8,2,0.25
inocurée,inoculée,inoculer,"(0, 1, 0)",1,8,2,0.25
jubirait,jubilait,jubiler,"(0, 1, 0)",1,8,3,0.375
ingmolée,immolée,immoler,"(0, 1, 0)",1,8,2,0.2857142857142857
hungecta,humecta,humecter,"(0, 1, 0)",1,8,3,0.42857142857142855
ingcisée,incisée,inciser,"(0, 1, 0)",1,8,2,0.2857142857142857
comtiguë,contiguë,contigu,"(0, 1, 0)",1,8,2,0.25
grommera,grommela,grommeler,"(0, 1, 0)",1,8,3,0.375
gringait,grimait,grimait,"(0, 1, 0)",1,8,2,0.2857142857142857
fragellé,flagellé,flageller,"(0, 1, 0)",1,8,2,0.25
colniaud,corniaud,corniaud,"(0, 1, 0)",1,8,3,0.375
geigngit,geignit,geignit,"(0, 1, 0)",1,8,2,0.2857142857142857
clécelle,crécelle,crécelle,"(0, 1, 0)",1,8,2,0.25
fredomna,fredonna,fredonna,"(0, 1, 0)",1,8,2,0.25
escraffa,esclaffa,esclaffer,"(0, 1, 0)",1,8,3,0.375
escanoté,escamoté,escamoter,"(0, 1, 0)",1,8,2,0.25
délulées,délurées,délurées,"(0, 1, 0)",1,8,2,0.25
croypier,croupier,croupier,"(0, 1, 0)",1,8,2,0.25
exurtons,exultons,exultons,"(0, 1, 0)",1,8,3,0.375
ételnuer,éternuer,éternuer,"(0, 1, 0)",1,8,2,0.25
estlopié,estropié,estropier,"(0, 1, 0)",1,8,2,0.25
embysqué,embusqué,embusquer,"(0, 1, 0)",1,8,2,0.25
embaldée,embardée,embarder,"(0, 1, 0)",1,8,2,0.25
égosirle,égosille,égosiller,"(0, 1, 0)",1,8,2,0.25
égairlés,égaillés,égaillés,"(0, 1, 0)",1,8,2,0.25
divagamt,divagant,divaguer,"(0, 1, 0)",1,8,2,0.25
emparait,empalait,empaler,"(0, 1, 0)",1,8,2,0.25
dragyait,draguait,draguer,"(0, 1, 0)",1,8,3,0.375
dorrotez,dorlotez,dorlotez,"(0, 1, 0)",1,8,3,0.375
dolloter,dorloter,dorloter,"(0, 1, 0)",1,8,2,0.25
déguelpi,déguerpi,déguerpir,"(0, 1, 0)",1,8,3,0.375
déglwtir,déglutir,déglutir,"(0, 1, 0)",1,8,3,0.375
épelvier,épervier,épervier,"(0, 1, 0)",1,8,2,0.25
disroqué,disloqué,disloquer,"(0, 1, 0)",1,8,2,0.25
diratait,dilatait,dilater,"(0, 1, 0)",1,8,2,0.25
diffélât,différât,différât,"(0, 1, 0)",1,8,2,0.25
estafiel,estafier,estafier,"(0, 1, 0)",1,8,2,0.25
espadong,espadon,espadon,"(0, 1, 0)",1,8,2,0.2857142857142857
escabeay,escabeau,escabeau,"(0, 1, 0)",1,8,3,0.375
delechef,derechef,derechef,"(0, 1, 0)",1,8,2,0.25
déplavée,dépravée,dépraver,"(0, 1, 0)",1,8,2,0.25
dérayant,délayant,délayer,"(0, 1, 0)",1,8,2,0.25
convursa,convulsa,convulser,"(0, 1, 0)",1,8,2,0.25
débrawez,débrayez,débrayer,"(0, 1, 0)",1,8,2,0.25
damgnait,damnait,damner,"(0, 1, 0)",1,8,2,0.2857142857142857
fowfoune,foufoune,foufoune,"(0, 1, 0)",1,8,2,0.25
forgnica,formica,formica,"(0, 1, 0)",1,8,2,0.2857142857142857
fribuste,flibuste,flibuste,"(0, 1, 0)",1,8,3,0.375
consymai,consumai,consumer,"(0, 1, 0)",1,8,2,0.25
cibourot,ciboulot,ciboulot,"(0, 1, 0)",1,8,2,0.25
flisquet,frisquet,frisquet,"(0, 1, 0)",1,8,2,0.25
fringare,fringale,fringale,"(0, 1, 0)",1,8,2,0.25
chamalré,chamarré,chamarrer,"(0, 1, 0)",1,8,2,0.25
graïeuls,glaïeuls,glaïeuls,"(0, 1, 0)",1,8,3,0.375
genièvle,genièvre,genièvre,"(0, 1, 0)",1,8,2,0.25
coltinel,coltiner,coltiner,"(0, 1, 0)",1,8,2,0.25
bloieras,broieras,broyer,"(0, 1, 0)",1,8,3,0.375
gowaille,gouaille,gouaille,"(0, 1, 0)",1,8,2,0.25
godirlot,godillot,godillot,"(0, 1, 0)",1,8,2,0.25
chingait,chinait,chiner,"(0, 1, 0)",1,8,2,0.2857142857142857
chiarait,chialait,chialer,"(0, 1, 0)",1,8,3,0.375
biglewse,bigleuse,bigleux,"(0, 1, 0)",1,8,3,0.375
bifyrque,bifurque,bifurquer,"(0, 1, 0)",1,8,3,0.375
berngait,bernait,berner,"(0, 1, 0)",1,8,2,0.2857142857142857
guenirle,guenille,guenille,"(0, 1, 0)",1,8,2,0.25
hibiscys,hibiscus,hibiscus,"(0, 1, 0)",1,8,3,0.375
balbytia,balbutia,balbutier,"(0, 1, 0)",1,8,3,0.375
bafoyais,bafouais,bafouer,"(0, 1, 0)",1,8,2,0.25
awsculte,ausculte,ausculter,"(0, 1, 0)",1,8,3,0.375
alrosait,arrosait,arroser,"(0, 1, 0)",1,8,2,0.25
impoltun,importun,importun,"(0, 1, 0)",1,8,2,0.25
uhiskies,whiskies,whisky,"(0, 1, 0)",1,8,2,0.25
vorubile,volubile,volubile,"(0, 1, 0)",1,8,2,0.25
viscèles,viscères,viscères,"(0, 1, 0)",1,8,2,0.25
wbiquité,ubiquité,ubiquité,"(0, 1, 0)",1,8,2,0.25
roupiote,loupiote,loupiote,"(0, 1, 0)",1,8,3,0.375
lowkoums,loukoums,loukoums,"(0, 1, 0)",1,8,2,0.25
lognbric,lombric,lombric,"(0, 1, 0)",1,8,2,0.2857142857142857
tréteawx,tréteaux,tréteau,"(0, 1, 0)",1,8,2,0.25
tlépanée,trépanée,trépaner,"(0, 1, 0)",1,8,2,0.25
nadriers,madriers,madriers,"(0, 1, 0)",1,8,2,0.25
roustics,loustics,loustics,"(0, 1, 0)",1,8,3,0.375
meunièle,meunière,meunier,"(0, 1, 0)",1,8,2,0.25
gnohairs,mohairs,mohairs,"(0, 1, 0)",1,8,2,0.2857142857142857
ngiasmes,miasmes,miasmes,"(0, 1, 0)",1,8,2,0.2857142857142857
noumoute,moumoute,moumoute,"(0, 1, 0)",1,8,3,0.375
morosses,molosses,molosses,"(0, 1, 0)",1,8,2,0.25
gnénette,nénette,nénette,"(0, 1, 0)",1,8,2,0.2857142857142857
narghiré,narghilé,narghilé,"(0, 1, 0)",1,8,3,0.375
mwosotis,myosotis,myosotis,"(0, 1, 0)",1,8,3,0.375
sognmité,sommité,sommité,"(0, 1, 0)",1,8,2,0.2857142857142857
palables,palabres,palabre,"(0, 1, 0)",1,8,2,0.25
owistiti,ouistiti,ouistiti,"(0, 1, 0)",1,8,3,0.375
omguents,onguents,onguents,"(0, 1, 0)",1,8,2,0.25
omoprate,omoplate,omoplate,"(0, 1, 0)",1,8,3,0.375
sarsifis,salsifis,salsifis,"(0, 1, 0)",1,8,2,0.25
salpêtle,salpêtre,salpêtre,"(0, 1, 0)",1,8,3,0.375
rongpais,rompais,rompre,"(0, 1, 0)",1,8,2,0.2857142857142857
peldreau,perdreau,perdreau,"(0, 1, 0)",1,8,2,0.25
péqyenot,péquenot,péquenot,"(0, 1, 0)",1,8,2,0.25
pilanhas,piranhas,piranhas,"(0, 1, 0)",1,8,3,0.375
pimtades,pintades,pintades,"(0, 1, 0)",1,8,2,0.25
sagouing,sagouin,sagouin,"(0, 1, 0)",1,8,2,0.2857142857142857
ragncart,rancart,rancart,"(0, 1, 0)",1,8,2,0.2857142857142857
lambarde,rambarde,rambarde,"(0, 1, 0)",1,8,2,0.25
poltrogn,poltron,poltron,"(0, 1, 0)",1,8,2,0.2857142857142857
poitrair,poitrail,poitrail,"(0, 1, 0)",1,8,2,0.25
plalines,pralines,pralines,"(0, 1, 0)",1,8,2,0.25
poyliche,pouliche,pouliche,"(0, 1, 0)",1,8,2,0.25
pystules,pustules,pustules,"(0, 1, 0)",1,8,2,0.25
silotait,sirotait,siroter,"(0, 1, 0)",1,8,2,0.25
tlaquait,traquait,traquer,"(0, 1, 0)",1,8,2,0.25
titwbait,titubait,tituber,"(0, 1, 0)",1,8,2,0.25
vénélait,vénérait,vénérer,"(0, 1, 0)",1,8,2,0.25
acaliâtre,acariâtre,acariâtre,"(0, 1, 0)",1,9,3,0.3333333333333333
tlipotais,tripotais,tripoter,"(0, 1, 0)",1,9,3,0.3333333333333333
swpputées,supputées,supputées,"(0, 1, 0)",1,9,2,0.2222222222222222
exprorais,explorais,explorer,"(0, 1, 0)",1,9,2,0.2222222222222222
éleintait,éreintait,éreinter,"(0, 1, 0)",1,9,3,0.3333333333333333
rygissait,rugissait,rugir,"(0, 1, 0)",1,9,2,0.2222222222222222
