Pseudoword,Word,Lemma,prs,n_morphemes,Length
îrot,îlot,île,"(0, 1, 1)",2,4
têtw,têtu,tête,"(0, 1, 1)",2,4
saré,salé,sel,"(0, 1, 1)",2,4
sari,sali,sale,"(0, 1, 1)",2,4
tila,tira,tir,"(0, 1, 1)",2,4
avar,aval,valoir,"(1, 1, 0)",2,4
lidé,ridé,ride,"(0, 1, 1)",2,4
lêva,rêva,rêve,"(0, 1, 1)",2,4
talé,taré,tare,"(0, 1, 1)",2,4
vora,vola,vol,"(0, 1, 1)",2,4
zéré,zélé,zèle,"(0, 1, 1)",2,4
almé,armé,arme,"(0, 1, 1)",2,4
airé,ailé,aile,"(0, 1, 1)",2,4
rysé,rusé,ruse,"(0, 1, 1)",2,4
losé,rosé,rose,"(0, 1, 1)",2,4
liva,riva,rive,"(0, 1, 1)",2,4
olal,oral,oro,"(0, 1, 1)",2,4
pâri,pâli,pâle,"(0, 1, 1)",2,4
ardw,ardu,ard,"(0, 1, 1)",2,4
hâré,hâlé,hâle,"(0, 1, 1)",2,4
rogé,logé,loge,"(0, 1, 1)",2,4
robé,lobé,lob,"(0, 1, 1)",2,4
jwgé,jugé,juge,"(0, 1, 1)",2,4
mulé,muré,mur,"(0, 1, 1)",2,4
cilé,ciré,cire,"(0, 1, 1)",2,4
dypé,dupé,dupe,"(0, 1, 1)",2,4
clia,cria,cri,"(0, 1, 1)",2,4
anar,anal,anus,"(0, 1, 1)",2,4
fira,fila,fil,"(0, 1, 1)",2,4
anena,amena,mener,"(1, 1, 0)",2,5
déger,dégel,gel,"(1, 1, 0)",2,5
anont,amont,mont,"(1, 1, 0)",2,5
voira,voila,voile,"(0, 1, 1)",2,5
vitlé,vitré,vitre,"(0, 1, 1)",2,5
veldi,verdi,vert,"(0, 1, 1)",2,5
remom,renom,nom,"(1, 1, 0)",2,5
lefit,refit,fier,"(1, 1, 0)",2,5
éplis,épris,prendre,"(1, 1, 0)",2,5
accry,accru,cru,"(1, 1, 0)",2,5
revwe,revue,vue,"(1, 1, 0)",2,5
levêt,revêt,vêtir,"(1, 1, 0)",2,5
repri,repli,pli,"(1, 1, 0)",2,5
tétom,téton,téter,"(0, 1, 1)",2,5
têtwe,têtue,tête,"(0, 1, 1)",2,5
abold,abord,bord,"(1, 1, 0)",2,5
sweur,sueur,suer,"(0, 1, 1)",2,5
tenpo,tempo,temps,"(0, 1, 1)",2,5
zébla,zébra,zébr,"(0, 1, 1)",2,5
talda,tarda,tard,"(0, 1, 1)",2,5
suclé,sucré,sucre,"(0, 1, 1)",2,5
sowpé,soupé,soupe,"(0, 1, 1)",2,5
déria,délia,lier,"(1, 1, 0)",2,5
déplw,déplu,plu,"(1, 1, 0)",2,5
lisée,risée,rire,"(0, 1, 1)",2,5
ratom,raton,rat,"(0, 1, 1)",2,5
éclia,écria,cri,"(1, 1, 1)",3,5
égawé,égayé,gay,"(1, 1, 1)",3,5
prévy,prévu,vue,"(1, 1, 0)",2,5
léagi,réagi,agir,"(1, 1, 0)",2,5
ysagé,usagé,user,"(0, 1, 2)",3,5
rogis,logis,loge,"(0, 1, 1)",2,5
rueur,lueur,lire,"(0, 1, 1)",2,5
léuni,réuni,un,"(1, 1, 1)",3,5
fligo,frigo,froid,"(0, 1, 1)",2,5
régra,régla,règle,"(0, 1, 1)",2,5
régro,réglo,règle,"(0, 1, 1)",2,5
sawta,sauta,saut,"(0, 1, 1)",2,5
skiel,skier,ski,"(0, 1, 1)",2,5
sarua,salua,salut,"(0, 1, 1)",2,5
ynion,union,un,"(0, 1, 1)",2,5
ysage,usage,user,"(0, 1, 1)",2,5
ysure,usure,user,"(0, 1, 1)",2,5
taxel,taxer,taxe,"(0, 1, 1)",2,5
tweur,tueur,tuer,"(0, 1, 1)",2,5
tlaça,traça,trace,"(0, 1, 1)",2,5
ysité,usité,user,"(0, 1, 1)",2,5
somna,sonna,son,"(0, 1, 1)",2,5
aélée,aérée,aéro,"(0, 1, 1)",2,5
pwlsé,pulsé,puls,"(0, 1, 1)",2,5
aigli,aigri,aigre,"(0, 1, 1)",2,5
pawma,pauma,paume,"(0, 1, 1)",2,5
palti,parti,partir,"(0, 1, 1)",2,5
légie,régie,régir,"(0, 1, 1)",2,5
laidi,raidi,raide,"(0, 1, 1)",2,5
pwrgé,purgé,purge,"(0, 1, 1)",2,5
palia,paria,pari,"(0, 1, 1)",2,5
anclé,ancré,ancre,"(0, 1, 1)",2,5
pentw,pentu,pente,"(0, 1, 1)",2,5
arpin,alpin,alpes,"(0, 1, 1)",2,5
mulal,mural,mur,"(0, 1, 1)",2,5
mwret,muret,mur,"(0, 1, 1)",2,5
ngûri,mûri,mûr,"(0, 1, 1)",2,5
luiné,ruiné,ruine,"(0, 1, 1)",2,5
saclé,sacré,sacre,"(0, 1, 1)",2,5
aboua,aboya,aboi,"(0, 1, 1)",2,5
losie,rosie,rose,"(0, 1, 1)",2,5
gnisa,misa,mise,"(0, 1, 1)",2,5
nonma,nomma,nom,"(0, 1, 1)",2,5
gnagé,nagé,nage,"(0, 1, 1)",2,5
macré,nacré,nacre,"(0, 1, 1)",2,5
balra,barra,barre,"(0, 1, 1)",2,5
barby,barbu,barbe,"(0, 1, 1)",2,5
bilel,biler,bile,"(0, 1, 1)",2,5
mitel,miter,mettre,"(0, 1, 1)",2,5
ronge,longe,long,"(0, 1, 1)",2,5
lotil,lotir,lot,"(0, 1, 1)",2,5
malée,marée,mare,"(0, 1, 1)",2,5
lytta,lutta,lutte,"(0, 1, 1)",2,5
jowet,jouet,jouer,"(0, 1, 1)",2,5
jupom,jupon,jupe,"(0, 1, 1)",2,5
racet,lacet,lacer,"(0, 1, 1)",2,5
morlo,mollo,mou,"(0, 1, 1)",2,5
racis,lacis,lacer,"(0, 1, 1)",2,5
raqué,laqué,laque,"(0, 1, 1)",2,5
resté,lesté,lest,"(0, 1, 1)",2,5
lardy,lardu,lard,"(0, 1, 1)",2,5
bolna,borna,borne,"(0, 1, 1)",2,5
bossy,bossu,boss,"(0, 1, 1)",2,5
boxel,boxer,box,"(0, 1, 1)",2,5
bomdé,bondé,bond,"(0, 1, 1)",2,5
blisa,brisa,bris,"(0, 1, 1)",2,5
golgé,gorgé,gorge,"(0, 1, 1)",2,5
gyida,guida,guide,"(0, 1, 1)",2,5
remia,renia,nier,"(1, 1, 0)",2,5
enjey,enjeu,jeu,"(1, 1, 0)",2,5
envor,envol,vol,"(1, 1, 0)",2,5
inowï,inouï,ouïr,"(1, 1, 0)",2,5
arlie,allie,lier,"(1, 1, 0)",2,5
galda,garda,garde,"(0, 1, 1)",2,5
jeûma,jeûna,jeûne,"(0, 1, 1)",2,5
ilisé,irisé,iris,"(0, 1, 1)",2,5
idéar,idéal,idée,"(0, 1, 1)",2,5
huiré,huilé,huile,"(0, 1, 1)",2,5
casel,caser,cas,"(0, 1, 1)",2,5
graça,glaça,glace,"(0, 1, 1)",2,5
gênga,gêna,gêne,"(0, 1, 1)",2,5
cibré,ciblé,cible,"(0, 1, 1)",2,5
folcé,forcé,force,"(0, 1, 1)",2,5
folma,forma,forme,"(0, 1, 1)",2,5
folgé,forgé,forge,"(0, 1, 1)",2,5
fwmet,fumet,fumer,"(0, 1, 1)",2,5
cawsa,causa,cause,"(0, 1, 1)",2,5
chyté,chuté,chute,"(0, 1, 1)",2,5
gifra,gifla,gifle,"(0, 1, 1)",2,5
exiré,exilé,exil,"(0, 1, 1)",2,5
fingi,fini,fin,"(0, 1, 1)",2,5
felré,ferré,fer,"(0, 1, 1)",2,5
falci,farci,farce,"(0, 1, 1)",2,5
corla,colla,colle,"(0, 1, 1)",2,5
cowdé,coudé,coude,"(0, 1, 1)",2,5
faldé,fardé,fard,"(0, 1, 1)",2,5
croua,cloua,clou,"(0, 1, 1)",2,5
dlapé,drapé,drap,"(0, 1, 1)",2,5
dilye,dilue,dilu,"(0, 1, 1)",2,5
dulci,durci,dur,"(0, 1, 1)",2,5
dwché,duché,duc,"(0, 1, 1)",2,5
clado,crado,crade,"(0, 1, 1)",2,5
clêpé,crêpé,crêpe,"(0, 1, 1)",2,5
cuvel,cuver,cuve,"(0, 1, 1)",2,5
carma,calma,calme,"(0, 1, 1)",2,5
darlé,dallé,dalle,"(0, 1, 1)",2,5
danez,damez,dame,"(0, 1, 1)",2,5
bisow,bisou,bise,"(0, 1, 1)",2,5
calgo,cargo,charge,"(0, 1, 1)",2,5
conté,comté,comte,"(0, 1, 1)",2,5
éliné,élimé,lime,"(1, 1, 1)",3,5
étila,étira,tir,"(1, 1, 1)",3,5
letapé,retapé,tape,"(1, 1, 1)",3,6
leplia,replia,pli,"(1, 1, 1)",3,6
lavisa,ravisa,avis,"(1, 1, 1)",3,6
intwbe,intube,tube,"(1, 1, 1)",3,6
imonda,inonda,onde,"(1, 1, 1)",3,6
évemte,évente,vent,"(1, 1, 1)",3,6
enloua,enroua,rou,"(1, 1, 1)",3,6
enlage,enrage,rage,"(1, 1, 1)",3,6
englyé,englué,glu,"(1, 1, 1)",3,6
emcodé,encodé,code,"(1, 1, 1)",3,6
enpira,empira,pire,"(1, 1, 1)",3,6
empira,empila,pil,"(1, 1, 1)",3,6
emmwra,emmura,mur,"(1, 1, 1)",3,6
embyer,embuer,buer,"(1, 1, 1)",3,6
fories,folies,fou,"(0, 1, 1)",2,6
filims,filins,fil,"(0, 1, 1)",2,6
féelie,féerie,fée,"(0, 1, 1)",2,6
caveaw,caveau,cave,"(0, 1, 1)",2,6
bétair,bétail,beta,"(0, 1, 1)",2,6
belger,berger,berg,"(0, 1, 1)",2,6
almure,armure,arme,"(0, 1, 1)",2,6
almada,armada,arme,"(0, 1, 1)",2,6
alchet,archet,arche,"(0, 1, 1)",2,6
alcher,archer,arche,"(0, 1, 1)",2,6
alcade,arcade,arc,"(0, 1, 1)",2,6
anitié,amitié,ami,"(0, 1, 1)",2,6
dangsa,dansa,danse,"(0, 1, 1)",2,6
cyivré,cuivré,cuivre,"(0, 1, 1)",2,6
cwbain,cubain,cuba,"(0, 1, 1)",2,6
clypté,crypté,crypt,"(0, 1, 1)",2,6
cloisa,croisa,croix,"(0, 1, 1)",2,6
cliard,criard,cri,"(0, 1, 1)",2,6
cliant,criant,cri,"(0, 1, 1)",2,6
crewsa,creusa,creux,"(0, 1, 1)",2,6
clashé,crashé,crash,"(0, 1, 1)",2,6
cowrba,courba,courbe,"(0, 1, 1)",2,6
éqwipé,équipé,équipe,"(0, 1, 1)",2,6
époysa,épousa,époux,"(0, 1, 1)",2,6
épawlé,épaulé,épaule,"(0, 1, 1)",2,6
égalel,égaler,égal,"(0, 1, 1)",2,6
écrata,éclata,éclat,"(0, 1, 1)",2,6
écalta,écarta,écart,"(0, 1, 1)",2,6
dwreté,dureté,durer,"(0, 1, 1)",2,6
duprex,duplex,double,"(0, 1, 1)",2,6
doubra,doubla,double,"(0, 1, 1)",2,6
dongna,donna,don,"(0, 1, 1)",2,6
décole,décore,décor,"(0, 1, 1)",2,6
coyplé,couplé,couple,"(0, 1, 1)",2,6
côteré,côtelé,côte,"(0, 1, 1)",2,6
corngé,corné,corne,"(0, 1, 1)",2,6
cordom,cordon,corde,"(0, 1, 1)",2,6
cognté,conté,conte,"(0, 1, 1)",2,6
cofflé,coffré,coffre,"(0, 1, 1)",2,6
cochel,cocher,coche,"(0, 1, 1)",2,6
croqué,cloqué,cloque,"(0, 1, 1)",2,6
crarté,clarté,clair,"(0, 1, 1)",2,6
craqua,claqua,claque,"(0, 1, 1)",2,6
ciseré,ciselé,ciseau,"(0, 1, 1)",2,6
cilage,cirage,cire,"(0, 1, 1)",2,6
favoli,favori,faveur,"(0, 1, 1)",2,6
faytif,fautif,faute,"(0, 1, 1)",2,6
fawsse,fausse,faux,"(0, 1, 1)",2,6
fairli,failli,faille,"(0, 1, 1)",2,6
fadeyr,fadeur,fade,"(0, 1, 1)",2,6
fabyle,fabule,fable,"(0, 1, 1)",2,6
excwsa,excusa,excuse,"(0, 1, 1)",2,6
étydia,étudia,étude,"(0, 1, 1)",2,6
étoiré,étoilé,étoile,"(0, 1, 1)",2,6
estina,estima,estim,"(0, 1, 1)",2,6
essaua,essaya,essay,"(0, 1, 1)",2,6
espéla,espéra,espoir,"(0, 1, 1)",2,6
éqyité,équité,équ,"(0, 1, 1)",2,6
folain,forain,foir,"(0, 1, 1)",2,6
frotta,flotta,flot,"(0, 1, 1)",2,6
flilte,flirte,flirt,"(0, 1, 1)",2,6
fréché,fléché,flèche,"(0, 1, 1)",2,6
flaila,flaira,flair,"(0, 1, 1)",2,6
fiscar,fiscal,fisc,"(0, 1, 1)",2,6
fimaud,finaud,fin,"(0, 1, 1)",2,6
fignal,final,fin,"(0, 1, 1)",2,6
firial,filial,fil,"(0, 1, 1)",2,6
filamt,filant,fil,"(0, 1, 1)",2,6
fielté,fierté,fier,"(0, 1, 1)",2,6
feutlé,feutré,feutre,"(0, 1, 1)",2,6
fêlule,fêlure,fêler,"(0, 1, 1)",2,6
fwmier,fumier,fumer,"(0, 1, 1)",2,6
fymeux,fumeux,fumer,"(0, 1, 1)",2,6
fwmeur,fumeur,fumer,"(0, 1, 1)",2,6
funant,fumant,fumer,"(0, 1, 1)",2,6
fliqué,friqué,frique,"(0, 1, 1)",2,6
flérot,frérot,frère,"(0, 1, 1)",2,6
fleina,freina,frein,"(0, 1, 1)",2,6
foulbi,fourbi,fourb,"(0, 1, 1)",2,6
fortim,fortin,fort,"(0, 1, 1)",2,6
former,formel,forme,"(0, 1, 1)",2,6
folmat,format,forme,"(0, 1, 1)",2,6
folçat,forçat,force,"(0, 1, 1)",2,6
cimglé,cinglé,cingle,"(0, 1, 1)",2,6
cirler,ciller,cil,"(0, 1, 1)",2,6
chatom,chaton,chat,"(0, 1, 1)",2,6
charmu,charnu,chair,"(0, 1, 1)",2,6
chalgé,chargé,charge,"(0, 1, 1)",2,6
celclé,cerclé,cercle,"(0, 1, 1)",2,6
casqyé,casqué,casque,"(0, 1, 1)",2,6
casiel,casier,cas,"(0, 1, 1)",2,6
caliée,cariée,carie,"(0, 1, 1)",2,6
cangés,camés,came,"(0, 1, 1)",2,6
cadler,cadrer,cadre,"(0, 1, 1)",2,6
grobal,global,globe,"(0, 1, 1)",2,6
gelmer,germer,germe,"(0, 1, 1)",2,6
géniar,génial,génie,"(0, 1, 1)",2,6
gêneul,gêneur,gêne,"(0, 1, 1)",2,6
gerait,gelait,gel,"(0, 1, 1)",2,6
gâtewx,gâteux,gât,"(0, 1, 1)",2,6
garbée,galbée,galb,"(0, 1, 1)",2,6
gaffel,gaffer,gaffe,"(0, 1, 1)",2,6
fuuard,fuyard,fuy,"(0, 1, 1)",2,6
fuwant,fuyant,fuy,"(0, 1, 1)",2,6
fwselé,fuselé,fuseau,"(0, 1, 1)",2,6
fuleur,fureur,fur,"(0, 1, 1)",2,6
jambom,jambon,jambe,"(0, 1, 1)",2,6
heulta,heurta,heurt,"(0, 1, 1)",2,6
halper,harper,harpe,"(0, 1, 1)",2,6
harage,halage,haler,"(0, 1, 1)",2,6
guidom,guidon,guide,"(0, 1, 1)",2,6
gueura,gueula,gueule,"(0, 1, 1)",2,6
glossi,grossi,gros,"(0, 1, 1)",2,6
gramdi,grandi,grand,"(0, 1, 1)",2,6
glyant,gluant,glu,"(0, 1, 1)",2,6
cabler,cabrer,cabri,"(0, 1, 1)",2,6
buveul,buveur,boire,"(0, 1, 1)",2,6
buvald,buvard,boire,"(0, 1, 1)",2,6
bwttés,buttés,butte,"(0, 1, 1)",2,6
bûchel,bûcher,bûche,"(0, 1, 1)",2,6
brutar,brutal,brut,"(0, 1, 1)",2,6
blossa,brossa,brosse,"(0, 1, 1)",2,6
bromzé,bronzé,bronze,"(0, 1, 1)",2,6
blidés,bridés,bride,"(0, 1, 1)",2,6
boxeyr,boxeur,box,"(0, 1, 1)",2,6
boucra,boucla,boucle,"(0, 1, 1)",2,6
ravoir,lavoir,laver,"(0, 1, 1)",2,6
laveul,laveur,laver,"(0, 1, 1)",2,6
ravage,lavage,laver,"(0, 1, 1)",2,6
ractée,lactée,lact,"(0, 1, 1)",2,6
jurong,juron,jurer,"(0, 1, 1)",2,6
joviar,jovial,joie,"(0, 1, 1)",2,6
joweur,joueur,jouer,"(0, 1, 1)",2,6
jeynot,jeunot,jeune,"(0, 1, 1)",2,6
mailie,mairie,maire,"(0, 1, 1)",2,6
lucéen,lycéen,lycée,"(0, 1, 1)",2,6
lwxure,luxure,luxe,"(0, 1, 1)",2,6
loyeur,loueur,louer,"(0, 1, 1)",2,6
livlet,livret,livrer,"(0, 1, 1)",2,6
limamt,limant,lime,"(0, 1, 1)",2,6
rignée,lignée,ligne,"(0, 1, 1)",2,6
riasse,liasse,lier,"(0, 1, 1)",2,6
revier,levier,lever,"(0, 1, 1)",2,6
lettlé,lettré,lettre,"(0, 1, 1)",2,6
bongbé,bombé,bombe,"(0, 1, 1)",2,6
bruffe,bluffe,bluff,"(0, 1, 1)",2,6
bloqya,bloqua,bloc,"(0, 1, 1)",2,6
brêmit,blêmit,blême,"(0, 1, 1)",2,6
blâner,blâmer,blâme,"(0, 1, 1)",2,6
binger,biner,bine,"(0, 1, 1)",2,6
beyrré,beurré,beurre,"(0, 1, 1)",2,6
bêchel,bêcher,bêche,"(0, 1, 1)",2,6
beawté,beauté,beau,"(0, 1, 1)",2,6
bavyre,bavure,bave,"(0, 1, 1)",2,6
bavewx,baveux,bave,"(0, 1, 1)",2,6
bavewr,baveur,bave,"(0, 1, 1)",2,6
bamdés,bandés,bande,"(0, 1, 1)",2,6
motald,motard,moto,"(0, 1, 1)",2,6
morter,mortel,mort,"(0, 1, 1)",2,6
morlit,mollit,mou,"(0, 1, 1)",2,6
morlet,mollet,mou,"(0, 1, 1)",2,6
miloir,miroir,mir,"(0, 1, 1)",2,6
nginci,minci,mince,"(0, 1, 1)",2,6
gnerdé,merdé,merde,"(0, 1, 1)",2,6
neneur,meneur,mener,"(0, 1, 1)",2,6
mâtyre,mâture,mât,"(0, 1, 1)",2,6
masswe,massue,masser,"(0, 1, 1)",2,6
nassif,massif,masser,"(0, 1, 1)",2,6
narqua,marqua,marque,"(0, 1, 1)",2,6
gnaria,maria,mari,"(0, 1, 1)",2,6
moirci,noirci,noir,"(0, 1, 1)",2,6
ngaval,naval,nav,"(0, 1, 1)",2,6
ngatif,natif,nat,"(0, 1, 1)",2,6
ngatal,natal,nat,"(0, 1, 1)",2,6
ngasal,nasal,nez,"(0, 1, 1)",2,6
mageur,nageur,nage,"(0, 1, 1)",2,6
mwopie,myopie,myope,"(0, 1, 1)",2,6
muscré,musclé,muscle,"(0, 1, 1)",2,6
nuscat,muscat,musc,"(0, 1, 1)",2,6
barisé,balisé,balise,"(0, 1, 1)",2,6
baraie,balaie,balai,"(0, 1, 1)",2,6
bagyée,baguée,bague,"(0, 1, 1)",2,6
baffel,baffer,baffe,"(0, 1, 1)",2,6
astrar,astral,astre,"(0, 1, 1)",2,6
alrêta,arrêta,arrêt,"(0, 1, 1)",2,6
aldeur,ardeur,ard,"(0, 1, 1)",2,6
âpleté,âpreté,âpre,"(0, 1, 1)",2,6
appwie,appuie,appuyer,"(0, 1, 1)",2,6
appera,appela,appel,"(0, 1, 1)",2,6
artéré,altéré,altérer,"(0, 1, 1)",2,6
arerté,alerté,alerte,"(0, 1, 1)",2,6
pallez,parlez,parler,"(0, 1, 1)",2,6
pansel,panser,pan,"(0, 1, 1)",2,6
pâreur,pâleur,pâle,"(0, 1, 1)",2,6
oyblia,oublia,oubli,"(0, 1, 1)",2,6
oramgé,orangé,orange,"(0, 1, 1)",2,6
ongdée,ondée,onde,"(0, 1, 1)",2,6
odolat,odorat,odeur,"(0, 1, 1)",2,6
muirai,nuirai,nuire,"(0, 1, 1)",2,6
nydité,nudité,nu,"(0, 1, 1)",2,6
moyade,noyade,noyer,"(0, 1, 1)",2,6
nouver,nouvel,nouveau,"(0, 1, 1)",2,6
motant,notant,note,"(0, 1, 1)",2,6
normar,normal,norme,"(0, 1, 1)",2,6
piqwet,piquet,piquer,"(0, 1, 1)",2,6
pipeay,pipeau,pipe,"(0, 1, 1)",2,6
pingça,pinça,pince,"(0, 1, 1)",2,6
piroté,piloté,pilote,"(0, 1, 1)",2,6
pétald,pétard,pét,"(0, 1, 1)",2,6
pelsan,persan,perse,"(0, 1, 1)",2,6
pelché,perché,perche,"(0, 1, 1)",2,6
pemsif,pensif,penser,"(0, 1, 1)",2,6
penawd,penaud,pen,"(0, 1, 1)",2,6
pégnal,pénal,pén,"(0, 1, 1)",2,6
pelule,pelure,peler,"(0, 1, 1)",2,6
payser,pauser,pause,"(0, 1, 1)",2,6
parwre,parure,parer,"(0, 1, 1)",2,6
lefusa,refusa,refus,"(0, 1, 1)",2,6
lecula,recula,recul,"(0, 1, 1)",2,6
lavagé,ravagé,ravage,"(0, 1, 1)",2,6
lamées,ramées,rame,"(0, 1, 1)",2,6
lâlait,râlait,râle,"(0, 1, 1)",2,6
ladier,radier,radi,"(0, 1, 1)",2,6
qyêtai,quêtai,quête,"(0, 1, 1)",2,6
pubiem,pubien,pubis,"(0, 1, 1)",2,6
plieur,prieur,pri,"(0, 1, 1)",2,6
poylet,poulet,poule,"(0, 1, 1)",2,6
pognte,ponte,pont,"(0, 1, 1)",2,6
piqûle,piqûre,piquer,"(0, 1, 1)",2,6
ajowta,ajouta,ajout,"(0, 1, 1)",2,6
ailiel,ailier,aile,"(0, 1, 1)",2,6
aglafé,agrafé,agrafe,"(0, 1, 1)",2,6
aériem,aérien,aéro,"(0, 1, 1)",2,6
acteul,acteur,acte,"(0, 1, 1)",2,6
barlon,ballon,balle,"(0, 1, 1)",2,6
zonald,zonard,zone,"(0, 1, 1)",2,6
vocare,vocale,vouer,"(0, 1, 1)",2,6
vitlée,vitrée,vitre,"(0, 1, 1)",2,6
viseul,viseur,voir,"(0, 1, 1)",2,6
vilage,virage,virer,"(0, 1, 1)",2,6
velset,verset,verse,"(0, 1, 1)",2,6
royssi,roussi,roux,"(0, 1, 1)",2,6
lisqua,risqua,risque,"(0, 1, 1)",2,6
limait,rimait,rime,"(0, 1, 1)",2,6
