Pseudoword,Word,Lemma,prs,n_morphemes,Length
gole,gore,gore,"(0, 1, 0)",1,4
demt,dent,dent,"(0, 1, 0)",1,4
dane,dame,dame,"(0, 1, 0)",1,4
culé,curé,curé,"(0, 1, 0)",1,4
cwre,cure,cure,"(0, 1, 0)",1,4
dole,dore,dorer,"(0, 1, 0)",1,4
cile,cire,cire,"(0, 1, 0)",1,4
diew,dieu,dieu,"(0, 1, 0)",1,4
cléa,créa,créer,"(0, 1, 0)",1,4
dewx,deux,deux,"(0, 1, 0)",1,4
derà,delà,delà,"(0, 1, 0)",1,4
dula,dura,durer,"(0, 1, 0)",1,4
dype,dupe,dupe,"(0, 1, 0)",1,4
dogn,don,don,"(0, 1, 0)",1,4
dody,dodu,dodu,"(0, 1, 0)",1,4
cara,cala,caler,"(0, 1, 0)",1,4
pewh,peuh,peuh,"(0, 1, 0)",1,4
peaw,peau,peau,"(0, 1, 0)",1,4
paus,pays,pays,"(0, 1, 0)",1,4
pals,pars,partir,"(0, 1, 0)",1,4
pran,plan,plan,"(0, 1, 0)",1,4
pèle,père,père,"(0, 1, 0)",1,4
peld,perd,perdre,"(0, 1, 0)",1,4
pemd,pend,pendre,"(0, 1, 0)",1,4
piey,pieu,pieu,"(0, 1, 0)",1,4
pewt,peut,pouvoir,"(0, 1, 0)",1,4
peyr,peur,peur,"(0, 1, 0)",1,4
âgne,âme,âme,"(0, 1, 0)",1,4
tald,tard,tard,"(0, 1, 0)",1,4
sybi,subi,subir,"(0, 1, 0)",1,4
tlop,trop,trop,"(0, 1, 0)",1,4
vowa,voua,vouer,"(0, 1, 0)",1,4
olge,orge,orge,"(0, 1, 0)",1,4
olée,orée,orée,"(0, 1, 0)",1,4
opws,opus,opus,"(0, 1, 0)",1,4
poyx,poux,poux,"(0, 1, 0)",1,4
poyr,pour,pour,"(0, 1, 0)",1,4
powf,pouf,pouf,"(0, 1, 0)",1,4
plof,prof,prof,"(0, 1, 0)",1,4
oyrs,ours,ours,"(0, 1, 0)",1,4
oyïe,ouïe,ouïr,"(0, 1, 0)",1,4
olme,orme,orme,"(0, 1, 0)",1,4
awbe,aube,aube,"(0, 1, 0)",1,4
âtle,âtre,âtre,"(0, 1, 0)",1,4
prat,plat,plat,"(0, 1, 0)",1,4
pang,pan,pan,"(0, 1, 0)",1,4
pâre,pâle,pâle,"(0, 1, 0)",1,4
pail,pair,pair,"(0, 1, 0)",1,4
pyce,puce,puce,"(0, 1, 0)",1,4
ayto,auto,auto,"(0, 1, 0)",1,4
awge,auge,auge,"(0, 1, 0)",1,4
sare,sale,sale,"(0, 1, 0)",1,4
luse,ruse,ruse,"(0, 1, 0)",1,4
loue,roue,roue,"(0, 1, 0)",1,4
lôti,rôti,rôtir,"(0, 1, 0)",1,4
plix,prix,prix,"(0, 1, 0)",1,4
plêt,prêt,prêt,"(0, 1, 0)",1,4
omze,onze,onze,"(0, 1, 0)",1,4
omde,onde,onde,"(0, 1, 0)",1,4
ogle,ogre,ogre,"(0, 1, 0)",1,4
oewf,oeuf,oeuf,"(0, 1, 0)",1,4
oeir,oeil,oeil,"(0, 1, 0)",1,4
ocle,ocre,ocre,"(0, 1, 0)",1,4
obys,obus,obus,"(0, 1, 0)",1,4
qyai,quai,quai,"(0, 1, 0)",1,4
purl,pull,pull,"(0, 1, 0)",1,4
ngos,nos,nos,"(0, 1, 0)",1,4
mord,nord,nord,"(0, 1, 0)",1,4
moix,noix,noix,"(0, 1, 0)",1,4
noil,noir,noir,"(0, 1, 0)",1,4
gnid,nid,nid,"(0, 1, 0)",1,4
ngez,nez,nez,"(0, 1, 0)",1,4
bair,bail,bail,"(0, 1, 0)",1,4
babw,baby,baby,"(0, 1, 0)",1,4
azyr,azur,azur,"(0, 1, 0)",1,4
lodé,rodé,roder,"(0, 1, 0)",1,4
lime,rime,rime,"(0, 1, 0)",1,4
lide,ride,ride,"(0, 1, 0)",1,4
lêve,rêve,rêve,"(0, 1, 0)",1,4
nyée,nuée,nuée,"(0, 1, 0)",1,4
nots,mots,mot,"(0, 1, 0)",1,4
lang,rang,rang,"(0, 1, 0)",1,4
lail,rail,rail,"(0, 1, 0)",1,4
laid,raid,raide,"(0, 1, 0)",1,4
maît,naît,naître,"(0, 1, 0)",1,4
lade,rade,rade,"(0, 1, 0)",1,4
lace,race,race,"(0, 1, 0)",1,4
qyoi,quoi,quoi,"(0, 1, 0)",1,4
qwel,quel,quel,"(0, 1, 0)",1,4
bamc,banc,banc,"(0, 1, 0)",1,4
layé,rayé,rayer,"(0, 1, 0)",1,4
lavi,ravi,ravir,"(0, 1, 0)",1,4
lasa,rasa,raser,"(0, 1, 0)",1,4
lâpe,râpe,râpe,"(0, 1, 0)",1,4
merf,nerf,nerf,"(0, 1, 0)",1,4
gnef,nef,nef,"(0, 1, 0)",1,4
lare,rare,rare,"(0, 1, 0)",1,4
lapt,rapt,rapt,"(0, 1, 0)",1,4
gnoi,moi,moi,"(0, 1, 0)",1,4
node,mode,mode,"(0, 1, 0)",1,4
lein,rein,rein,"(0, 1, 0)",1,4
réer,réel,réel,"(0, 1, 0)",1,4
molt,mort,mort,"(0, 1, 0)",1,4
mold,mord,mordre,"(0, 1, 0)",1,4
momt,mont,mont,"(0, 1, 0)",1,4
lame,rame,rame,"(0, 1, 0)",1,4
lâle,râle,râle,"(0, 1, 0)",1,4
laie,raie,raie,"(0, 1, 0)",1,4
lage,rage,rage,"(0, 1, 0)",1,4
pyni,puni,punir,"(0, 1, 0)",1,4
pyis,puis,puis,"(0, 1, 0)",1,4
mwet,muet,muet,"(0, 1, 0)",1,4
naux,maux,maux,"(0, 1, 0)",1,4
lôle,rôle,rôle,"(0, 1, 0)",1,4
lois,rois,roi,"(0, 1, 0)",1,4
lock,rock,rock,"(0, 1, 0)",1,4
remd,rend,rend,"(0, 1, 0)",1,4
nget,met,mettre,"(0, 1, 0)",1,4
ness,mess,mess,"(0, 1, 0)",1,4
nges,mes,mes,"(0, 1, 0)",1,4
mèle,mère,mère,"(0, 1, 0)",1,4
nger,mer,mer,"(0, 1, 0)",1,4
mems,mens,mentir,"(0, 1, 0)",1,4
lien,rien,rien,"(0, 1, 0)",1,4
plès,près,près,"(0, 1, 0)",1,4
gnie,mie,mie,"(0, 1, 0)",1,4
nidi,midi,midi,"(0, 1, 0)",1,4
repw,repu,repu,"(0, 1, 0)",1,4
rwde,rude,rude,"(0, 1, 0)",1,4
