Pseudoword,Word,Lemma,prs,n_morphemes,Length,Levenshtein Distance,Normalized Levenshtein Distance
dody,dodu,dodu,"(0, 1, 0)",1,4,1,0.25
pewh,peuh,peuh,"(0, 1, 0)",1,4,1,0.25
vowa,voua,vouer,"(0, 1, 0)",1,4,1,0.25
âtle,âtre,âtre,"(0, 1, 0)",1,4,1,0.25
lasa,rasa,raser,"(0, 1, 0)",1,4,1,0.25
lâpe,râpe,râpe,"(0, 1, 0)",1,4,1,0.25
repw,repu,repu,"(0, 1, 0)",1,4,1,0.25
nowa,noua,nouer,"(0, 1, 0)",1,4,1,0.25
rové,lové,lover,"(0, 1, 0)",1,4,1,0.25
lowa,loua,louer,"(0, 1, 0)",1,4,1,0.25
glog,grog,grog,"(0, 1, 0)",1,4,1,0.25
rava,lava,laver,"(0, 1, 0)",1,4,1,0.25
stwc,stuc,stuc,"(0, 1, 0)",1,4,1,0.25
héra,héla,héler,"(0, 1, 0)",1,4,1,0.25
flis,fris,frire,"(0, 1, 0)",1,4,1,0.25
vanp,vamp,vamp,"(0, 1, 0)",1,4,1,0.25
frac,flac,flac,"(0, 1, 0)",1,4,1,0.25
gala,gara,gara,"(0, 1, 0)",1,4,1,0.25
funa,fuma,fumer,"(0, 1, 0)",1,4,1,0.25
étar,étal,étaler,"(0, 1, 0)",1,4,1,0.25
zébw,zébu,zébu,"(0, 1, 0)",1,4,2,0.5
elra,erra,errer,"(0, 1, 0)",1,4,1,0.25
fêré,fêlé,fêler,"(0, 1, 0)",1,4,1,0.25
échw,échu,échoir,"(0, 1, 0)",1,4,1,0.25
prût,plût,plût,"(0, 1, 0)",1,4,1,0.25
âcle,âcre,âcre,"(0, 1, 0)",1,4,1,0.25
ysai,usai,usai,"(0, 1, 0)",1,4,1,0.25
vila,vira,virer,"(0, 1, 0)",1,4,1,0.25
clépi,crépi,crépir,"(0, 1, 0)",1,5,2,0.4
dînga,dîna,dîner,"(0, 1, 0)",1,5,1,0.25
éboyé,éboué,éboué,"(0, 1, 0)",1,5,2,0.4
aigna,aima,aimer,"(0, 1, 0)",1,5,1,0.25
ahuli,ahuri,ahurir,"(0, 1, 0)",1,5,2,0.4
fangé,fané,faner,"(0, 1, 0)",1,5,1,0.25
fwrax,furax,furax,"(0, 1, 0)",1,5,2,0.4
géngi,gémi,gémir,"(0, 1, 0)",1,5,1,0.25
gngou,gnou,gnou,"(0, 1, 0)",1,5,1,0.25
gnôre,gnôle,gnôle,"(0, 1, 0)",1,5,2,0.4
térex,télex,télex,"(0, 1, 0)",1,5,2,0.4
stémo,sténo,sténo,"(0, 1, 0)",1,5,2,0.4
ngima,mima,mimer,"(0, 1, 0)",1,5,1,0.25
gnêla,mêla,mêler,"(0, 1, 0)",1,5,1,0.25
gnuai,muai,muai,"(0, 1, 0)",1,5,1,0.25
nutât,mutât,muter,"(0, 1, 0)",1,5,2,0.4
gnase,nase,nase,"(0, 1, 0)",1,5,1,0.25
linça,rinça,rincer,"(0, 1, 0)",1,5,2,0.4
nowba,nouba,nouba,"(0, 1, 0)",1,5,2,0.4
obore,obole,obole,"(0, 1, 0)",1,5,2,0.4
porka,polka,polka,"(0, 1, 0)",1,5,2,0.4
patawd,pataud,pataud,"(0, 1, 0)",1,6,2,0.3333333333333333
pistir,pistil,pistil,"(0, 1, 0)",1,6,2,0.3333333333333333
pingle,pingre,pingre,"(0, 1, 0)",1,6,2,0.3333333333333333
ourret,ourlet,ourlet,"(0, 1, 0)",1,6,2,0.3333333333333333
otalie,otarie,otarie,"(0, 1, 0)",1,6,2,0.3333333333333333
occile,occire,occire,"(0, 1, 0)",1,6,2,0.3333333333333333
laffut,raffut,raffut,"(0, 1, 0)",1,6,2,0.3333333333333333
rinmel,rimmel,rimmel,"(0, 1, 0)",1,6,2,0.3333333333333333
négalo,mégalo,mégalo,"(0, 1, 0)",1,6,2,0.3333333333333333
losbif,rosbif,rosbif,"(0, 1, 0)",1,6,2,0.3333333333333333
romron,ronron,ronron,"(0, 1, 0)",1,6,2,0.3333333333333333
rivide,livide,livide,"(0, 1, 0)",1,6,2,0.3333333333333333
tailai,tairai,taire,"(0, 1, 0)",1,6,2,0.3333333333333333
sverte,svelte,svelte,"(0, 1, 0)",1,6,2,0.3333333333333333
tamowl,tamoul,tamoul,"(0, 1, 0)",1,6,2,0.3333333333333333
tecker,teckel,teckel,"(0, 1, 0)",1,6,2,0.3333333333333333
gyenon,guenon,guenon,"(0, 1, 0)",1,6,2,0.3333333333333333
gledin,gredin,gredin,"(0, 1, 0)",1,6,2,0.3333333333333333
tolero,torero,torero,"(0, 1, 0)",1,6,2,0.3333333333333333
gowjat,goujat,goujat,"(0, 1, 0)",1,6,2,0.3333333333333333
gngons,gnons,gnons,"(0, 1, 0)",1,6,2,0.4
futong,futon,futon,"(0, 1, 0)",1,6,2,0.4
fytaie,futaie,futaie,"(0, 1, 0)",1,6,2,0.3333333333333333
valech,varech,varech,"(0, 1, 0)",1,6,2,0.3333333333333333
fawots,fayots,fayots,"(0, 1, 0)",1,6,2,0.3333333333333333
esqyif,esquif,esquif,"(0, 1, 0)",1,6,2,0.3333333333333333
affara,affala,affaler,"(0, 1, 0)",1,6,2,0.3333333333333333
ablège,abrège,abréger,"(0, 1, 0)",1,6,2,0.3333333333333333
assema,assena,assener,"(0, 1, 0)",1,6,2,0.3333333333333333
bâirla,bâilla,bâiller,"(0, 1, 0)",1,6,2,0.3333333333333333
brotti,blotti,blottir,"(0, 1, 0)",1,6,2,0.3333333333333333
beugra,beugla,beugler,"(0, 1, 0)",1,6,2,0.3333333333333333
blouta,brouta,brouter,"(0, 1, 0)",1,6,2,0.3333333333333333
choyïa,chouïa,chouïa,"(0, 1, 0)",1,6,2,0.3333333333333333
chôngé,chômé,chômer,"(0, 1, 0)",1,6,2,0.4
dévara,dévala,dévaler,"(0, 1, 0)",1,6,2,0.3333333333333333
effala,effara,effarer,"(0, 1, 0)",1,6,2,0.3333333333333333
ébloua,ébroua,ébrouer,"(0, 1, 0)",1,6,2,0.3333333333333333
enjôre,enjôle,enjôler,"(0, 1, 0)",1,6,2,0.3333333333333333
exècle,exècre,exécrer,"(0, 1, 0)",1,6,2,0.3333333333333333
étioré,étiolé,étioler,"(0, 1, 0)",1,6,2,0.3333333333333333
crépys,crépus,crépus,"(0, 1, 0)",1,6,2,0.3333333333333333
folçât,forçât,forçât,"(0, 1, 0)",1,6,2,0.3333333333333333
frétri,flétri,flétrir,"(0, 1, 0)",1,6,2,0.3333333333333333
grapir,glapir,glapir,"(0, 1, 0)",1,6,2,0.3333333333333333
lacèle,lacère,lacérer,"(0, 1, 0)",1,6,2,0.3333333333333333
jygule,jugule,jugule,"(0, 1, 0)",1,6,2,0.3333333333333333
jychai,juchai,jucher,"(0, 1, 0)",1,6,2,0.3333333333333333
lésima,lésina,lésiner,"(0, 1, 0)",1,6,2,0.3333333333333333
rapida,lapida,lapida,"(0, 1, 0)",1,6,2,0.3333333333333333
chahyt,chahut,chahut,"(0, 1, 0)",1,6,2,0.3333333333333333
naculé,maculé,maculer,"(0, 1, 0)",1,6,2,0.3333333333333333
meugra,meugla,meugler,"(0, 1, 0)",1,6,2,0.3333333333333333
morfré,morflé,morfler,"(0, 1, 0)",1,6,2,0.3333333333333333
boréro,boléro,boléro,"(0, 1, 0)",1,6,2,0.3333333333333333
poyffa,pouffa,pouffer,"(0, 1, 0)",1,6,2,0.3333333333333333
bellue,berlue,berlue,"(0, 1, 0)",1,6,2,0.3333333333333333
barowf,barouf,barouf,"(0, 1, 0)",1,6,2,0.3333333333333333
licana,ricana,ricaner,"(0, 1, 0)",1,6,2,0.3333333333333333
aubuln,auburn,auburn,"(0, 1, 0)",1,6,2,0.3333333333333333
sacqyé,sacqué,sacqué,"(0, 1, 0)",1,6,2,0.3333333333333333
teltio,tertio,tertio,"(0, 1, 0)",1,6,2,0.3333333333333333
sporié,spolié,spolier,"(0, 1, 0)",1,6,2,0.3333333333333333
arcôve,alcôve,alcôve,"(0, 1, 0)",1,6,2,0.3333333333333333
zweute,zyeute,zyeuter,"(0, 1, 0)",1,6,2,0.3333333333333333
