Pseudoword,Word,Lemma,Levenshtein_Distance,prs,n_morphemes,Length
argyment,argument,arguer,8,"(0, 1, 1)",2,8.0
aqualium,aquarium,aqua,7,"(0, 1, 1)",2,8.0
agnateur,amateur,aimer,5,"(0, 1, 1)",2,8.0
castigng,casting,cast,7,"(0, 1, 1)",2,8.0
casseuls,casseurs,casser,6,"(0, 1, 1)",2,8.0
calriole,carriole,car,7,"(0, 1, 1)",2,8.0
caperine,capeline,cape,8,"(0, 1, 1)",2,8.0
cantiqye,cantique,chant,6,"(0, 1, 1)",2,8.0
cagneyse,cagneuse,cagne,7,"(0, 1, 1)",2,8.0
buirding,building,build,7,"(0, 1, 1)",2,8.0
braceret,bracelet,brac,7,"(0, 1, 1)",2,8.0
blaireay,blaireau,blair,7,"(0, 1, 1)",2,8.0
agengces,agences,agir,7,"(0, 1, 1)",2,8.0
plovenir,provenir,venir,6,"(1, 1, 1)",3,8.0
éventair,éventail,vent,7,"(1, 1, 1)",3,8.0
avelsion,aversion,verse,8,"(1, 1, 1)",3,8.0
pétlifié,pétrifié,pétr,8,"(0, 1, 1)",2,8.0
pelverti,perverti,pervers,8,"(0, 1, 1)",2,8.0
persirlé,persillé,persil,8,"(0, 1, 1)",2,8.0
pielreux,pierreux,pierre,7,"(0, 1, 1)",2,8.0
picoleur,picoreur,picor,6,"(0, 1, 1)",2,8.0
pewreuse,peureuse,peur,7,"(0, 1, 1)",2,8.0
clénence,clémence,clément,8,"(0, 1, 1)",2,8.0
chevrogn,chevron,chèvre,7,"(0, 1, 1)",2,8.0
chevaret,chevalet,cheval,8,"(0, 1, 1)",2,8.0
cengtime,centime,cent,6,"(0, 1, 1)",2,8.0
piqyetés,piquetés,piquer,8,"(0, 1, 2)",3,8.0
passagel,passager,passe,7,"(0, 1, 2)",3,8.0
towssota,toussota,toux,6,"(0, 1, 2)",3,8.0
absengce,absence,absent,7,"(0, 1, 1)",2,8.0
aboyeyrs,aboyeurs,aboi,5,"(0, 1, 1)",2,8.0
althrite,arthrite,arthr,8,"(0, 1, 1)",2,8.0
exelcice,exercice,exerc,8,"(0, 1, 1)",2,8.0
empeleur,empereur,empire,6,"(0, 1, 1)",2,8.0
émimence,éminence,éminent,7,"(0, 1, 1)",2,8.0
notaliat,notariat,note,7,"(0, 1, 2)",3,8.0
passabre,passable,passe,8,"(0, 1, 1)",2,8.0
poltatif,portatif,porter,7,"(0, 1, 1)",2,8.0
poltable,portable,porter,7,"(0, 1, 1)",2,8.0
popurace,populace,popul,7,"(0, 1, 1)",2,8.0
pomtages,pontages,pont,6,"(0, 1, 1)",2,8.0
piqweuse,piqueuse,piquer,7,"(0, 1, 1)",2,8.0
pimegnta,pimenta,piment,7,"(0, 1, 1)",2,8.0
pirotage,pilotage,pilote,8,"(0, 1, 1)",2,8.0
pironnée,pilonnée,pilon,7,"(0, 1, 1)",2,8.0
pillalde,pillarde,piller,8,"(0, 1, 1)",2,8.0
pédarait,pédalait,pédale,8,"(0, 1, 1)",2,8.0
pavenent,pavement,paver,8,"(0, 1, 1)",2,8.0
gisangts,gisants,gésir,7,"(0, 1, 1)",2,8.0
gâtelies,gâteries,gât,8,"(0, 1, 1)",2,8.0
fyribard,furibard,fur,7,"(0, 1, 1)",2,8.0
fwgitifs,fugitifs,fugue,8,"(0, 1, 1)",2,8.0
folcenée,forcenée,force,7,"(0, 1, 1)",2,8.0
paltisan,partisan,partir,8,"(0, 1, 1)",2,8.0
partamce,partance,partir,8,"(0, 1, 1)",2,8.0
palquait,parquait,parqu,8,"(0, 1, 1)",2,8.0
parorier,parolier,parole,7,"(0, 1, 1)",2,8.0
palodiai,parodiai,parodie,8,"(0, 1, 1)",2,8.0
palisien,parisien,pari,8,"(0, 1, 1)",2,8.0
paperard,papelard,papel,7,"(0, 1, 1)",2,8.0
paisibre,paisible,paix,8,"(0, 1, 1)",2,8.0
forcegné,forcené,force,6,"(0, 1, 1)",2,8.0
festogns,festons,fête,6,"(0, 1, 1)",2,8.0
exwtoire,exutoire,exut,6,"(0, 1, 1)",2,8.0
malimgre,malingre,mal,7,"(0, 1, 1)",2,8.0
maréfice,maléfice,mal,8,"(0, 1, 1)",2,8.0
nagnétos,magnétos,magnéto,7,"(0, 1, 1)",2,8.0
lyisante,luisante,luire,8,"(0, 1, 1)",2,8.0
liblaire,libraire,livre,7,"(0, 1, 1)",2,8.0
langgage,langage,langue,6,"(0, 1, 1)",2,8.0
kélosène,kérosène,kéros,8,"(0, 1, 1)",2,8.0
ouvleuse,ouvreuse,ouvrir,7,"(0, 1, 1)",2,8.0
pourette,poulette,poule,7,"(0, 1, 1)",2,8.0
poudlier,poudrier,poudre,6,"(0, 1, 1)",2,8.0
postiels,postiers,poste,6,"(0, 1, 1)",2,8.0
posénent,posément,poser,7,"(0, 1, 1)",2,8.0
poltique,portique,porte,6,"(0, 1, 1)",2,8.0
holrible,horrible,horreur,7,"(0, 1, 1)",2,8.0
glutiers,grutiers,grue,7,"(0, 1, 1)",2,8.0
grobules,globules,globe,7,"(0, 1, 1)",2,8.0
mirliard,milliard,mille,7,"(0, 1, 1)",2,8.0
ngeeting,meeting,meet,7,"(0, 1, 1)",2,8.0
ngaudire,maudire,maudit,7,"(0, 1, 1)",2,8.0
malitime,maritime,mer,8,"(0, 1, 1)",2,8.0
narécage,marécage,marais,8,"(0, 1, 1)",2,8.0
nallette,mallette,malle,8,"(0, 1, 1)",2,8.0
poltière,portière,porte,6,"(0, 1, 1)",2,8.0
owtrance,outrance,outre,8,"(0, 1, 1)",2,8.0
oytrages,outrages,outrer,8,"(0, 1, 1)",2,8.0
owblieux,oublieux,oubli,7,"(0, 1, 1)",2,8.0
ossyaire,ossuaire,os,7,"(0, 1, 1)",2,8.0
ossatyre,ossature,os,6,"(0, 1, 1)",2,8.0
originer,originel,origine,8,"(0, 1, 1)",2,8.0
orientar,oriental,orient,8,"(0, 1, 1)",2,8.0
oldurier,ordurier,ordure,7,"(0, 1, 1)",2,8.0
olatoire,oratoire,or,6,"(0, 1, 1)",2,8.0
parrotes,parlotes,parler,7,"(0, 1, 1)",2,8.0
parkigng,parking,park,7,"(0, 1, 1)",2,8.0
palfaire,parfaire,parfait,7,"(0, 1, 1)",2,8.0
noulrice,nourrice,nourrir,7,"(0, 1, 1)",2,8.0
fruidité,fluidité,flux,8,"(0, 1, 2)",3,8.0
finarité,finalité,fin,7,"(0, 1, 2)",3,8.0
oraisogn,oraison,oro,7,"(0, 1, 1)",2,8.0
olageuse,orageuse,orage,7,"(0, 1, 1)",2,8.0
opylence,opulence,opulent,8,"(0, 1, 1)",2,8.0
opélette,opérette,opérer,8,"(0, 1, 1)",2,8.0
officiel,officier,office,7,"(0, 1, 1)",2,8.0
officier,officiel,office,8,"(0, 1, 1)",2,8.0
offengsé,offensé,offense,7,"(0, 1, 1)",2,8.0
meurones,neurones,neuro,7,"(0, 1, 1)",2,8.0
moniteul,moniteur,monit,4,"(0, 1, 1)",2,8.0
gnoineau,moineau,moine,5,"(0, 1, 1)",2,8.0
poivlons,poivrons,poivre,6,"(0, 1, 1)",2,8.0
pranning,planning,plan,7,"(0, 1, 1)",2,8.0
pistoret,pistolet,pistol,7,"(0, 1, 1)",2,8.0
pétangte,pétante,pét,7,"(0, 1, 1)",2,8.0
peintles,peintres,peindre,7,"(0, 1, 1)",2,8.0
oedipiem,oedipien,oedipe,8,"(0, 1, 1)",2,8.0
ocuraire,oculaire,ocul,7,"(0, 1, 1)",2,8.0
obsédamt,obsédant,obséder,7,"(0, 1, 1)",2,8.0
plession,pression,press,8,"(0, 1, 1)",2,8.0
pressimg,pressing,press,8,"(0, 1, 1)",2,8.0
plesseur,presseur,press,6,"(0, 1, 1)",2,8.0
plessant,pressant,presser,8,"(0, 1, 1)",2,8.0
plésenta,présenta,présent,8,"(0, 1, 1)",2,8.0
plésager,présager,présage,7,"(0, 1, 1)",2,8.0
prengeur,preneur,prendre,5,"(0, 1, 1)",2,8.0
patiemce,patience,patient,8,"(0, 1, 1)",2,8.0
gnotable,notable,note,6,"(0, 1, 1)",2,8.0
moisette,noisette,noix,7,"(0, 1, 1)",2,8.0
