Pseudoword,Word,Lemma,Levenshtein_Distance,prs,n_morphemes,Length
îrot,îlot,île,6,"(0, 1, 1)",2,4.0
anar,anal,anus,6,"(0, 1, 1)",2,4.0
zéré,zélé,zèle,7,"(0, 1, 1)",2,4.0
avar,aval,valoir,7,"(1, 1, 0)",2,4.0
ugni,uni,un,6,"(0, 1, 1)",2,4.0
talé,taré,tare,7,"(0, 1, 1)",2,4.0
vora,vola,vol,6,"(0, 1, 1)",2,4.0
tila,tira,tir,7,"(0, 1, 1)",2,4.0
têtw,têtu,tête,6,"(0, 1, 1)",2,4.0
saré,salé,sel,7,"(0, 1, 1)",2,4.0
sari,sali,sale,7,"(0, 1, 1)",2,4.0
lêva,rêva,rêve,7,"(0, 1, 1)",2,4.0
lusé,rusé,ruse,7,"(0, 1, 1)",2,4.0
losé,rosé,rose,6,"(0, 1, 1)",2,4.0
liva,riva,rive,7,"(0, 1, 1)",2,4.0
lidé,ridé,ride,7,"(0, 1, 1)",2,4.0
pâri,pâli,pâle,7,"(0, 1, 1)",2,4.0
olal,oral,oro,6,"(0, 1, 1)",2,4.0
rogé,logé,loge,6,"(0, 1, 1)",2,4.0
jwgé,jugé,juge,6,"(0, 1, 1)",2,4.0
mûli,mûri,mûr,7,"(0, 1, 1)",2,4.0
robé,lobé,lob,6,"(0, 1, 1)",2,4.0
almé,armé,arme,7,"(0, 1, 1)",2,4.0
mwré,muré,mur,6,"(0, 1, 1)",2,4.0
ardw,ardu,ard,6,"(0, 1, 1)",2,4.0
airé,ailé,aile,7,"(0, 1, 1)",2,4.0
cilé,ciré,cire,7,"(0, 1, 1)",2,4.0
dwpé,dupé,dupe,7,"(0, 1, 1)",2,4.0
gêma,gêna,gêne,6,"(0, 1, 1)",2,4.0
fimi,fini,fin,6,"(0, 1, 1)",2,4.0
fira,fila,fil,7,"(0, 1, 1)",2,4.0
hâré,hâlé,hâle,7,"(0, 1, 1)",2,4.0
clia,cria,cri,7,"(0, 1, 1)",2,4.0
lefit,refit,fier,7,"(1, 1, 0)",2,5.0
abold,abord,bord,6,"(1, 1, 0)",2,5.0
zébla,zébra,zébr,7,"(0, 1, 1)",2,5.0
levêt,revêt,vêtir,7,"(1, 1, 0)",2,5.0
levue,revue,vue,6,"(1, 1, 0)",2,5.0
lenom,renom,nom,5,"(1, 1, 0)",2,5.0
repri,repli,pli,7,"(1, 1, 0)",2,5.0
sweur,sueur,suer,5,"(0, 1, 1)",2,5.0
éplis,épris,prendre,7,"(1, 1, 0)",2,5.0
ysité,usité,user,7,"(0, 1, 1)",2,5.0
tlaça,traça,trace,7,"(0, 1, 1)",2,5.0
voira,voila,voile,6,"(0, 1, 1)",2,5.0
vitlé,vitré,vitre,7,"(0, 1, 1)",2,5.0
vamna,vanna,vanne,6,"(0, 1, 1)",2,5.0
veldi,verdi,vert,7,"(0, 1, 1)",2,5.0
taxel,taxer,taxe,6,"(0, 1, 1)",2,5.0
talda,tarda,tard,7,"(0, 1, 1)",2,5.0
anont,amont,mont,6,"(1, 1, 0)",2,5.0
déger,dégel,gel,7,"(1, 1, 0)",2,5.0
laton,raton,rat,6,"(0, 1, 1)",2,5.0
lisée,risée,rire,7,"(0, 1, 1)",2,5.0
déria,délia,lier,7,"(1, 1, 0)",2,5.0
dépru,déplu,plu,6,"(1, 1, 0)",2,5.0
prévw,prévu,vue,6,"(1, 1, 0)",2,5.0
samté,santé,sain,6,"(0, 1, 1)",2,5.0
amema,amena,mener,7,"(1, 1, 0)",2,5.0
arlie,allie,lier,7,"(1, 1, 0)",2,5.0
rogis,logis,loge,6,"(0, 1, 1)",2,5.0
lueul,lueur,lire,5,"(0, 1, 1)",2,5.0
léuni,réuni,un,7,"(1, 1, 1)",3,5.0
wsagé,usagé,user,7,"(0, 1, 2)",3,5.0
léglo,réglo,règle,6,"(0, 1, 1)",2,5.0
légla,régla,règle,7,"(0, 1, 1)",2,5.0
ysage,usage,user,7,"(0, 1, 1)",2,5.0
umité,unité,un,6,"(0, 1, 1)",2,5.0
tyeur,tueur,tuer,5,"(0, 1, 1)",2,5.0
umion,union,un,5,"(0, 1, 1)",2,5.0
têtye,têtue,tête,6,"(0, 1, 1)",2,5.0
skiel,skier,ski,6,"(0, 1, 1)",2,5.0
termi,terni,terne,7,"(0, 1, 1)",2,5.0
sayta,sauta,saut,7,"(0, 1, 1)",2,5.0
sarua,salua,salut,6,"(0, 1, 1)",2,5.0
saclé,sacré,sacre,7,"(0, 1, 1)",2,5.0
sowpé,soupé,soupe,6,"(0, 1, 1)",2,5.0
sycré,sucré,sucre,7,"(0, 1, 1)",2,5.0
aélée,aérée,aéro,7,"(0, 1, 1)",2,5.0
pylsé,pulsé,puls,7,"(0, 1, 1)",2,5.0
penty,pentu,pente,5,"(0, 1, 1)",2,5.0
pénar,pénal,pén,6,"(0, 1, 1)",2,5.0
palti,parti,partir,7,"(0, 1, 1)",2,5.0
légie,régie,régir,7,"(0, 1, 1)",2,5.0
laidi,raidi,raide,7,"(0, 1, 1)",2,5.0
pwrgé,purgé,purge,7,"(0, 1, 1)",2,5.0
matif,natif,nat,6,"(0, 1, 1)",2,5.0
navar,naval,nav,6,"(0, 1, 1)",2,5.0
aigli,aigri,aigre,7,"(0, 1, 1)",2,5.0
palia,paria,pari,7,"(0, 1, 1)",2,5.0
nonma,nomma,nom,6,"(0, 1, 1)",2,5.0
omdée,ondée,onde,5,"(0, 1, 1)",2,5.0
losie,rosie,rose,6,"(0, 1, 1)",2,5.0
rwiné,ruiné,ruine,7,"(0, 1, 1)",2,5.0
wsure,usure,user,6,"(0, 1, 1)",2,5.0
aboua,aboya,aboi,6,"(0, 1, 1)",2,5.0
nuret,muret,mur,7,"(0, 1, 1)",2,5.0
morlo,mollo,mou,5,"(0, 1, 1)",2,5.0
arpin,alpin,alpes,7,"(0, 1, 1)",2,5.0
anclé,ancré,ancre,6,"(0, 1, 1)",2,5.0
natar,natal,nat,6,"(0, 1, 1)",2,5.0
balbu,barbu,barbe,5,"(0, 1, 1)",2,5.0
ngagé,nagé,nage,6,"(0, 1, 1)",2,5.0
macré,nacré,nacre,6,"(0, 1, 1)",2,5.0
birer,biler,bile,5,"(0, 1, 1)",2,5.0
balra,barra,barre,6,"(0, 1, 1)",2,5.0
niter,miter,mettre,6,"(0, 1, 1)",2,5.0
ngisa,misa,mise,7,"(0, 1, 1)",2,5.0
resté,lesté,lest,7,"(0, 1, 1)",2,5.0
lotil,lotir,lot,5,"(0, 1, 1)",2,5.0
rutta,lutta,lutte,7,"(0, 1, 1)",2,5.0
masal,nasal,nez,6,"(0, 1, 1)",2,5.0
joyet,jouet,jouer,5,"(0, 1, 1)",2,5.0
jypon,jupon,jupe,6,"(0, 1, 1)",2,5.0
julon,juron,jurer,6,"(0, 1, 1)",2,5.0
racet,lacet,lacer,7,"(0, 1, 1)",2,5.0
racis,lacis,lacer,7,"(0, 1, 1)",2,5.0
laqyé,laqué,laque,6,"(0, 1, 1)",2,5.0
laldu,lardu,lard,6,"(0, 1, 1)",2,5.0
bomdé,bondé,bond,4,"(0, 1, 1)",2,5.0
bolna,borna,borne,5,"(0, 1, 1)",2,5.0
léagi,réagi,agir,7,"(1, 1, 0)",2,5.0
enfyi,enfui,fuir/te,5,"(1, 1, 0)",2,5.0
envor,envol,vol,5,"(1, 1, 0)",2,5.0
impul,impur,pur,5,"(1, 1, 0)",2,5.0
accry,accru,cru,6,"(1, 1, 0)",2,5.0
éclia,écria,cri,7,"(1, 1, 1)",3,5.0
inoyï,inouï,ouïr,4,"(1, 1, 0)",2,5.0
gyida,guida,guide,7,"(0, 1, 1)",2,5.0
golgé,gorgé,gorge,6,"(0, 1, 1)",2,5.0
graça,glaça,glace,7,"(0, 1, 1)",2,5.0
gifra,gifla,gifle,7,"(0, 1, 1)",2,5.0
blisa,brisa,bris,6,"(0, 1, 1)",2,5.0
boxel,boxer,box,4,"(0, 1, 1)",2,5.0
bossy,bossu,boss,4,"(0, 1, 1)",2,5.0
casel,caser,cas,6,"(0, 1, 1)",2,5.0
galda,garda,garde,7,"(0, 1, 1)",2,5.0
chyté,chuté,chute,7,"(0, 1, 1)",2,5.0
caysa,causa,cause,7,"(0, 1, 1)",2,5.0
folcé,forcé,force,6,"(0, 1, 1)",2,5.0
folgé,forgé,forge,6,"(0, 1, 1)",2,5.0
falci,farci,farce,7,"(0, 1, 1)",2,5.0
idéar,idéal,idée,7,"(0, 1, 1)",2,5.0
huiré,huilé,huile,7,"(0, 1, 1)",2,5.0
felré,ferré,fer,7,"(0, 1, 1)",2,5.0
faldé,fardé,fard,7,"(0, 1, 1)",2,5.0
dulci,durci,dur,7,"(0, 1, 1)",2,5.0
exiré,exilé,exil,7,"(0, 1, 1)",2,5.0
danez,damez,dame,7,"(0, 1, 1)",2,5.0
dilye,dilue,dilu,6,"(0, 1, 1)",2,5.0
cuvel,cuver,cuve,6,"(0, 1, 1)",2,5.0
darlé,dallé,dalle,7,"(0, 1, 1)",2,5.0
dyché,duché,duc,7,"(0, 1, 1)",2,5.0
dlapé,drapé,drap,7,"(0, 1, 1)",2,5.0
cibré,ciblé,cible,7,"(0, 1, 1)",2,5.0
croua,cloua,clou,5,"(0, 1, 1)",2,5.0
corla,colla,colle,6,"(0, 1, 1)",2,5.0
colné,corné,corne,6,"(0, 1, 1)",2,5.0
cowdé,coudé,coude,6,"(0, 1, 1)",2,5.0
ilisé,irisé,iris,7,"(0, 1, 1)",2,5.0
clado,crado,crade,6,"(0, 1, 1)",2,5.0
clêpé,crêpé,crêpe,7,"(0, 1, 1)",2,5.0
bisow,bisou,bise,4,"(0, 1, 1)",2,5.0
calgo,cargo,charge,6,"(0, 1, 1)",2,5.0
conté,comté,comte,6,"(0, 1, 1)",2,5.0
fligo,frigo,froid,6,"(0, 1, 1)",2,5.0
égawé,égayé,gay,7,"(1, 1, 1)",3,5.0
érimé,élimé,lime,7,"(1, 1, 1)",3,5.0
étila,étira,tir,7,"(1, 1, 1)",3,5.0
lavisa,ravisa,avis,7,"(1, 1, 1)",3,6.0
intwbe,intube,tube,6,"(1, 1, 1)",3,6.0
imonda,inonda,onde,6,"(1, 1, 1)",3,6.0
envora,envola,vol,5,"(1, 1, 1)",3,6.0
enrowa,enroua,rou,4,"(1, 1, 1)",3,6.0
engrué,englué,glu,5,"(1, 1, 1)",3,6.0
enfira,enfila,fil,6,"(1, 1, 1)",3,6.0
énelva,énerva,nerf,6,"(1, 1, 1)",3,6.0
emcodé,encodé,code,5,"(1, 1, 1)",3,6.0
empila,empira,pire,7,"(1, 1, 1)",3,6.0
emmwra,emmura,mur,6,"(1, 1, 1)",3,6.0
embuel,embuer,buer,6,"(1, 1, 1)",3,6.0
élalgi,élargi,large,7,"(1, 1, 1)",3,6.0
fories,folies,fou,6,"(0, 1, 1)",2,6.0
filims,filins,fil,7,"(0, 1, 1)",2,6.0
féelie,féerie,fée,7,"(0, 1, 1)",2,6.0
caveay,caveau,cave,6,"(0, 1, 1)",2,6.0
bétair,bétail,beta,6,"(0, 1, 1)",2,6.0
belger,berger,berg,5,"(0, 1, 1)",2,6.0
almure,armure,arme,6,"(0, 1, 1)",2,6.0
almada,armada,arme,7,"(0, 1, 1)",2,6.0
alchet,archet,arche,7,"(0, 1, 1)",2,6.0
alcher,archer,arche,6,"(0, 1, 1)",2,6.0
alcade,arcade,arc,7,"(0, 1, 1)",2,6.0
repria,replia,pli,7,"(1, 1, 1)",3,6.0
cwbain,cubain,cuba,7,"(0, 1, 1)",2,6.0
crwpté,crypté,crypt,7,"(0, 1, 1)",2,6.0
cloisa,croisa,croix,7,"(0, 1, 1)",2,6.0
cliard,criard,cri,7,"(0, 1, 1)",2,6.0
criamt,criant,cri,7,"(0, 1, 1)",2,6.0
crewsa,creusa,creux,7,"(0, 1, 1)",2,6.0
clashé,crashé,crash,7,"(0, 1, 1)",2,6.0
coulba,courba,courbe,6,"(0, 1, 1)",2,6.0
coupré,couplé,couple,6,"(0, 1, 1)",2,6.0
côteré,côtelé,côte,7,"(0, 1, 1)",2,6.0
colnet,cornet,corne,6,"(0, 1, 1)",2,6.0
coréem,coréen,corée,6,"(0, 1, 1)",2,6.0
coldon,cordon,corde,5,"(0, 1, 1)",2,6.0
cognté,conté,conte,5,"(0, 1, 1)",2,6.0
cofflé,coffré,coffre,6,"(0, 1, 1)",2,6.0
cochel,cocher,coche,5,"(0, 1, 1)",2,6.0
croqué,cloqué,cloque,6,"(0, 1, 1)",2,6.0
crarté,clarté,clair,7,"(0, 1, 1)",2,6.0
claqwa,claqua,claque,6,"(0, 1, 1)",2,6.0
ciseré,ciselé,ciseau,7,"(0, 1, 1)",2,6.0
cilage,cirage,cire,7,"(0, 1, 1)",2,6.0
cingré,cinglé,cingle,6,"(0, 1, 1)",2,6.0
cirler,ciller,cil,6,"(0, 1, 1)",2,6.0
duprex,duplex,double,7,"(0, 1, 1)",2,6.0
doubra,doubla,double,6,"(0, 1, 1)",2,6.0
dognna,donna,don,5,"(0, 1, 1)",2,6.0
dînels,dîners,dîner,6,"(0, 1, 1)",2,6.0
dictom,dicton,dict,6,"(0, 1, 1)",2,6.0
décole,décore,décor,6,"(0, 1, 1)",2,6.0
dangsa,dansa,danse,6,"(0, 1, 1)",2,6.0
damiel,damier,dame,6,"(0, 1, 1)",2,6.0
cwivré,cuivré,cuivre,7,"(0, 1, 1)",2,6.0
excysa,excusa,excuse,7,"(0, 1, 1)",2,6.0
étwdia,étudia,étude,7,"(0, 1, 1)",2,6.0
étoiré,étoilé,étoile,7,"(0, 1, 1)",2,6.0
essawa,essaya,essay,7,"(0, 1, 1)",2,6.0
espéla,espéra,espoir,7,"(0, 1, 1)",2,6.0
éqwité,équité,équ,7,"(0, 1, 1)",2,6.0
éqwipé,équipé,équipe,7,"(0, 1, 1)",2,6.0
épowsa,épousa,époux,6,"(0, 1, 1)",2,6.0
épawlé,épaulé,épaule,7,"(0, 1, 1)",2,6.0
emnuie,ennuie,ennui,6,"(0, 1, 1)",2,6.0
égarer,égaler,égal,6,"(0, 1, 1)",2,6.0
écrata,éclata,éclat,7,"(0, 1, 1)",2,6.0
écalta,écarta,écart,7,"(0, 1, 1)",2,6.0
duleté,dureté,durer,7,"(0, 1, 1)",2,6.0
fingal,final,fin,6,"(0, 1, 1)",2,6.0
firial,filial,fil,7,"(0, 1, 1)",2,6.0
filamt,filant,fil,7,"(0, 1, 1)",2,6.0
fielté,fierté,fier,7,"(0, 1, 1)",2,6.0
feutlé,feutré,feutre,7,"(0, 1, 1)",2,6.0
fêlyre,fêlure,fêler,6,"(0, 1, 1)",2,6.0
favoli,favori,faveur,6,"(0, 1, 1)",2,6.0
fawtif,fautif,faute,7,"(0, 1, 1)",2,6.0
faysse,fausse,faux,7,"(0, 1, 1)",2,6.0
fairli,failli,faille,7,"(0, 1, 1)",2,6.0
fadewr,fadeur,fade,5,"(0, 1, 1)",2,6.0
fabwle,fabule,fable,7,"(0, 1, 1)",2,6.0
friqwé,friqué,frique,6,"(0, 1, 1)",2,6.0
flérot,frérot,frère,6,"(0, 1, 1)",2,6.0
foulbi,fourbi,fourb,6,"(0, 1, 1)",2,6.0
foltin,fortin,fort,6,"(0, 1, 1)",2,6.0
former,formel,forme,6,"(0, 1, 1)",2,6.0
fornga,forma,forme,6,"(0, 1, 1)",2,6.0
folçat,forçat,force,6,"(0, 1, 1)",2,6.0
frotta,flotta,flot,7,"(0, 1, 1)",2,6.0
flilte,flirte,flirt,7,"(0, 1, 1)",2,6.0
fréché,fléché,flèche,7,"(0, 1, 1)",2,6.0
fraira,flaira,flair,7,"(0, 1, 1)",2,6.0
fiscar,fiscal,fisc,7,"(0, 1, 1)",2,6.0
finawd,finaud,fin,5,"(0, 1, 1)",2,6.0
gelmer,germer,germe,6,"(0, 1, 1)",2,6.0
gélant,gérant,gérer,7,"(0, 1, 1)",2,6.0
gêmeur,gêneur,gêne,4,"(0, 1, 1)",2,6.0
gêmant,gênant,gêne,6,"(0, 1, 1)",2,6.0
gerait,gelait,gel,7,"(0, 1, 1)",2,6.0
