Pseudoword,Word,Lemma,Levenshtein_Distance,prs,n_morphemes,Length
vila,vira,virer,7,"(0, 1, 0)",1,4
âcle,âcre,âcre,7,"(0, 1, 0)",1,4
abys,abus,abus,6,"(0, 1, 0)",1,4
abli,abri,abri,7,"(0, 1, 0)",1,4
wsai,usai,usai,7,"(0, 1, 0)",1,4
tlop,trop,trop,6,"(0, 1, 0)",1,4
tlès,très,très,7,"(0, 1, 0)",1,4
aile,aire,aire,7,"(0, 1, 0)",1,4
aîmé,aîné,aîné,6,"(0, 1, 0)",1,4
aigw,aigu,aigu,6,"(0, 1, 0)",1,4
diey,dieu,dieu,6,"(0, 1, 0)",1,4
cara,cala,caler,7,"(0, 1, 0)",1,4
cile,cire,cire,7,"(0, 1, 0)",1,4
dols,dors,dormir,6,"(0, 1, 0)",1,4
domt,dont,dont,5,"(0, 1, 0)",1,4
dône,dôme,dôme,7,"(0, 1, 0)",1,4
peaw,peau,peau,6,"(0, 1, 0)",1,4
paus,pays,pays,7,"(0, 1, 0)",1,4
pail,pair,pair,6,"(0, 1, 0)",1,4
owrs,ours,ours,5,"(0, 1, 0)",1,4
owïe,ouïe,ouïr,6,"(0, 1, 0)",1,4
sexw,sexy,sexy,7,"(0, 1, 0)",1,4
gole,gore,gore,6,"(0, 1, 0)",1,4
pals,pars,partir,7,"(0, 1, 0)",1,4
pali,pari,pari,7,"(0, 1, 0)",1,4
palc,parc,parc,7,"(0, 1, 0)",1,4
pagn,pan,pan,6,"(0, 1, 0)",1,4
pâre,pâle,pâle,7,"(0, 1, 0)",1,4
tald,tard,tard,7,"(0, 1, 0)",1,4
sybi,subi,subir,7,"(0, 1, 0)",1,4
ânge,âne,âne,6,"(0, 1, 0)",1,4
voni,vomi,vomir,6,"(0, 1, 0)",1,4
nwée,nuée,nuée,6,"(0, 1, 0)",1,4
noys,nous,nous,4,"(0, 1, 0)",1,4
gnos,nos,nos,5,"(0, 1, 0)",1,4
ngom,nom,nom,5,"(0, 1, 0)",1,4
poir,poil,poil,6,"(0, 1, 0)",1,4
pney,pneu,pneu,5,"(0, 1, 0)",1,4
prût,plût,plût,7,"(0, 1, 0)",1,4
sare,sale,sale,7,"(0, 1, 0)",1,4
rwse,ruse,ruse,7,"(0, 1, 0)",1,4
awbe,aube,aube,7,"(0, 1, 0)",1,4
âtle,âtre,âtre,7,"(0, 1, 0)",1,4
oewf,oeuf,oeuf,5,"(0, 1, 0)",1,4
oeir,oeil,oeil,6,"(0, 1, 0)",1,4
ocle,ocre,ocre,6,"(0, 1, 0)",1,4
obys,obus,obus,5,"(0, 1, 0)",1,4
prat,plat,plat,7,"(0, 1, 0)",1,4
main,nain,nain,6,"(0, 1, 0)",1,4
moël,noël,noël,5,"(0, 1, 0)",1,4
moce,noce,noce,5,"(0, 1, 0)",1,4
ngid,nid,nid,6,"(0, 1, 0)",1,4
neyf,neuf,neuf,5,"(0, 1, 0)",1,4
polt,port,porter,6,"(0, 1, 0)",1,4
lasa,rasa,raser,7,"(0, 1, 0)",1,4
rowe,roue,roue,5,"(0, 1, 0)",1,4
lôti,rôti,rôtir,7,"(0, 1, 0)",1,4
lodé,rodé,roder,6,"(0, 1, 0)",1,4
lime,rime,rime,7,"(0, 1, 0)",1,4
lide,ride,ride,7,"(0, 1, 0)",1,4
lêve,rêve,rêve,7,"(0, 1, 0)",1,4
ayto,auto,auto,6,"(0, 1, 0)",1,4
awge,auge,auge,7,"(0, 1, 0)",1,4
piom,pion,pion,6,"(0, 1, 0)",1,4
maïf,naïf,naïf,6,"(0, 1, 0)",1,4
gnûr,mûr,mûr,6,"(0, 1, 0)",1,4
mure,mule,mule,7,"(0, 1, 0)",1,4
bair,bail,bail,6,"(0, 1, 0)",1,4
babw,baby,baby,6,"(0, 1, 0)",1,4
azul,azur,azur,5,"(0, 1, 0)",1,4
rawé,rayé,rayer,7,"(0, 1, 0)",1,4
lavi,ravi,ravir,7,"(0, 1, 0)",1,4
polc,porc,porc,6,"(0, 1, 0)",1,4
pomt,pont,pont,5,"(0, 1, 0)",1,4
poro,polo,polo,5,"(0, 1, 0)",1,4
pôre,pôle,pôle,7,"(0, 1, 0)",1,4
merf,nerf,nerf,6,"(0, 1, 0)",1,4
méon,néon,néon,5,"(0, 1, 0)",1,4
mase,nase,nase,6,"(0, 1, 0)",1,4
maît,naît,naître,6,"(0, 1, 0)",1,4
noue,moue,moue,5,"(0, 1, 0)",1,4
nots,mots,mot,6,"(0, 1, 0)",1,4
gnot,mot,moto,6,"(0, 1, 0)",1,4
nort,mort,mort,6,"(0, 1, 0)",1,4
mold,mord,mordre,6,"(0, 1, 0)",1,4
purl,pull,pull,7,"(0, 1, 0)",1,4
pwce,puce,puce,7,"(0, 1, 0)",1,4
lame,rame,rame,7,"(0, 1, 0)",1,4
lâle,râle,râle,7,"(0, 1, 0)",1,4
laie,raie,raie,7,"(0, 1, 0)",1,4
lage,rage,rage,7,"(0, 1, 0)",1,4
pwni,puni,punir,6,"(0, 1, 0)",1,4
bamc,banc,banc,5,"(0, 1, 0)",1,4
powx,poux,poux,5,"(0, 1, 0)",1,4
poul,pour,pour,4,"(0, 1, 0)",1,4
poyf,pouf,pouf,5,"(0, 1, 0)",1,4
lade,rade,rade,7,"(0, 1, 0)",1,4
lace,race,race,7,"(0, 1, 0)",1,4
qwoi,quoi,quoi,6,"(0, 1, 0)",1,4
ngie,mie,mie,7,"(0, 1, 0)",1,4
qwai,quai,quai,7,"(0, 1, 0)",1,4
pumk,punk,punk,6,"(0, 1, 0)",1,4
puna,puma,puma,7,"(0, 1, 0)",1,4
momt,mont,mont,5,"(0, 1, 0)",1,4
ngon,mon,mon,5,"(0, 1, 0)",1,4
ngoi,moi,moi,6,"(0, 1, 0)",1,4
qwel,quel,quel,7,"(0, 1, 0)",1,4
plès,près,près,7,"(0, 1, 0)",1,4
lâpe,râpe,râpe,7,"(0, 1, 0)",1,4
plof,prof,prof,6,"(0, 1, 0)",1,4
plix,prix,prix,7,"(0, 1, 0)",1,4
plêt,prêt,prêt,7,"(0, 1, 0)",1,4
mals,mars,mars,7,"(0, 1, 0)",1,4
mali,mari,mari,7,"(0, 1, 0)",1,4
male,mare,mare,7,"(0, 1, 0)",1,4
nélo,mélo,mélo,6,"(0, 1, 0)",1,4
néga,méga,méga,7,"(0, 1, 0)",1,4
mauo,mayo,mayonnaise,6,"(0, 1, 0)",1,4
ngax,max,max,7,"(0, 1, 0)",1,4
mayx,maux,maux,6,"(0, 1, 0)",1,4
péli,péri,périr,7,"(0, 1, 0)",1,4
pyis,puis,puis,7,"(0, 1, 0)",1,4
nget,met,mettre,7,"(0, 1, 0)",1,4
mèle,mère,mère,7,"(0, 1, 0)",1,4
nger,mer,mer,6,"(0, 1, 0)",1,4
némé,mémé,mémé,7,"(0, 1, 0)",1,4
rair,rail,rail,7,"(0, 1, 0)",1,4
laid,raid,raide,7,"(0, 1, 0)",1,4
lyne,lune,lune,6,"(0, 1, 0)",1,4
lyge,luge,luge,7,"(0, 1, 0)",1,4
ling,ring,ring,6,"(0, 1, 0)",1,4
lhum,rhum,rhum,6,"(0, 1, 0)",1,4
mâre,mâle,mâle,7,"(0, 1, 0)",1,4
ngai,mai,mai,7,"(0, 1, 0)",1,4
lepu,repu,repu,6,"(0, 1, 0)",1,4
broc,bloc,bloc,5,"(0, 1, 0)",1,4
blew,bleu,bleu,5,"(0, 1, 0)",1,4
bred,bled,bled,6,"(0, 1, 0)",1,4
pire,pile,pile,7,"(0, 1, 0)",1,4
lare,rare,rare,7,"(0, 1, 0)",1,4
lapt,rapt,rapt,7,"(0, 1, 0)",1,4
reim,rein,rein,7,"(0, 1, 0)",1,4
réer,réel,réel,7,"(0, 1, 0)",1,4
ngat,mat,mate,7,"(0, 1, 0)",1,4
roto,loto,loto,5,"(0, 1, 0)",1,4
lold,lord,lord,6,"(0, 1, 0)",1,4
rogo,logo,logo,5,"(0, 1, 0)",1,4
robe,lobe,lob,6,"(0, 1, 0)",1,4
rion,lion,lion,6,"(0, 1, 0)",1,4
gnon,non,non,5,"(0, 1, 0)",1,4
moie,noie,noyer,5,"(0, 1, 0)",1,4
gnéo,néo,néo,5,"(0, 1, 0)",1,4
mage,nage,nage,6,"(0, 1, 0)",1,4
bowe,boue,boue,4,"(0, 1, 0)",1,4
boyc,bouc,bouc,4,"(0, 1, 0)",1,4
bold,bord,bord,5,"(0, 1, 0)",1,4
lend,rend,rend,6,"(0, 1, 0)",1,4
lyle,lyre,lyre,7,"(0, 1, 0)",1,4
lunx,lynx,lynx,6,"(0, 1, 0)",1,4
ruth,luth,luth,7,"(0, 1, 0)",1,4
lude,rude,rude,7,"(0, 1, 0)",1,4
rard,lard,lard,7,"(0, 1, 0)",1,4
rame,lame,lame,7,"(0, 1, 0)",1,4
reur,leur,leur,5,"(0, 1, 0)",1,4
rent,lent,lent,6,"(0, 1, 0)",1,4
rego,lego,lego,6,"(0, 1, 0)",1,4
liew,lieu,lieu,6,"(0, 1, 0)",1,4
lôle,rôle,rôle,7,"(0, 1, 0)",1,4
lois,rois,roi,6,"(0, 1, 0)",1,4
lock,rock,rock,6,"(0, 1, 0)",1,4
lobe,robe,robe,6,"(0, 1, 0)",1,4
lixe,rixe,rixe,7,"(0, 1, 0)",1,4
lite,rite,rite,7,"(0, 1, 0)",1,4
blas,bras,bras,6,"(0, 1, 0)",1,4
boyt,bout,bout,4,"(0, 1, 0)",1,4
lowp,loup,loup,5,"(0, 1, 0)",1,4
jype,jupe,jupe,6,"(0, 1, 0)",1,4
jwif,juif,juif,6,"(0, 1, 0)",1,4
jydo,judo,judo,6,"(0, 1, 0)",1,4
seaw,seau,seau,6,"(0, 1, 0)",1,4
lana,lama,lama,7,"(0, 1, 0)",1,4
rait,lait,lait,7,"(0, 1, 0)",1,4
raid,laid,laid,7,"(0, 1, 0)",1,4
rabo,labo,labo,6,"(0, 1, 0)",1,4
sayf,sauf,sauf,6,"(0, 1, 0)",1,4
sams,sans,sans,6,"(0, 1, 0)",1,4
bryn,brun,brun,5,"(0, 1, 0)",1,4
blis,bris,bris,6,"(0, 1, 0)",1,4
blio,brio,brio,5,"(0, 1, 0)",1,4
blin,brin,brin,6,"(0, 1, 0)",1,4
mile,mire,mirer,7,"(0, 1, 0)",1,4
romd,rond,rond,5,"(0, 1, 0)",1,4
issy,issu,issu,6,"(0, 1, 0)",1,4
ilis,iris,iris,7,"(0, 1, 0)",1,4
sawt,saut,saut,6,"(0, 1, 0)",1,4
joul,jour,jour,3,"(0, 1, 0)",1,4
joyg,joug,joug,4,"(0, 1, 0)",1,4
jori,joli,joli,5,"(0, 1, 0)",1,4
jeyx,jeux,jeux,5,"(0, 1, 0)",1,4
sewl,seul,seul,6,"(0, 1, 0)",1,4
ngal,mal,mal,7,"(0, 1, 0)",1,4
nais,mais,mais,7,"(0, 1, 0)",1,4
lyxe,luxe,luxe,7,"(0, 1, 0)",1,4
bwts,buts,buts,6,"(0, 1, 0)",1,4
bwse,buse,buse,6,"(0, 1, 0)",1,4
byée,buée,buer,6,"(0, 1, 0)",1,4
kiro,kilo,kilo,6,"(0, 1, 0)",1,4
july,jury,jury,5,"(0, 1, 0)",1,4
howx,houx,houx,5,"(0, 1, 0)",1,4
hols,hors,hors,6,"(0, 1, 0)",1,4
hono,homo,homo,5,"(0, 1, 0)",1,4
sile,sire,sire,7,"(0, 1, 0)",1,4
siro,silo,silo,6,"(0, 1, 0)",1,4
siem,sien,sien,7,"(0, 1, 0)",1,4
shoy,show,show,6,"(0, 1, 0)",1,4
imfo,info,info,5,"(0, 1, 0)",1,4
sore,sole,sole,6,"(0, 1, 0)",1,4
rové,lové,lover,6,"(0, 1, 0)",1,4
roua,loua,louer,5,"(0, 1, 0)",1,4
rors,lors,lors,6,"(0, 1, 0)",1,4
loim,loin,loin,6,"(0, 1, 0)",1,4
roge,loge,loge,6,"(0, 1, 0)",1,4
sels,sers,servir,7,"(0, 1, 0)",1,4
ivle,ivre,ivre,7,"(0, 1, 0)",1,4
soro,solo,solo,5,"(0, 1, 0)",1,4
stal,star,star,6,"(0, 1, 0)",1,4
swit,suit,suivre,7,"(0, 1, 0)",1,4
hélo,héro,héro,6,"(0, 1, 0)",1,4
soys,sous,soudre,5,"(0, 1, 0)",1,4
soyk,souk,souk,5,"(0, 1, 0)",1,4
jyge,juge,juge,6,"(0, 1, 0)",1,4
jowa,joua,jouer,4,"(0, 1, 0)",1,4
reva,leva,lever,7,"(0, 1, 0)",1,4
rava,lava,laver,7,"(0, 1, 0)",1,4
soil,soir,soir,5,"(0, 1, 0)",1,4
soim,soin,soin,6,"(0, 1, 0)",1,4
smob,snob,snob,5,"(0, 1, 0)",1,4
slou,slow,slow,6,"(0, 1, 0)",1,4
srip,slip,slip,7,"(0, 1, 0)",1,4
hyit,huit,huit,7,"(0, 1, 0)",1,4
glès,grès,grès,7,"(0, 1, 0)",1,4
glec,grec,grec,7,"(0, 1, 0)",1,4
styc,stuc,stuc,6,"(0, 1, 0)",1,4
haro,halo,halo,6,"(0, 1, 0)",1,4
harl,hall,hall,7,"(0, 1, 0)",1,4
