Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
ambiance,ambiant,"(0, 1, 1)",12.33,2,8,3.42,4.59
argument,arguer,"(0, 1, 1)",9.58,2,8,2.51,4.28
audience,audio,"(0, 1, 1)",14.01,2,8,4.07,4.33
horrible,horreur,"(0, 1, 1)",67.2299999999999,2,8,4.41,4.38
maritime,mer,"(0, 1, 1)",2.37,2,8,5.1,4.3
milliard,mille,"(0, 1, 1)",17.5099999999999,2,8,4.64,4.11
milliers,mille,"(0, 1, 1)",37.93,2,8,4.64,4.7
paiement,payer,"(0, 1, 1)",4.36,2,8,5.01,4.43
patience,patient,"(0, 1, 1)",29.93,2,8,4.42,4.26
position,poser,"(0, 1, 1)",61.73,2,8,4.83,5.07
positive,poser,"(0, 1, 1)",5.88,2,8,4.83,4.28
présence,présent,"(0, 1, 1)",45.02,2,8,5.08,5.05
alliance,lier,"(1, 1, 1)",18.85,3,8,3.74,4.57
démontre,montrer,"(1, 1, 0)",5.77,2,8,4.93,4.09
dialogue,logue/ie,"(1, 1, 0)",16.72,2,8,2.37,4.42
remarque,marque,"(1, 1, 0)",20.19,2,8,5.02,4.54
réaction,acte,"(1, 1, 1)",26.4,3,8,4.79,4.68
variable,varier,"(0, 1, 1)",1.12,2,8,3.88,4.16
vivement,vivre,"(0, 1, 1)",5.85,2,8,5.21,4.34
vraiment,vrai,"(0, 1, 1)",968.57,2,8,5.57,5.8
contient,tenir,"(1, 1, 0)",32.31,2,8,4.89,4.59
inutiles,utile,"(1, 1, 0)",79.5,2,8,4.69,4.1
poursuit,suivre,"(1, 1, 0)",67.32,2,8,5.01,4.41
réformes,forme,"(1, 1, 0)",0.86,2,8,5.35,4.26
soutenue,tenue,"(1, 1, 0)",1.53,2,8,4.62,4.01
prudence,prud,"(0, 1, 1)",5.04,2,8,1.7,4.04
quartier,quart,"(0, 1, 1)",65.71,2,8,4.47,4.93
purement,pur,"(0, 1, 1)",3.99,2,8,4.42,4.19
rarement,rare,"(0, 1, 1)",14.05,2,8,4.67,4.49
septième,sept,"(0, 1, 1)",7.06,2,8,5.0,4.15
sûrement,sûr,"(0, 1, 1)",133.67,2,8,5.27,4.7
