Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
accident,accident,"(0, 1, 0)",108.21,1,8,4.77,4.77
objectif,objectif,"(0, 1, 0)",23.3699999999999,1,8,4.91,4.91
véhicule,véhicule,"(0, 1, 0)",22.4199999999999,1,8,4.61,4.61
massacre,massacre,"(0, 1, 0)",16.58,1,8,4.13,4.13
masculin,masculin,"(0, 1, 0)",8.65,1,8,4.18,4.18
triomphe,triomphe,"(0, 1, 0)",11.44,1,8,4.02,4.02
terrasse,terrasse,"(0, 1, 0)",10.89,1,8,4.09,4.09
reproche,reproche,"(0, 1, 0)",13.15,1,8,4.17,4.17
attitude,attitude,"(0, 1, 0)",23.03,1,8,4.5,4.5
atteinte,atteindre,"(0, 1, 0)",63.59,1,8,4.73,4.34
assiette,assiette,"(0, 1, 0)",21.24,1,8,4.07,4.07
appareil,appareil,"(0, 1, 0)",51.54,1,8,4.72,4.72
allemand,allemand,"(0, 1, 0)",90.41,1,8,4.8,4.8
conquête,conquérir/te,"(0, 1, 0)",19.99,1,8,3.84,4.2
conduite,conduire,"(0, 1, 0)",190.88,1,8,4.56,4.58
concours,concours,"(0, 1, 0)",24.23,1,8,4.9,4.9
comprend,comprendre,"(0, 1, 0)",975.91,1,8,5.14,4.96
critique,critique,"(0, 1, 0)",26.02,1,8,4.95,4.95
courrier,courrier,"(0, 1, 0)",23.99,1,8,4.36,4.36
couronne,couronne,"(0, 1, 0)",23.95,1,8,4.42,4.42
conserve,conserve,"(0, 1, 0)",9.01,1,8,4.21,4.21
complexe,complexe,"(0, 1, 0)",14.67,1,8,4.66,4.66
champion,champion,"(0, 1, 0)",34.9,1,8,4.64,4.64
chambres,chambre,"(0, 1, 0)",289.67,1,8,5.24,4.43
céréales,céréales,"(0, 1, 0)",4.62,1,8,4.08,4.08
colonies,colonies,"(0, 1, 0)",3.22,1,8,4.1,4.1
collègue,collègue,"(0, 1, 0)",38.94,1,8,4.31,4.31
chocolat,chocolat,"(0, 1, 0)",32.9,1,8,4.49,4.49
chapelle,chapelle,"(0, 1, 0)",7.42,1,8,4.3,4.3
chantier,chantier,"(0, 1, 0)",12.9599999999999,1,8,4.3,4.3
dimanche,dimanche,"(0, 1, 0)",63.97,1,8,5.03,5.03
diamètre,diamètre,"(0, 1, 0)",1.81,1,8,4.23,4.23
décembre,décembre,"(0, 1, 0)",8.55,1,8,5.15,5.15
bordeaux,bordeaux,"(0, 1, 0)",1.36,1,8,4.68,4.68
beaucoup,beaucoup,"(0, 1, 0)",626.0,1,8,5.75,5.75
batterie,batterie,"(0, 1, 0)",14.2399999999999,1,8,4.5,4.5
bataille,bataille,"(0, 1, 0)",28.47,1,8,4.7,4.7
aventure,aventure,"(0, 1, 0)",30.59,1,8,4.59,4.59
avantage,avantage,"(0, 1, 0)",25.22,1,8,4.7,4.7
habitude,habitude,"(0, 1, 0)",98.2299999999999,1,8,4.83,4.83
coupable,coupable,"(0, 1, 0)",72.44,1,8,4.46,4.46
contexte,contexte,"(0, 1, 0)",4.34,1,8,4.79,4.79
constant,constant,"(0, 1, 0)",7.31999999999999,1,8,4.06,4.06
fauteuil,fauteuil,"(0, 1, 0)",19.26,1,8,4.15,4.15
escalier,escalier,"(0, 1, 0)",32.29,1,8,4.21,4.21
environs,environ,"(0, 1, 0)",61.8,1,8,5.2,4.27
vendredi,vendredi,"(0, 1, 0)",32.49,1,8,4.95,4.95
venaient,venir,"(0, 1, 0)",2785.6,1,8,5.18,4.01
vaisseau,vaisseau,"(0, 1, 0)",83.38,1,8,4.27,4.27
tragédie,tragédie,"(0, 1, 0)",15.59,1,8,4.12,4.12
traduire,traduire,"(0, 1, 0)",13.6199999999999,1,8,4.1,4.1
commerce,commerce,"(0, 1, 0)",18.82,1,8,4.93,4.93
commande,commande,"(0, 1, 0)",53.66,1,8,4.58,4.58
