Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
abattoir,abattre,"(0, 1, 1)",3.15,2,8,3.86,3.45
blaireau,blair,"(0, 1, 1)",4.14,2,8,3.6,3.14
cantique,chant,"(0, 1, 1)",1.67,2,8,4.29,2.98
capeline,cape,"(0, 1, 1)",0.1,2,8,3.74,1.73
carriole,car,"(0, 1, 1)",1.42,2,8,5.68,2.55
casseurs,casser,"(0, 1, 1)",1.39,2,8,4.36,3.34
chevalet,cheval,"(0, 1, 1)",0.52,2,8,4.7,2.98
citadins,cité,"(0, 1, 1)",0.58,2,8,4.83,3.27
asociaux,socio,"(1, 1, 1)",0.32,3,8,3.99,2.09
condensé,dense,"(1, 1, 1)",0.23,3,8,3.89,3.11
consacra,sacre,"(1, 1, 1)",17.0399999999999,3,8,3.68,3.03
dadaïste,dada,"(0, 1, 1)",0.01,2,8,3.17,1.89
débitait,débit,"(0, 1, 1)",1.25,2,8,4.24,1.64
débutait,début,"(0, 1, 1)",8.13,2,8,5.4,2.78
dérobade,dérober,"(0, 1, 1)",0.21,2,8,3.21,2.03
déférent,déférer,"(0, 1, 1)",0.0,2,8,2.24,1.96
signifia,signe,"(0, 1, 1)",67.1699999999999,2,8,4.89,1.9
sismique,séisme,"(0, 1, 1)",0.56,2,8,3.71,3.07
sociable,socio,"(0, 1, 1)",1.79,2,8,3.99,3.26
triplait,tri,"(0, 1, 2)",1.68,3,8,3.98,1.31
souhaita,souhait,"(0, 1, 1)",82.1,2,8,3.97,2.26
spectral,spectre,"(0, 1, 1)",0.17,2,8,4.02,2.56
squatter,squat,"(0, 1, 1)",0.59,2,8,3.21,3.04
stockées,stock,"(0, 1, 1)",2.16,2,8,4.16,3.11
supporta,support,"(0, 1, 1)",87.13,2,8,4.32,1.88
syndique,syndic,"(0, 1, 1)",0.39,2,8,3.58,1.74
abattage,abattre,"(0, 1, 1)",0.63,2,8,3.86,3.44
névrosée,nerf,"(0, 1, 2)",0.61,3,8,3.69,2.22
notariat,note,"(0, 1, 2)",0.0,3,8,4.96,2.77
comptine,compter,"(0, 1, 1)",1.73,2,8,4.8,2.8
concerto,concert,"(0, 1, 1)",1.56,2,8,4.66,3.3
vivotant,vivre,"(0, 1, 2)",0.0,3,8,5.21,1.25
rigolard,rigoler,"(0, 1, 1)",0.01,2,8,3.76,1.84
rougeaud,rouge,"(0, 1, 1)",0.14,2,8,5.13,1.66
rudement,rude,"(0, 1, 1)",2.42,2,8,3.89,2.86
sagement,sage,"(0, 1, 1)",2.39,2,8,4.29,3.33
mallette,malle,"(0, 1, 1)",8.97,2,8,3.38,3.11
marinade,mer,"(0, 1, 2)",1.44,3,8,5.1,2.57
grutiers,grue,"(0, 1, 1)",0.0,2,8,3.45,1.74
ivrognes,ivre,"(0, 1, 1)",12.91,2,8,3.79,2.71
jouvence,jeune,"(0, 1, 1)",0.81,2,8,5.4,2.94
soignait,soin,"(0, 1, 1)",43.9699999999999,2,8,4.7,2.6
salivant,salive,"(0, 1, 1)",0.37,2,8,3.44,1.29
sanglota,sanglot,"(0, 1, 1)",1.75,2,8,2.44,1.18
tailladé,taille,"(0, 1, 1)",0.95,2,8,4.9,2.0
talonnée,talon,"(0, 1, 1)",0.0699999999999999,2,8,3.76,1.65
tapageur,tapage,"(0, 1, 1)",0.16,2,8,3.15,2.21
tapaient,tape,"(0, 1, 1)",37.28,2,8,4.25,2.44
railleur,railler,"(0, 1, 1)",0.19,2,8,2.57,1.96
raisonne,raison,"(0, 1, 1)",6.16,2,8,5.5,3.06
ramifier,rame,"(0, 1, 1)",0.0,2,8,3.63,1.48
rectifia,rect,"(0, 1, 1)",1.54,2,8,2.24,1.4
régalait,régal,"(0, 1, 1)",6.70999999999999,2,8,3.36,1.94
luisante,luire,"(0, 1, 1)",0.3,2,8,2.17,2.18
magnétos,magnéto,"(0, 1, 1)",2.88999999999999,2,8,2.8,1.86
maléfice,mal,"(0, 1, 1)",1.78,2,8,5.68,2.36
fluidité,flux,"(0, 1, 2)",0.39,3,8,4.27,3.38
malingre,mal,"(0, 1, 1)",0.03,2,8,5.68,2.11
savoyard,savoie,"(0, 1, 1)",0.1,2,8,4.14,3.02
regretta,regret,"(0, 1, 1)",85.82,2,8,3.93,2.09
relaxant,relax,"(0, 1, 1)",7.73,2,8,3.4,2.92
rencarde,rencard,"(0, 1, 1)",0.34,2,8,3.09,1.36
répliqua,réplique,"(0, 1, 1)",1.08999999999999,2,8,4.0,2.57
reprocha,reproche,"(0, 1, 1)",10.77,2,8,4.17,2.17
tournoie,tour,"(0, 1, 1)",0.38,2,8,5.37,1.97
tournons,tour,"(0, 1, 1)",1.88,2,8,5.37,2.72
trafiqué,trafic,"(0, 1, 1)",3.57,2,8,4.47,2.62
marécage,marais,"(0, 1, 1)",3.18,2,8,3.99,2.83
nourrice,nourrir,"(0, 1, 1)",6.17,2,8,4.27,3.23
offrande,offre,"(0, 1, 1)",4.54,2,8,5.12,3.32
oisiveté,oisif,"(0, 1, 1)",0.59,2,8,2.42,2.76
omission,omettre,"(0, 1, 1)",0.78,2,8,2.93,3.2
paranoïa,parano,"(0, 1, 1)",2.03,2,8,3.58,3.33
parfaire,parfait,"(0, 1, 1)",0.58,2,8,4.86,3.23
parlotes,parler,"(0, 1, 1)",0.03,2,8,5.52,1.34
salement,sale,"(0, 1, 1)",2.28,2,8,4.62,3.18
purgatif,purge,"(0, 1, 1)",0.55,2,8,3.54,1.84
purulent,puruler,"(0, 1, 1)",0.06,2,8,0.0,2.0
rabotant,rabot,"(0, 1, 1)",0.14,2,8,2.74,1.22
radoteur,radoter,"(0, 1, 1)",0.23,2,8,2.08,1.59
poulette,poule,"(0, 1, 1)",3.41,2,8,4.21,2.97
présager,présage,"(0, 1, 1)",0.14,2,8,3.21,3.11
présenta,présent,"(0, 1, 1)",0.93,2,8,5.08,3.31
pressant,presser,"(0, 1, 1)",2.0,2,8,3.61,3.15
presseur,press,"(0, 1, 1)",0.01,2,8,4.0,1.75
pressing,press,"(0, 1, 1)",2.52,2,8,4.0,3.26
princier,prince,"(0, 1, 1)",0.59,2,8,4.8,2.93
pimpante,pimp,"(0, 1, 1)",0.46,2,8,2.46,2.22
poivrons,poivre,"(0, 1, 1)",1.85,2,8,3.76,3.07
prostrée,prostrer,"(0, 1, 1)",0.15,2,8,0.0,2.09
prunelle,prune,"(0, 1, 1)",1.09999999999999,2,8,3.11,2.71
psychose,psycho,"(0, 1, 1)",1.79,2,8,3.61,3.35
pulpeuse,pulpe,"(0, 1, 1)",0.11,2,8,3.13,2.65
regardée,regard,"(0, 1, 1)",1196.98,2,8,4.84,3.43
probants,prob,"(0, 1, 1)",0.06,2,8,2.6,2.86
tortueux,tort,"(0, 1, 1)",0.44,2,8,4.54,2.73
piqueuse,piquer,"(0, 1, 1)",0.0,2,8,3.88,1.33
pontages,pont,"(0, 1, 1)",0.04,2,8,4.76,1.71
pontifie,pontife,"(0, 1, 1)",0.0,2,8,3.15,1.1
populace,popul,"(0, 1, 1)",1.53,2,8,1.56,3.05
portatif,porter,"(0, 1, 1)",0.4,2,8,4.98,2.89
portière,porte,"(0, 1, 1)",4.96,2,8,5.47,3.32
portique,porte,"(0, 1, 1)",0.389999999999999,2,8,5.47,3.36
posément,poser,"(0, 1, 1)",0.1,2,8,4.83,2.56
armurier,arme,"(0, 1, 2)",0.6,3,8,4.67,2.69
puritain,pur,"(0, 1, 1)",0.69,2,8,4.42,2.59
quadrant,quatre,"(0, 1, 1)",0.64,2,8,5.42,2.84
