Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
fini,fin,"(0, 1, 1)",583.05,2,4,5.67,5.02
data,dat,"(0, 1, 1)",6.91,2,4,3.01,4.02
coté,cote,"(0, 1, 1)",15.71,2,4,4.24,4.4
jugé,juge,"(0, 1, 1)",41.1,2,4,4.9,4.31
armé,arme,"(0, 1, 1)",152.6,2,4,4.67,4.21
voté,vote,"(0, 1, 1)",20.21,2,4,4.88,4.39
magie,mage,"(0, 1, 1)",25.58,2,5,3.31,4.33
agent,agir,"(0, 1, 1)",117.42,2,5,4.67,4.66
actif,acte,"(0, 1, 1)",14.2199999999999,2,5,4.79,4.49
usage,user,"(0, 1, 1)",14.45,2,5,3.86,4.83
final,fin,"(0, 1, 1)",26.0,2,5,5.67,4.87
comté,comte,"(0, 1, 1)",10.96,2,5,4.63,4.25
tueur,tuer,"(0, 1, 1)",70.31,2,5,4.77,4.05
santé,sain,"(0, 1, 1)",88.58,2,5,4.06,5.22
unité,un,"(0, 1, 1)",29.29,2,5,7.11,4.77
malin,mal,"(0, 1, 1)",58.0199999999999,2,5,5.68,4.15
donna,don,"(0, 1, 1)",1265.08,2,5,4.72,4.16
forcé,force,"(0, 1, 1)",52.0699999999999,2,5,5.22,4.3
maria,mari,"(0, 1, 1)",282.32,2,5,4.8,4.35
idéal,idée,"(0, 1, 1)",33.06,2,5,5.38,4.47
enjeu,jeu,"(1, 1, 0)",3.52,2,5,5.49,4.11
remet,mettre,"(1, 1, 0)",138.17,2,5,5.55,4.24
enfin,fin,"(1, 1, 0)",265.83,2,5,5.67,5.47
revue,vue,"(1, 1, 0)",33.09,2,5,5.37,4.72
étend,tendre,"(1, 1, 0)",25.8399999999999,2,5,4.17,4.17
débat,battre,"(1, 1, 0)",17.43,2,5,4.67,4.84
abord,bord,"(1, 1, 0)",2.22,2,5,4.98,5.19
voila,voile,"(0, 1, 1)",38.71,2,5,4.49,4.33
posté,poste,"(0, 1, 1)",7.76,2,5,5.08,4.13
sacré,sacre,"(0, 1, 1)",85.11,2,5,3.68,4.54
parti,partir,"(0, 1, 1)",215.74,2,5,5.48,5.44
union,un,"(0, 1, 1)",18.1,2,5,7.11,4.99
prévu,vue,"(1, 1, 0)",61.3,2,5,5.37,4.78
réuni,un,"(1, 1, 1)",38.79,3,5,7.11,4.01
appuie,appuyer,"(0, 1, 1)",40.29,2,6,4.21,4.23
annuel,an,"(0, 1, 1)",5.15,2,6,5.36,4.32
acteur,acte,"(0, 1, 1)",74.76,2,6,4.79,4.64
ballon,balle,"(0, 1, 1)",32.92,2,6,4.6,4.42
vision,voir,"(0, 1, 1)",35.47,2,6,5.94,4.72
