Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
très,très,"(0, 1, 0)",1589.92,1,4,6.12,6.12
taxe,taxe,"(0, 1, 0)",4.87,1,4,4.49,4.49
tard,tard,"(0, 1, 0)",384.48,1,4,5.34,5.34
acte,acte,"(0, 1, 0)",56.81,1,4,4.79,4.79
abus,abus,"(0, 1, 0)",4.75,1,4,4.44,4.44
sale,sale,"(0, 1, 0)",150.24,1,4,4.62,4.62
août,août,"(0, 1, 0)",12.65,1,4,5.14,5.14
ange,ange,"(0, 1, 0)",69.28,1,4,4.41,4.41
aire,aire,"(0, 1, 0)",5.54,1,4,4.1,4.1
fond,fondre,"(0, 1, 0)",131.84,1,4,3.91,5.2
fois,fois,"(0, 1, 0)",899.25,1,4,5.95,5.95
foie,foie,"(0, 1, 0)",23.48,1,4,4.16,4.16
flux,flux,"(0, 1, 0)",4.07,1,4,4.27,4.27
flic,flic,"(0, 1, 0)",153.5,1,4,4.05,4.05
fine,fin,"(0, 1, 0)",244.4,1,4,5.67,4.29
fils,fils,"(0, 1, 0)",497.59,1,4,5.4,5.4
sexy,sexy,"(0, 1, 0)",26.83,1,4,4.43,4.43
jazz,jazz,"(0, 1, 0)",7.38,1,4,4.18,4.18
foot,foot,"(0, 1, 0)",24.18,1,4,4.45,4.45
sain,sain,"(0, 1, 0)",26.63,1,4,4.06,4.06
sage,sage,"(0, 1, 0)",44.57,1,4,4.29,4.29
saga,saga,"(0, 1, 0)",0.73,1,4,4.02,4.02
rond,rond,"(0, 1, 0)",38.69,1,4,4.27,4.27
rôle,rôle,"(0, 1, 0)",69.38,1,4,5.14,5.14
avis,avis,"(0, 1, 0)",139.22,1,4,5.21,5.21
avec,avec,"(0, 1, 0)",3704.89,1,4,6.65,6.65
auto,auto,"(0, 1, 0)",18.67,1,4,4.66,4.66
aube,aube,"(0, 1, 0)",30.41,1,4,4.23,4.23
tape,tape,"(0, 1, 0)",25.5299999999999,1,4,4.25,4.25
subi,subir,"(0, 1, 0)",28.86,1,4,4.3,4.28
vite,vite,"(0, 1, 0)",491.67,1,4,5.31,5.31
trop,trop,"(0, 1, 0)",859.54,1,4,5.83,5.83
sexe,sexe,"(0, 1, 0)",52.0899999999999,1,4,4.75,4.75
seul,seul,"(0, 1, 0)",993.91,1,4,5.58,5.58
sept,sept,"(0, 1, 0)",66.08,1,4,5.0,5.0
sens,sentir,"(0, 1, 0)",653.47,1,4,4.68,5.5
sang,sang,"(0, 1, 0)",304.3,1,4,4.98,4.98
sait,sait,"(0, 1, 0)",401.46,1,4,5.32,5.32
réel,réel,"(0, 1, 0)",41.8,1,4,4.69,4.69
rare,rare,"(0, 1, 0)",33.28,1,4,4.67,4.67
rang,rang,"(0, 1, 0)",28.21,1,4,4.58,4.58
race,race,"(0, 1, 0)",30.55,1,4,4.6,4.6
best,bête,"(0, 1, 0)",124.74,1,4,4.51,4.29
bébé,bébé,"(0, 1, 0)",191.63,1,4,4.81,4.81
roue,roue,"(0, 1, 0)",22.11,1,4,4.21,4.21
rêve,rêve,"(0, 1, 0)",201.55,1,4,4.84,4.84
rois,roi,"(0, 1, 0)",178.09,1,4,5.18,4.25
rock,rock,"(0, 1, 0)",21.47,1,4,4.48,4.48
prix,prix,"(0, 1, 0)",126.55,1,4,5.59,5.59
buts,buts,"(0, 1, 0)",4.63,1,4,4.75,4.75
brun,brun,"(0, 1, 0)",20.7299999999999,1,4,4.13,4.13
bras,bras,"(0, 1, 0)",149.26,1,4,5.02,5.02
bout,bout,"(0, 1, 0)",131.11,1,4,5.13,5.13
boss,boss,"(0, 1, 0)",13.45,1,4,4.21,4.21
bord,bord,"(0, 1, 0)",79.9,1,4,4.98,4.98
bond,bond,"(0, 1, 0)",4.68999999999999,1,4,4.02,4.02
bois,boire,"(0, 1, 0)",580.44,1,4,4.62,5.15
bloc,bloc,"(0, 1, 0)",14.25,1,4,4.49,4.49
bleu,bleu,"(0, 1, 0)",96.7299999999999,1,4,4.75,4.75
quoi,quoi,"(0, 1, 0)",2481.98,1,4,5.84,5.84
quel,quel,"(0, 1, 0)",1273.62,1,4,5.45,5.45
quai,quai,"(0, 1, 0)",14.01,1,4,4.21,4.21
sida,sida,"(0, 1, 0)",5.02,1,4,4.02,4.02
show,show,"(0, 1, 0)",0.09,1,4,4.45,4.45
pôle,pôle,"(0, 1, 0)",3.59,1,4,4.35,4.35
poil,poil,"(0, 1, 0)",39.33,1,4,4.23,4.23
pile,pile,"(0, 1, 0)",23.8,1,4,4.19,4.19
paie,payer,"(0, 1, 0)",442.52,1,4,5.01,4.37
camp,camp,"(0, 1, 0)",114.93,1,4,4.84,4.84
cage,cage,"(0, 1, 0)",18.3,1,4,4.1,4.1
café,café,"(0, 1, 0)",178.44,1,4,4.76,4.76
sein,sein,"(0, 1, 0)",44.9,1,4,5.05,5.05
sous,soudre,"(0, 1, 0)",337.04,1,4,1.42,5.9
sors,sortir,"(0, 1, 0)",878.709999999999,1,4,5.19,4.51
solo,solo,"(0, 1, 0)",4.81,1,4,4.37,4.37
soir,soir,"(0, 1, 0)",575.71,1,4,5.49,5.49
soin,soin,"(0, 1, 0)",72.0,1,4,4.7,4.7
soif,soif,"(0, 1, 0)",31.28,1,4,4.05,4.05
site,site,"(0, 1, 0)",17.17,1,4,5.47,5.47
prof,prof,"(0, 1, 0)",37.82,1,4,4.45,4.45
plan,plan,"(0, 1, 0)",150.95,1,4,5.32,5.32
pire,pire,"(0, 1, 0)",146.019999999999,1,4,5.1,5.1
suit,suivre,"(0, 1, 0)",545.329999999999,1,4,5.01,4.69
stop,stop,"(0, 1, 0)",44.5,1,4,4.36,4.36
mise,mise,"(0, 1, 0)",76.74,1,4,5.32,5.32
mine,mine,"(0, 1, 0)",50.35,1,4,4.44,4.44
cent,cent,"(0, 1, 0)",54.82,1,4,4.65,4.65
cela,cela,"(0, 1, 0)",492.86,1,4,5.72,5.72
ceci,ceci,"(0, 1, 0)",133.07,1,4,4.94,4.94
cave,cave,"(0, 1, 0)",23.99,1,4,4.17,4.17
prêt,prêt,"(0, 1, 0)",275.38,1,4,4.99,4.99
pour,pour,"(0, 1, 0)",7106.24,1,4,6.98,6.98
pote,pote,"(0, 1, 0)",84.92,1,4,4.56,4.56
port,porter,"(0, 1, 0)",261.739999999999,1,4,4.98,4.86
porc,porc,"(0, 1, 0)",41.07,1,4,4.14,4.14
pont,pont,"(0, 1, 0)",56.42,1,4,4.76,4.76
luxe,luxe,"(0, 1, 0)",15.52,1,4,4.45,4.45
lors,lors,"(0, 1, 0)",35.79,1,4,5.57,5.57
loin,loin,"(0, 1, 0)",248.34,1,4,5.39,5.39
juge,juge,"(0, 1, 0)",79.35,1,4,4.9,4.9
idem,idem,"(0, 1, 0)",1.86,1,4,4.02,4.02
hier,hier,"(0, 1, 0)",223.77,1,4,5.21,5.21
chez,chez,"(0, 1, 0)",842.18,1,4,5.8,5.8
chef,chef,"(0, 1, 0)",205.25,1,4,5.34,5.34
chat,chat,"(0, 1, 0)",93.0,1,4,4.76,4.76
star,star,"(0, 1, 0)",39.35,1,4,4.71,4.71
pied,pied,"(0, 1, 0)",214.079999999999,1,4,5.04,5.04
peut,pouvoir,"(0, 1, 0)",4854.43,1,4,5.5,6.19
peur,peur,"(0, 1, 0)",557.21,1,4,5.24,5.24
père,père,"(0, 1, 0)",895.56,1,4,5.44,5.44
perd,perdre,"(0, 1, 0)",578.31,1,4,5.02,4.64
plat,plat,"(0, 1, 0)",40.91,1,4,4.52,4.52
clip,clip,"(0, 1, 0)",2.12,1,4,4.23,4.23
clan,clan,"(0, 1, 0)",8.83,1,4,4.23,4.23
cinq,cinq,"(0, 1, 0)",161.96,1,4,5.28,5.28
ciel,ciel,"(0, 1, 0)",162.37,1,4,4.89,4.89
chou,chou,"(0, 1, 0)",25.5,1,4,4.05,4.05
choc,choc,"(0, 1, 0)",32.93,1,4,4.48,4.48
mais,mais,"(0, 1, 0)",5180.5,1,4,6.62,6.62
peau,peau,"(0, 1, 0)",83.83,1,4,4.81,4.81
pays,pays,"(0, 1, 0)",202.57,1,4,5.79,5.79
pâte,pâte,"(0, 1, 0)",16.39,1,4,4.1,4.1
pars,partir,"(0, 1, 0)",1455.98999999999,1,4,5.48,4.38
pari,pari,"(0, 1, 0)",26.61,1,4,4.12,4.12
parc,parc,"(0, 1, 0)",32.86,1,4,4.87,4.87
tête,tête,"(0, 1, 0)",475.87,1,4,5.53,5.53
test,test,"(0, 1, 0)",55.37,1,4,4.69,4.69
tend,tendre,"(0, 1, 0)",58.01,1,4,4.17,4.1
coin,coin,"(0, 1, 0)",99.51,1,4,4.76,4.76
code,code,"(0, 1, 0)",52.18,1,4,5.0,5.0
coco,coco,"(0, 1, 0)",6.74,1,4,4.05,4.05
club,club,"(0, 1, 0)",67.51,1,4,5.17,5.17
hâte,hâte,"(0, 1, 0)",20.93,1,4,4.4,4.4
gêne,gêne,"(0, 1, 0)",34.02,1,4,4.19,4.19
télé,télé,"(0, 1, 0)",106.41,1,4,4.78,4.78
taxi,taxi,"(0, 1, 0)",63.77,1,4,4.24,4.24
taux,taux,"(0, 1, 0)",11.22,1,4,5.03,5.03
pape,pape,"(0, 1, 0)",7.17,1,4,4.62,4.62
papa,papa,"(0, 1, 0)",260.26,1,4,4.57,4.57
paix,paix,"(0, 1, 0)",144.86,1,4,4.97,4.97
pain,pain,"(0, 1, 0)",67.58,1,4,4.64,4.64
page,page,"(0, 1, 0)",39.41,1,4,4.99,4.99
ours,ours,"(0, 1, 0)",23.96,1,4,4.24,4.24
gare,gare,"(0, 1, 0)",60.75,1,4,4.63,4.63
tour,tour,"(0, 1, 0)",193.82,1,4,5.37,5.37
tort,tort,"(0, 1, 0)",67.97,1,4,4.54,4.54
tome,tome,"(0, 1, 0)",0.88,1,4,4.46,4.46
toit,toit,"(0, 1, 0)",49.0,1,4,4.39,4.39
cuir,cuire,"(0, 1, 0)",44.18,1,4,3.9,4.18
coût,coût,"(0, 1, 0)",5.04,1,4,4.67,4.67
cour,courir,"(0, 1, 0)",330.06,1,4,4.47,5.09
coup,couper,"(0, 1, 0)",585.509999999999,1,4,4.53,5.55
côté,côté,"(0, 1, 0)",285.99,1,4,5.5,5.5
côte,côte,"(0, 1, 0)",35.17,1,4,4.81,4.81
cool,cool,"(0, 1, 0)",63.63,1,4,4.86,4.86
onze,onze,"(0, 1, 0)",13.7,1,4,4.31,4.31
onde,onde,"(0, 1, 0)",11.91,1,4,4.04,4.04
oeil,oeil,"(0, 1, 0)",97.13,1,4,4.51,4.51
nuit,nuit,"(0, 1, 0)",591.83,1,4,5.38,5.38
nous,nous,"(0, 1, 0)",4772.12,1,4,6.43,6.43
midi,midi,"(0, 1, 0)",35.15,1,4,4.99,4.99
neuf,neuf,"(0, 1, 0)",59.4599999999999,1,4,4.91,4.91
nana,nana,"(0, 1, 0)",39.57,1,4,4.06,4.06
mots,mot,"(0, 1, 0)",104.72,1,4,5.22,5.16
mort,mort,"(0, 1, 0)",1036.07,1,4,5.64,5.64
mont,mont,"(0, 1, 0)",12.6299999999999,1,4,4.48,4.48
mois,mois,"(0, 1, 0)",312.31,1,4,5.65,5.65
type,type,"(0, 1, 0)",334.85,1,4,5.32,5.32
fixe,fixe,"(0, 1, 0)",19.03,1,4,4.49,4.49
file,file,"(0, 1, 0)",58.71,1,4,4.32,4.32
défi,défi,"(0, 1, 0)",12.27,1,4,4.35,4.35
dans,dans,"(0, 1, 0)",4658.59,1,4,6.91,6.91
nord,nord,"(0, 1, 0)",62.64,1,4,5.3,5.3
noir,noir,"(0, 1, 0)",224.559999999999,1,4,5.13,5.13
noël,noël,"(0, 1, 0)",2.14,1,4,4.78,4.78
tous,tout,"(0, 1, 0)",6245.29,1,4,6.44,6.11
mari,mari,"(0, 1, 0)",264.15,1,4,4.8,4.8
vent,vent,"(0, 1, 0)",77.34,1,4,4.8,4.8
doté,doter,"(0, 1, 0)",3.62,1,4,3.54,4.06
dose,doser,"(0, 1, 0)",18.75,1,4,3.07,4.24
deux,deux,"(0, 1, 0)",1009.01,1,4,6.18,6.18
delà,delà,"(0, 1, 0)",3.73,1,4,4.83,4.83
déjà,déjà,"(0, 1, 0)",692.73,1,4,5.84,5.84
dent,dent,"(0, 1, 0)",74.21,1,4,4.07,4.07
tube,tube,"(0, 1, 0)",17.4,1,4,4.21,4.21
truc,truc,"(0, 1, 0)",381.35,1,4,5.28,5.28
trou,trou,"(0, 1, 0)",90.72,1,4,4.54,4.54
