Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
vola,vol,"(0, 1, 1)",246.57,2,4,4.96,2.72
zélé,zèle,"(0, 1, 1)",0.69,2,4,3.45,2.84
vida,vide,"(0, 1, 1)",24.41,2,4,4.74,3.13
têtu,tête,"(0, 1, 1)",6.17,2,4,5.53,3.23
tira,tir,"(0, 1, 1)",432.919999999999,2,4,4.43,3.2
riva,rive,"(0, 1, 1)",3.45,2,4,4.25,2.8
rusé,ruse,"(0, 1, 1)",5.92,2,4,3.51,3.07
sali,sale,"(0, 1, 1)",15.28,2,4,4.62,3.02
râpé,râpe,"(0, 1, 1)",1.1,2,4,2.48,2.89
rêva,rêve,"(0, 1, 1)",80.6,2,4,4.84,1.87
ridé,ride,"(0, 1, 1)",2.19,2,4,3.42,2.44
pige,pig,"(0, 1, 1)",26.25,2,4,2.75,3.49
pâli,pâle,"(0, 1, 1)",1.0,2,4,3.81,2.29
pâté,pâte,"(0, 1, 1)",7.0,2,4,4.1,3.44
muré,mur,"(0, 1, 1)",0.99,2,4,4.74,2.4
mûri,mûr,"(0, 1, 1)",2.73,2,4,3.43,2.91
nagé,nage,"(0, 1, 1)",23.45,2,4,3.79,2.68
miné,mine,"(0, 1, 1)",3.22999999999999,2,4,4.44,3.07
misa,mise,"(0, 1, 1)",7.23,2,4,5.32,2.45
lobé,lob,"(0, 1, 1)",0.02,2,4,2.75,2.28
logé,loge,"(0, 1, 1)",13.1699999999999,2,4,3.89,3.36
hâlé,hâle,"(0, 1, 1)",0.04,2,4,2.08,2.17
hâta,hâte,"(0, 1, 1)",1.86,2,4,4.4,2.12
gagé,gage,"(0, 1, 1)",0.32,2,4,3.85,2.02
gêna,gêne,"(0, 1, 1)",30.38,2,4,4.19,1.75
faxé,fax,"(0, 1, 1)",0.85,2,4,3.5,1.23
fila,fil,"(0, 1, 1)",61.41,2,4,4.82,2.69
dupé,dupe,"(0, 1, 1)",3.17,2,4,3.36,2.68
cria,cri,"(0, 1, 1)",109.509999999999,2,4,4.1,2.82
codé,code,"(0, 1, 1)",2.39,2,4,5.0,3.21
ciré,cire,"(0, 1, 1)",6.2,2,4,3.79,2.76
basa,base,"(0, 1, 1)",11.84,2,4,5.3,2.28
ailé,aile,"(0, 1, 1)",1.05,2,4,4.2,2.85
ardu,ard,"(0, 1, 1)",1.28,2,4,2.72,2.92
aida,aide,"(0, 1, 1)",863.12,2,4,5.31,3.17
îlot,île,"(0, 1, 1)",1.2,2,4,4.88,3.38
évidé,vide,"(1, 1, 1)",0.04,3,5,4.74,2.16
agile,agir,"(0, 1, 1)",2.16,2,5,4.67,3.28
agacé,agacer,"(0, 1, 1)",1.02,2,5,3.03,3.16
aviva,vivre,"(1, 1, 1)",0.01,3,5,5.21,2.57
raton,rat,"(0, 1, 1)",1.37,2,5,3.9,3.0
abêti,bête,"(1, 1, 1)",0.01,3,5,4.51,1.1
abats,battre,"(1, 1, 1)",2.31,3,5,4.67,2.82
