Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
gore,gore,"(0, 1, 0)",0.62,1,4,3.44,3.44
jeep,jeep,"(0, 1, 0)",4.18,1,4,3.32,3.32
voua,vouer,"(0, 1, 0)",5.3,1,4,2.75,2.1
vira,virer,"(0, 1, 0)",88.9699999999999,1,4,4.1,2.21
vexe,vexer,"(0, 1, 0)",14.05,1,4,3.19,2.83
âpre,âpre,"(0, 1, 0)",1.59,1,4,3.05,3.05
âtre,âtre,"(0, 1, 0)",0.08,1,4,2.49,2.49
sape,saper,"(0, 1, 0)",2.76999999999999,1,4,3.02,3.05
auge,auge,"(0, 1, 0)",0.49,1,4,2.92,2.92
pend,pendre,"(0, 1, 0)",27.4899999999999,1,4,3.56,3.18
orée,orée,"(0, 1, 0)",0.67,1,4,3.07,3.07
orme,orme,"(0, 1, 0)",0.39,1,4,2.94,2.94
ouïe,ouïr,"(0, 1, 0)",3.37,1,4,1.98,3.3
ocre,ocre,"(0, 1, 0)",0.4,1,4,3.14,3.14
ogre,ogre,"(0, 1, 0)",2.82,1,4,3.26,3.26
pépé,pépé,"(0, 1, 0)",5.3,1,4,3.02,3.02
peuh,peuh,"(0, 1, 0)",0.08,1,4,1.96,1.96
piaf,piaf,"(0, 1, 0)",2.0,1,4,3.23,3.23
pieu,pieu,"(0, 1, 0)",5.45,1,4,3.13,3.13
noce,noce,"(0, 1, 0)",17.0499999999999,1,4,3.15,3.15
nuée,nuée,"(0, 1, 0)",1.28,1,4,2.97,2.97
pion,pion,"(0, 1, 0)",4.9,1,4,3.47,3.47
plût,plût,"(0, 1, 0)",0.22,1,4,2.04,2.04
ride,ride,"(0, 1, 0)",4.9,1,4,3.42,3.42
rodé,roder,"(0, 1, 0)",0.13,1,4,2.5,2.73
rôti,rôtir,"(0, 1, 0)",7.74,1,4,2.65,3.26
mule,mule,"(0, 1, 0)",9.62,1,4,3.17,3.17
nase,nase,"(0, 1, 0)",2.17,1,4,2.45,2.45
pouf,pouf,"(0, 1, 0)",1.37,1,4,3.32,3.32
