Word,Structure,Prefix_Frequency,Root_Frequency,Suffix_Frequency,Word_Length
(frais)ail,rs,,88.56,29.13,8
a(hamac)é2,prs,2142.22,1.63,2.42,8
dé(pan)ars,prs,1752.69,14.85,1.08,8
co(prose)m,prs,73.72,0.81,1.33,8
(techno)at,rs,,18.84,166.91,8
a(guér)ium,prs,2142.22,5.84,6.47999999999999,8
a(colo)elé,prs,2142.22,1.1,1.14,8
dé(gon)aye,prs,1752.69,0.21,3.66,8
tri(ci)ide,prs,12.7399999999999,10.23,29.06,8
é(dadais)},prs,320.17,0.34,0.21,8
re(cru)ais,prs,6595.02,120.72,98.63,8
co(gon)ore,prs,73.72,0.21,5.18999999999999,8
en(zen)ium,prs,2094.69,3.47,6.47999999999999,8
ex(mir)ole,prs,79.38,28.85,10.76,8
mé(scie)on,prs,36.91,10.6299999999999,331.19,8
sé(sida)if,prs,1.22,5.02,409.409999999999,8
re(nasse)},prs,6595.02,0.39,0.21,8
ad(fax)eau,prs,28.56,6.43999999999999,436.9,8
bi(par)ise,prs,13.32,1781.89999999999,75.3999999999999,8
bi(mot)ait,prs,13.32,104.72,0.0,8
ad(arôme)s,prs,28.56,1.14,2.31,8
su(lui)èse,prs,0.0,2314.15,0.15,8
mi(école)s,prs,38.47,210.21,2.31,8
su(paroi)s,prs,0.0,4.88,2.31,8
dé(cage)en,prs,1752.69,19.51,22.18,8
(nupt)[VB],rs,,2.61,25208.9699999999,8
(arguer)an,rs,,9.66,29.2899999999999,8
eu(pou)ote,prs,1.11,1.92,15.2499999999999,8
en(ni)bles,prs,2094.69,377.659999999999,0.77,8
(boue)eron,rs,,16.83,9.63,8
eu(nef)oul,prs,1.11,0.41,0.12,8
a(pan)este,prs,2142.22,14.85,6.47,8
ad(frict)m,prs,28.56,1.14,1.33,8
as(ténor)m,prs,248.66,1.01,1.33,8
mi(train)u,prs,38.47,259.1,21.57,8
mé(je)vore,prs,36.91,25988.48,0.46,8
sur(gué)ex,prs,248.22,1.0,0.42,8
bi(ocul)il,prs,13.32,4.77,12.29,8
vi(nég)éon,prs,0.41,0.559999999999999,3.28,8
dé(rose)oy,prs,1752.69,56.73,0.79,8
sur(corni),pr,248.22,0.4,,8
sus(scie)s,prs,20.1599999999999,10.6299999999999,2.31,8
vi(duc)ole,prs,0.41,12.99,10.76,8
eu(le)ille,prs,1.11,17017.81,12.5099999999999,8
a(chance)s,prs,2142.22,380.43,2.31,8
vi(skaï)as,prs,0.41,0.12,0.05,8
mé(danse)é,prs,36.91,210.9,846.24,8
bi(sec)non,prs,13.32,67.96,0.26,8
in(ne)aste,prs,1478.96,13357.03,8.28,8
as(oléo)in,prs,248.66,0.0,109.48,8
en(lob)ûre,prs,2094.69,3.69,7.59,8
in(mal)eur,prs,1478.96,1119.62999999999,2127.06,8
a(gras)end,prs,2142.22,15.95,14.51,8
co(voie)ot,prs,73.72,112.19,58.0999999999999,8
pro(spot)m,prs,37.76,3.5,1.33,8
tri(soi)an,prs,12.7399999999999,28.51,29.2899999999999,8
par(en)ion,prs,44.24,9398.98,3498.54,8
bi(curé)ar,prs,13.32,16.72,1.54,8
re(dinde)u,prs,6595.02,10.5599999999999,21.57,8
eu(zébu)il,prs,1.11,0.06,12.29,8
eu(item)on,prs,1.11,0.12,331.19,8
en(jeu)mat,prs,2094.69,160.31,1.37,8
dia(tube)},prs,19.02,20.54,0.21,8
sé(mot)oïd,prs,1.22,104.72,0.08,8
as(brio)an,prs,248.66,0.93,29.2899999999999,8
en(créd)ot,prs,2094.69,3.17,58.0999999999999,8
ab(aboi)é2,prs,1.44,4.14,2.42,8
é(ronc)ide,prs,320.17,0.0,29.06,8
sé(crépir),pr,1.22,0.19,,8
eu(lact)ou,prs,1.11,0.75,18.39,8
épi(nyme)u,prs,1.27,17.08,21.57,8
sous(on)oy,prs,98.6,8589.96,0.79,8
bis(pin)ex,prs,0.03,5.06,0.42,8
ob(éco)uor,prs,0.93,37.1999999999999,1.04,8
ob(père)ce,prs,0.93,905.68,0.38,8
dé(que)ère,prs,1752.69,4100.9,86.54,8
en(dodu)an,prs,2094.69,0.47,29.2899999999999,8
en(des)eur,prs,2094.69,6057.32,2127.06,8
su(gène)at,prs,0.0,41.24,166.91,8
ana(si)ain,prs,1.48,3486.38,805.679999999999,8
ob(anus)oy,prs,0.93,3.05999999999999,0.79,8
per(nos)et,prs,1.01,524.63,229.51,8
a(créd)aud,prs,2142.22,3.17,106.029999999999,8
mé(fier)en,prs,36.91,113.42,22.18,8
en(carte)u,prs,2094.69,148.97,21.57,8
con(an)ail,prs,190.18,1293.42,29.13,8
mi(duc)uch,prs,38.47,12.99,0.87,8
syn(bip)at,prs,28.31,6.99,166.91,8
eu(do)oche,prs,1.11,16.66,3.16,8
co(ronce)o,prs,73.72,1.08999999999999,64.91,8
as(fér)ait,prs,248.66,0.24,0.0,8
uni(pub)um,prs,6.45,26.4599999999999,10.79,8
re(média)u,prs,6595.02,11.07,21.57,8
su(phage)é,prs,0.0,0.75,846.24,8
ab(théo)ie,prs,1.44,2.07,435.78,8
pén(puls)},prs,2.1,39.43,0.21,8
ver(bond)},prs,0.98,13.9599999999999,0.21,8
(liane)ève,rs,,0.77,0.71,8
en(obèse)},prs,2094.69,2.3,0.21,8
é(jet)ieus,prs,320.17,24.27,0.2,8
ab(gal)oul,prs,1.44,1.97,0.12,8
su(pile)et,prs,0.0,23.8,229.51,8
re(rap)ium,prs,6595.02,3.82,6.47999999999999,8
a(code)ote,prs,2142.22,57.79,15.2499999999999,8
en(four)is,prs,2094.69,21.31,19.93,8
a(gara)ium,prs,2142.22,0.04,6.47999999999999,8
a(vex)ende,prs,2142.22,0.05,0.03,8
é(cagne)en,prs,320.17,0.01,22.18,8
dé(moqu)if,prs,1752.69,2.57,409.409999999999,8
pén(poire),pr,2.1,7.58,,8
a(pépin)ou,prs,2142.22,5.60999999999999,18.39,8
pré(boy)on,prs,209.31,8.36,331.19,8
dé(mauve)s,prs,1752.69,0.99,2.31,8
sé(boss)il,prs,1.22,19.6999999999999,12.29,8
sus(ça)eut,prs,20.1599999999999,8971.85,6.61,8
in(nat)ada,prs,1478.96,6.54999999999999,1.04,8
dé(publi)},prs,1752.69,2.62,0.21,8
ad(brin)ol,prs,28.56,6.64,39.3799999999999,8
(donc)atum,rs,,612.51,1.23,8
ad(ici)iér,prs,28.56,2411.79,0.01,8
sé(porte)i,prs,1.22,600.499999999999,9.2,8
pén(acu)er,prs,2.1,0.67,316.04,8
en(cul)ier,prs,2094.69,146.579999999999,847.1,8
é(ferv)mat,prs,320.17,3.69999999999999,1.37,8
é(bourru)},prs,320.17,0.32,0.21,8
é(jeux)ané,prs,320.17,34.8099999999999,6.66,8
ex(talc)il,prs,79.38,1.4,12.29,8
bi(âge)ier,prs,13.32,172.45,847.1,8
mi(col)end,prs,38.47,12.0199999999999,14.51,8
dys(tort)i,prs,0.86,68.91,9.2,8
re(messe)m,prs,6595.02,18.36,1.33,8
eu(roc)ine,prs,1.11,3.91,56.3199999999999,8
sau(aîné)é,prs,0.04,15.19,846.24,8
en(pus)ème,prs,2094.69,2.85,1.54,8
eu(fer)end,prs,1.11,47.79,14.51,8
é(coure)ce,prs,320.17,0.73,0.38,8
pén(tube)s,prs,2.1,20.54,2.31,8
eu(cela)oi,prs,1.11,492.86,5.84,8
a(hâte)oïd,prs,2142.22,25.34,0.08,8
pan(came)s,prs,3.88999999999999,1.15,2.31,8
é(hiver)er,prs,320.17,39.78,316.04,8
en(mie)ion,prs,2094.69,10.06,3498.54,8
au(siam)is,prs,87.29,2.25,19.93,8
re(mie)ier,prs,6595.02,10.06,847.1,8
uni(dû)end,prs,6.45,6.96,14.51,8
é(gonz)non,prs,320.17,11.3,0.26,8
infra(là)},prs,2.06,2135.06,0.21,8
bi(pu)erie,prs,13.32,373.94,267.479999999999,8
ad(sourd)s,prs,28.56,30.99,2.31,8
bi(pré)ais,prs,13.32,21.59,98.63,8
(qui)cules,rs,,5516.52,2.47,8
com(sec)an,prs,28.22,67.96,29.2899999999999,8
vi(envie)o,prs,0.41,231.64,64.91,8
ex(baba)if,prs,79.38,1.11,409.409999999999,8
su(ski)èle,prs,0.0,19.11,3.87,8
mé(pan)ule,prs,36.91,14.85,6.53,8
sé(flex)en,prs,1.22,2.23,22.18,8
é(pimp)ice,prs,320.17,0.46,312.58,8
pro(vos)oi,prs,37.76,649.07,5.84,8
sub(gîte)é,prs,3.90999999999999,3.34999999999999,846.24,8
a(item)ève,prs,2142.22,0.12,0.71,8
en(date)il,prs,2094.69,40.93,12.29,8
(lyre)ario,rs,,1.76,21.85,8
per(phase),pr,1.01,13.22,,8
bi(au)otte,prs,13.32,4634.76999999999,3.13,8
eu(méla)if,prs,1.11,0.09,409.409999999999,8
mé(faute)},prs,36.91,1489.26,0.21,8
(naute)ide,rs,,8.32,29.06,8
(sermon)at,rs,,7.6,166.91,8
a(prix)oïd,prs,2142.22,227.819999999999,0.08,8
mi(parc)ir,prs,38.47,33.0199999999999,168.27,8
bis(auto)é,prs,0.03,65.37,846.24,8
a(or)otins,prs,2142.22,132.799999999999,0.15,8
sé(fax)arc,prs,1.22,6.43999999999999,0.0,8
su(vex)ité,prs,0.0,0.05,1491.88,8
(perdre)er,rs,,591.38,316.04,8
(douze)ice,rs,,35.3899999999999,312.58,8
dia(arc)en,prs,19.02,6.67,22.18,8
é(bloc)ois,prs,320.17,60.08,80.02,8
ex(tsar)oi,prs,79.38,12.13,5.84,8
bi(vis)aud,prs,13.32,1.60999999999999,106.029999999999,8
é(défit)ar,prs,320.17,0.14,1.54,8
é(dandy)um,prs,320.17,2.61,10.79,8
a(paver)ex,prs,2142.22,4.03,0.42,8
su(em)ario,prs,0.0,0.18,21.85,8
su(alt)ail,prs,0.0,19.29,29.13,8
su(écu)ice,prs,0.0,1.48,312.58,8
uni(dû)ine,prs,6.45,6.96,56.3199999999999,8
mi(lire)ex,prs,38.47,249.02,0.42,8
a(cul)aire,prs,2142.22,146.579999999999,853.76,8
sé(igni)é2,prs,1.22,0.02,2.42,8
(quart)ime,rs,,86.2899999999999,9.5,8
mi(zèbre)s,prs,38.47,3.84,2.31,8
hypo(du)um,prs,10.42,4397.21999999999,10.79,8
au(coût)um,prs,87.29,89.68,10.79,8
dé(nom)ois,prs,1752.69,666.0,80.02,8
dys(cyn)is,prs,0.86,7.67,19.93,8
ad(gramo)é,prs,28.56,1.13,846.24,8
com(loco)u,prs,28.22,4.04,21.57,8
(fleuve)ïa,rs,,21.58,2.03,8
pén(tu)eut,prs,2.1,14669.79,6.61,8
a(loco)sse,prs,2142.22,4.04,37.89,8
ver(tat)at,prs,0.98,0.24,166.91,8
mé(astuce),pr,36.91,7.06,,8
(trait)aul,rs,,9.24,1.35,8
(garn)aste,rs,,1.57,8.28,8
vi(vil)ate,prs,0.41,28.86,4.15,8
ob(calice),pr,0.93,1.2,,8
au(tête)ie,prs,87.29,486.88,435.78,8
tri(où)oie,prs,12.7399999999999,2177.25,0.04,8
ver(égo)on,prs,0.98,14.86,331.19,8
ob(gué)aye,prs,0.93,1.0,3.66,8
mi(rive)en,prs,38.47,23.4999999999999,22.18,8
dé(pan)ème,prs,1752.69,14.85,1.54,8
sé(lyre)in,prs,1.22,1.76,109.48,8
é(ptère)ir,prs,320.17,13.96,168.27,8
(moins)eur,rs,,539.22,2127.06,8
en(au)sant,prs,2094.69,4634.76999999999,0.62,8
ad(gaul)el,prs,28.56,4.8,1103.39999999999,8
dia(ta)ell,prs,19.02,1265.97,5.21,8
(ghetto)ot,rs,,5.41,58.0999999999999,8
au(siège)},prs,87.29,32.4899999999999,0.21,8
ver(être)},prs,0.98,42435.68,0.21,8
(tergi)ise,rs,,0.06,75.3999999999999,8
dia(alt)at,prs,19.02,19.29,166.91,8
a(midi)one,prs,2142.22,35.15,1.39,8
re(item)if,prs,6595.02,0.12,409.409999999999,8
bi(cime)oi,prs,13.32,1.78,5.84,8
vi(soif)é2,prs,0.41,32.84,2.42,8
bi(triche),pr,13.32,21.22,,8
as(sabre)i,prs,248.66,7.03,9.2,8
a(effet)as,prs,2142.22,152.899999999999,0.05,8
vi(mess)um,prs,0.41,1.74,10.79,8
sé(riz)ine,prs,1.22,24.9399999999999,56.3199999999999,8
re(foi)ion,prs,6595.02,54.06,3498.54,8
mi(bac)ite,prs,38.47,9.98999999999999,30.57,8
sur(sexe)é,prs,248.22,124.35,846.24,8
a(bouse)é2,prs,2142.22,4.25,2.42,8
eu(déca)al,prs,1.11,1.16,1125.04,8
eu(son)nce,prs,1.11,1894.35999999999,1491.29,8
é(moisir)m,prs,320.17,5.24,1.33,8
ad(pénis)m,prs,28.56,8.11,1.33,8
uni(reçu)},prs,6.45,5.89,0.21,8
vi(user)é2,prs,0.41,33.14,2.42,8
sub(les)ir,prs,3.90999999999999,9983.31,168.27,8
per(né)ell,prs,1.01,93.33,5.21,8
as(bowl)on,prs,248.66,0.0,331.19,8
ab(déi)aud,prs,1.44,0.04,106.029999999999,8
vi(don)ais,prs,0.41,1324.87,98.63,8
ana(sur)as,prs,1.48,2721.72,0.05,8
anté(foc)o,prs,8.42,0.29,64.91,8
mi(exor)en,prs,38.47,0.66,22.18,8
au(rat)ars,prs,87.29,47.6699999999999,1.08,8
co(gyn)ule,prs,73.72,0.23,6.53,8
eu(géo)ple,prs,1.11,11.27,7.91,8
as(troc)on,prs,248.66,1.64,331.19,8
sur(gay)on,prs,248.22,29.0,331.19,8
sé(oie)ois,prs,1.22,9.21999999999999,80.02,8
syn(qui)ie,prs,28.31,5516.52,435.78,8
as(acte)en,prs,248.66,301.26,22.18,8
uni(loin)u,prs,6.45,304.3,21.57,8
bi(socio)},prs,13.32,177.549999999999,0.21,8
mé(riz)éon,prs,36.91,24.9399999999999,3.28,8
pro(cèpe)u,prs,37.76,0.02,21.57,8
bi(équ)ois,prs,13.32,5.7,80.02,8
as(scie)é2,prs,248.66,10.6299999999999,2.42,8
dé(bison)u,prs,1752.69,2.65,21.57,8
re(rang)ot,prs,6595.02,156.01,58.0999999999999,8
ad(ma)atum,prs,28.56,2670.39,1.23,8
as(pâle)re,prs,248.66,18.88,17.02,8
co(dic)uor,prs,73.72,0.83,1.04,8
su(par)ule,prs,0.0,1781.89999999999,6.53,8
ob(gré)ité,prs,0.93,57.86,1491.88,8
sur(paix)s,prs,248.22,173.12,2.31,8
ex(ruse)oy,prs,79.38,16.1199999999999,0.79,8
ob(te)iche,prs,0.93,4006.1,2.17999999999999,8
ab(bise)as,prs,1.44,24.89,0.05,8
eu(rater)i,prs,1.11,92.3999999999999,9.2,8
ab(mao)éon,prs,1.44,0.01,3.28,8
au(sang)ex,prs,87.29,354.92,0.42,8
as(des)ait,prs,248.66,6057.32,0.0,8
ab(bleu)um,prs,1.44,98.3399999999999,10.79,8
a(lego)èle,prs,2142.22,0.35,3.87,8
bi(pinson),pr,13.32,2.68,,8
ex(daim)il,prs,79.38,1.41,12.29,8
au(goth)ot,prs,87.29,1.65,58.0999999999999,8
mi(ard)bil,prs,38.47,18.48,0.02,8
pro(et)ème,prs,37.76,12909.08,1.54,8
ob(barda)é,prs,0.93,1.46,846.24,8
pén(gui)ol,prs,2.1,2.9,39.3799999999999,8
par(os)ine,prs,44.24,45.13,56.3199999999999,8
sau(scol)u,prs,0.04,8.73999999999999,21.57,8
ana(gyn)as,prs,1.48,0.23,0.05,8
co(en)enda,prs,73.72,9398.98,5.69,8
bis(brac)u,prs,0.03,13.44,21.57,8
é(bref)ien,prs,320.17,39.27,291.01,8
ad(surf)é2,prs,28.56,10.86,2.42,8
(accès)oïd,rs,,42.63,0.08,8
eu(odeur)i,prs,1.11,51.92,9.2,8
(jaune)ané,rs,,30.26,6.66,8
(châle)aud,rs,,2.23,106.029999999999,8
apo(coq)ir,prs,0.17,12.47,168.27,8
ab(nos)ain,prs,1.44,524.63,805.679999999999,8
ver(sot)ex,prs,0.98,16.66,0.42,8
mi(phage)m,prs,38.47,0.75,1.33,8
é(jaune)al,prs,320.17,30.26,1125.04,8
é(hors)ing,prs,320.17,71.94,68.61,8
sur(nul)ie,prs,248.22,177.85,435.78,8
as(rap)ose,prs,248.66,3.82,12.7,8
dys(drame),pr,0.86,25.08,,8
pan(la)ide,prs,3.88999999999999,16097.02,29.06,8
apo(foi)re,prs,0.17,54.06,17.02,8
é(força)ar,prs,320.17,0.34,1.54,8
ab(gué)ait,prs,1.44,1.0,0.0,8
sub(eau)oy,prs,3.90999999999999,290.61,0.79,8
au(peur)in,prs,87.29,562.03,109.48,8
ob(topo)in,prs,0.93,3.49,109.48,8
re(fils)ol,prs,6595.02,527.97,39.3799999999999,8
ad(bidon)u,prs,28.56,15.82,21.57,8
ad(matou)i,prs,28.56,1.04,9.2,8
mi(raide)s,prs,38.47,15.0999999999999,2.31,8
ab(hoquet),pr,1.44,1.75,,8
bi(ci)èche,prs,13.32,10.23,0.02,8
é(cou)asse,prs,320.17,43.71,39.9,8
(belette)é,rs,,1.74,846.24,8
bis(seau)o,prs,0.03,9.02,64.91,8
épi(vote)s,prs,1.27,42.26,2.31,8
sur(pun)at,prs,248.22,3.1,166.91,8
as(ère)ène,prs,248.66,12.91,1.21,8
ver(venir),pr,0.98,3610.1,,8
per(don)oy,prs,1.01,1324.87,0.79,8
sur(via)ce,prs,248.22,6.82,0.38,8
re(bole)ot,prs,6595.02,1.78,58.0999999999999,8
mé(cape)oy,prs,36.91,6.35,0.79,8
co(nôme)as,prs,73.72,0.2,0.05,8
épi(case)m,prs,1.27,7.71999999999999,1.33,8
uni(veuv)o,prs,6.45,0.78,64.91,8
(intime)as,rs,,28.66,0.05,8
é(pipe)ine,prs,320.17,18.59,56.3199999999999,8
(milieu)an,rs,,70.38,29.2899999999999,8
a(chou)éon,prs,2142.22,25.5,3.28,8
é(gifle)ot,prs,320.17,10.8199999999999,58.0999999999999,8
ad(cru)ier,prs,28.56,120.72,847.1,8
sau(gaî)re,prs,0.04,0.55,17.02,8
(griffon)u,rs,,0.57,21.57,8
pré(lys)um,prs,209.31,2.41,10.79,8
(bonus)oïd,rs,,3.8,0.08,8
au(déi)oir,prs,87.29,0.04,113.06,8
as(pore)ol,prs,248.66,1.66,39.3799999999999,8
as(gât)arc,prs,248.66,3.46999999999999,0.0,8
a(bénin)er,prs,2142.22,0.88,316.04,8
as(age)ion,prs,248.66,3.25,3498.54,8
ab(foi)èse,prs,1.44,54.06,0.15,8
(mayas)ier,rs,,0.13,847.1,8
dé(radis)},prs,1752.69,1.81,0.21,8
sous(pét)},prs,98.6,16.44,0.21,8
ad(image)},prs,28.56,83.33,0.21,8
su(mater)o,prs,0.0,11.84,64.91,8
(tripot)er,rs,,0.48,316.04,8
é(frite)ou,prs,320.17,4.55,18.39,8
en(muse)oy,prs,2094.69,1.82,0.79,8
a(noix)èse,prs,2142.22,17.08,0.15,8
ab(nat)eur,prs,1.44,6.54999999999999,2127.06,8
ver(zen)ie,prs,0.98,3.47,435.78,8
au(taupe)s,prs,87.29,6.88,2.31,8
in(gong)re,prs,1478.96,2.35,17.02,8
infra(cri),pr,2.06,161.779999999999,,8
ad(bail)if,prs,28.56,11.49,409.409999999999,8
as(fur)ote,prs,248.66,36.0599999999999,15.2499999999999,8
(laine)ion,rs,,6.63999999999999,3498.54,8
a(feux)oit,prs,2142.22,18.1,0.05,8
re(gel)eut,prs,6595.02,39.39,6.61,8
