Word,Structure,Prefix_Frequency,Root_Frequency,Suffix_Frequency,Word_Length,Zipf_Frequency
(dat)i,rs,,6.91,9.2,4,3.03
bi(rot),pr,13.32,2.11,,5,1.98
ob(box),pr,0.93,24.46,,5,0.0
a(pus)u,prs,2142.22,2.85,21.57,5,0.0
ex(alt),pr,79.38,19.29,,5,1.78
(blé)in,rs,,19.98,109.48,5,0.0
(de)éon,rs,,25220.96,3.28,5,0.0
(ôter)u,rs,,14.87,21.57,5,0.0
(acné)o,rs,,1.9,64.91,5,0.0
ab(pin),pr,1.44,5.06,,5,0.0
(ni)ure,rs,,377.659999999999,595.65,5,0.0
(face)i,rs,,162.13,9.2,5,0.0
é(zen)u,prs,320.17,3.47,21.57,5,0.0
a(gal)u,prs,2142.22,1.97,21.57,5,0.0
su(ta)o,prs,0.0,1265.97,64.91,5,0.0
(tim)en,rs,,3.58,22.18,5,0.0
co(dû)s,prs,73.72,6.96,2.31,5,0.0
mi(et)u,prs,38.47,12909.08,21.57,5,0.0
(voie)i,rs,,112.19,9.2,5,0.0
(fa)ole,rs,,5.23,10.76,5,0.0
en(bi)},prs,2094.69,1.27,0.21,5,0.0
(écu)as,rs,,1.48,0.05,5,0.0
in(ni)s,prs,1478.96,377.659999999999,2.31,5,1.9
(nég)en,rs,,0.559999999999999,22.18,5,0.0
a(duo)o,prs,2142.22,2.49,64.91,5,0.0
(bol)is,rs,,17.62,19.93,5,0.0
é(buse),pr,320.17,0.82,,5,0.0
(zen)ure,rs,,3.47,595.65,6,0.0
vi(cri)s,prs,0.41,161.779999999999,2.31,6,0.0
su(ard)i,prs,0.0,18.48,9.2,6,0.0
(nom)eut,rs,,666.0,6.61,6,0.0
re(par)o,prs,6595.02,1781.89999999999,64.91,6,1.04
(fluet)o,rs,,0.31,64.91,6,0.0
(ivre)ex,rs,,37.65,0.42,6,0.0
é(gosse),pr,320.17,109.95,,6,0.0
dia(mec),pr,19.02,325.55,,6,0.0
