Comments,Word,Wordlength,Length,Frequency,Morphology,Structure,Lexicality,Frequency,Zipf Frequency,Condition,Lemma,Zipf Lemma Frequency,Phonemes,n_phonemes,n_syllables,Difference phonemes letters,Affix_Freq
yes,prévu,5,short,high,complex,pr,real,high,4.78,RSHC,vue,5.37,pʁevy,5,2,0,
ok,unité,5,short,high,complex,rs,real,high,4.77,RSHC,un,7.11,ynite,5,2,0,
yesyes,remet,5,short,high,complex,pr,real,high,4.24,RSHC,mettre,5.55,ʁəmɛ,4,2,-1,
yesyes,revue,5,short,high,complex,pr,real,high,4.72,RSHC,vue,5.37,ʁəvy,4,2,-1,
yes,actif,5,short,high,complex,rs,real,high,4.49,RSHC,acte,4.79,aktif,5,2,0,
yes,final,5,short,high,complex,rs,real,high,4.87,RSHC,fin,5.67,final,5,2,0,
yes,tueur,5,short,high,complex,rs,real,high,4.05,RSHC,tuer,4.77,tyœʁ,4,1,-1,
bof,usage,5,short,high,complex,rs,real,high,4.83,RSHC,user,3.86,yzaʒ,4,1,-1,
bof,idéal,5,short,high,complex,rs,real,high,4.47,RSHC,idée,5.38,ideal,5,1,0,
yes,réuni,5,short,high,complex,pr,real,high,4.07,RSHC,un,7.11,ʁeyni,5,1,0,
yes,amitié,6,short,high,complex,rs,real,high,4.55,RSHC,ami,5.09,amitje,6,2,0,
yes,fierté,6,short,high,complex,rs,real,high,4.21,RSHC,fier,4.54,fjɛʁte,6,2,0,
yesyes,annuel,6,short,high,complex,rs,real,high,4.32,RSHC,an,5.36,anyɛl,5,2,-1,
yes,beauté,6,short,high,complex,rs,real,high,4.75,RSHC,beau,5.26,bote,4,2,-2,
yesyes,sûreté,6,short,high,complex,rs,real,high,4.16,RSHC,sûr,5.27,syʁte,5,3,-1,
yes,indien,6,short,high,complex,rs,real,high,4.21,RSHC,inde,4.52,ɛ̃djɛ̃,6,2,0,
yes,rachat,6,short,high,complex,rs,real,high,4.68,RSHC,achat,4.68,ʁaʃa,4,2,-2,
yes,remise,6,short,high,complex,rs,real,high,4.55,RSHC,mise,5.32,ʁəmiz,5,2,-1,
yes,survie,6,short,high,complex,sr,real,high,4.24,RSHC,vie,5.89,syʁvi,5,2,-1,
yes,génial,6,short,high,complex,rs,real,high,4.51,RSHC,génie,4.6,ʒenjal,6,2,0,
yes,peinture,8,long,high,complex,rs,real,high,4.61,RLHC,peint,4.14,pɛ̃tyʁ,6,2,-2,
yesyes,mobilité,8,long,high,complex,rs,real,high,4.14,RLHC,mobile,4.6,mobilite,8,4,0,
yesyes,deuxième,8,long,high,complex,rs,real,high,5.24,RLHC,deux,6.18,døzjɛm,6,1,-2,
yes,étudiant,8,long,high,complex,rs,real,high,4.54,RLHC,étude,5.09,etydjɑ̃,7,2,-1,
yesyes,sûrement,8,long,high,complex,rs,real,high,4.7,RLHC,sûre,4.43,syʁmɑ̃,6,3,-2,
yes,poursuit,8,long,high,complex,sr,real,high,4.41,RLHC,suivre,5.01,puʁsyi,6,2,-2,low frequency
yes,noblesse,8,long,high,complex,rs,real,high,4.14,RLHC,noble,4.22,nɔblɛs,6,2,-2,low frequency
yesyes,humanité,8,long,high,complex,rs,real,high,4.63,RLHC,humain,4.81,ymanite,7,4,-1,
yes,culturel,8,long,high,complex,rs,real,high,4.46,RLHC,culture,5.17,kyltyʁɛl,8,2,0,
yes,remporté,8,long,high,complex,pprs,real,high,4.34,RLHC,porter,4.98,ʁɑ̃pɔʁte,8,3,0,
yes,également,9,long,high,complex,rs,real,high,5.59,RLHC,égal,4.23,eɡalmɑ̃,7,3,-2,
