Word,Root,Wordlength,Structure,Lexicality,Length,Frequency,Morphology,Zipf Frequency,Condition,Lemma,Zipf Lemma Frequency,Num Phonemes,Num Syllables,Syllables
imprévu,vu,7,ppr,real,long,low,complex,3.35,RLLC,vu,5.71,,3,im-pré-vu
défonce,fonce,7,pr,real,long,low,complex,3.41,RLLC,fonce,3.72,,2,dé-fonce
reliure,li,7,prs,real,long,low,complex,3.12,RLLC,lien,5.1,,2,re-liure
coopère,opère,7,pr,real,long,low,complex,2.86,RLLC,opère,3.84,,2,co-opère
renégat,nég,7,prs,real,long,low,complex,2.64,RLLC,négatif,4.24,,3,re-né-gat
sonorité,son,8,rss,real,long,low,complex,3.17,RLLC,son,6.47,,4,so-no-ri-té
enivrant,ivr,8,prs,real,long,low,complex,2.56,RLLC,ivre,3.79,,2,en-ivrant
déplaire,plaire,8,pr,real,long,low,complex,3.28,RLLC,plaire,4.15,,2,dé-plaire
dérision,ris,8,prs,real,long,low,complex,3.43,RLLC,ris,3.75,,3,dé-ri-sion
dévotion,vot,8,prs,real,long,low,complex,3.46,RLLC,voter,4.54,,3,dé-vo-tion
pesanteur,pes,9,rss,real,long,low,complex,2.97,RLLC,pes,2.95,,3,pe-san-teur
indiscret,discret,9,pr_long,real,long,low,complex,3.11,RLLC,discret,4.07,,3,in-dis-cret
infortune,fortune,9,pr_long,real,long,low,complex,2.86,RLLC,fortune,4.41,,3,in-for-tune
décompose,compose,9,pr_long,real,long,low,complex,3.25,RLLC,compose,4.13,,3,dé-com-pose
idéaliste,idé,9,rss,real,long,low,complex,3.25,RLLC,idée,5.38,,2,idéa-liste
transperce,perce,10,pr_long,real,long,low,complex,2.62,RLLC,perce,3.4,,2,trans-perce
royalement,roy,10,rss,real,long,low,complex,3.12,RLLC,royal,4.57,,3,roya-le-ment
surenchère,chère,10,ppr,real,long,low,complex,3.22,RLLC,chère,4.46,,3,sur-en-chère
malicieuse,mal,10,rss,real,long,low,complex,2.57,RLLC,mal,5.68,,3,ma-li-cieuse
infrarouge,rouge,10,pr_long,real,long,low,complex,3.34,RLLC,rouge,5.13,,3,in-fra-rouge
ensuite,suite,7,pr,real,long,high,complex,5.35,RLHC,suite,5.52,,2,en-suite
dérange,range,7,pr,real,long,high,complex,4.32,RLHC,range,3.89,,2,dé-range
injuste,juste,7,pr,real,long,high,complex,4.08,RLHC,juste,5.8,,2,in-juste
justice,just,7,rs,real,long,high,complex,5.12,RLHC,juste,5.8,,2,jus-tice
maladie,malad,7,rs,real,long,high,complex,4.88,RLHC,malade,4.82,,3,ma-la-die
décision,décis,8,rs,real,long,high,complex,4.97,RLHC,décis,1.9,,3,dé-ci-sion
position,posit,8,rs,real,long,high,complex,5.07,RLHC,posit,1.36,,3,po-si-tion
poursuit,suit,8,pr,real,long,high,complex,4.41,RLHC,suit,4.69,,2,pour-suit
deuxième,deux,8,rs,real,long,high,complex,5.24,RLHC,deux,6.18,,1,deuxième
sûrement,sûre,8,rs,real,long,high,complex,4.7,RLHC,sûre,4.43,,3,sû-re-ment
découvert,couvert,9,pr_long,real,long,high,complex,4.72,RLHC,couvert,4.4,,3,dé-cou-vert
seulement,seul,9,rss,real,long,high,complex,5.47,RLHC,seule,5.42,,2,seule-ment
américain,améric,9,rs,real,long,high,complex,5.06,RLHC,amérique,4.83,,3,amé-ri-cain
chauffage,chau,9,prs,real,long,high,complex,4.08,RLHC,chauffer,3.87,,2,chauf-fage
également,égal,9,rs,real,long,high,complex,5.59,RLHC,égal,4.23,,3,éga-le-ment
découverte,couverte,10,pr_long,real,long,high,complex,4.73,RLHC,couverte,3.93,,3,dé-cou-verte
visibilité,vis,10,rss,real,long,high,complex,4.06,RLHC,vis,4.93,,5,vi-si-bi-li-té
finalement,fin,10,rss,real,long,high,complex,5.02,RLHC,fin,5.67,,4,fi-na-le-ment
impossible,possible,10,pr_long,real,long,high,complex,4.98,RLHC,possible,5.39,,3,im-pos-sible
artistique,art,10,rss,real,long,high,complex,4.42,RLHC,art,5.26,,3,ar-tis-tique
final,fin,5,rs,real,short,high,complex,4.87,RSHC,fin,5.67,,2,fi-nal
remet,met,5,pr,real,short,high,complex,4.24,RSHC,met,5.12,,2,re-met
malin,mal,5,rs,real,short,high,complex,4.15,RSHC,mal,5.68,,2,ma-lin
enfin,fin,5,pr,real,short,high,complex,5.47,RSHC,fin,5.67,,2,en-fin
