Word,Root,Wordlength,Structure,Lexicality,Length,Frequency,Morphology,Zipf Frequency,Condition,Notes
imprévu,vis,7,ppr,real,long,low,complex,3.35,RLLC,"as in vision, visible"
défonce,fonce,7,pr,real,long,low,complex,3.41,RLLC,
reliure,li,7,prs,real,long,low,complex,3.12,RLLC,
coopère,opère,7,pr,real,long,low,complex,2.86,RLLC,
renégat,nég,7,prs,real,long,low,complex,2.64,RLLC,
sonorité,son,8,rss,real,long,low,complex,3.17,RLLC,
enivrant,ivr,8,prs,real,long,low,complex,2.56,RLLC,same root as ébriété
déplaire,plaire,8,pr,real,long,low,complex,3.28,RLLC,
dérision,ris,8,prs,real,long,low,complex,3.43,RLLC,
dévotion,vot,8,prs,real,long,low,complex,3.46,RLLC,same root as vœu and vote
pesanteur,pes,9,rss,real,long,low,complex,2.97,RLLC,same root as pendre
indiscret,discr,9,prs,real,long,low,complex,3.11,RLLC,same root as discerner
infortune,fort,9,prs,real,long,low,complex,2.86,RLLC,same root as fortuit
décompose,pose,9,ppr,real,long,low,complex,3.25,RLLC,same root as position
idéaliste,idé,9,rss,real,long,low,complex,3.25,RLLC,
transperce,perce,10,pr_long,real,long,low,complex,2.62,RLLC,
royalement,reg,10,rss,real,long,low,complex,3.12,RLLC,"same root as regne, regicide"
surenchère,chère,10,ppr,real,long,low,complex,3.22,RLLC,"same root as chéri, charitable"
malicieuse,mal,10,rss,real,long,low,complex,2.57,RLLC,"same root as malin, mal"
infrarouge,rouge,10,pr_long,real,long,low,complex,3.34,RLLC,
ensuite,seq,7,pr,real,long,high,complex,5.35,RLHC,root is same as sequence
dérange,rang,7,pr,real,long,high,complex,4.32,RLHC,root is rang
injuste,jus,7,pr,real,long,high,complex,4.08,RLHC,modified root to be on par with justice
justice,jus,7,rs,real,long,high,complex,5.12,RLHC,"same root as juge, judiciaire"
maladie,mal,7,rss,real,long,high,complex,4.88,RLHC,Mal → malade → maladie
décision,cis,8,prs,real,long,high,complex,4.97,RLHC,"same root as ciseau, inciser, ciseler, is also the -cide part in régicide, fratricide etc"
position,pose,8,rs,real,long,high,complex,5.07,RLHC,same root as décompose
poursuit,seq,8,pr,real,long,high,complex,4.41,RLHC,"same family as suite, sequence"
deuxième,duo,8,rs,real,long,high,complex,5.24,RLHC,changed root
sûrement,secur,8,rs,real,long,high,complex,4.7,RLHC,same root as sécurité
découvert,couv,9,pr_long,real,long,high,complex,4.72,RLHC,"past tense, share root with couvercle"
seulement,sol,9,rs,real,long,high,complex,5.47,RLHC,"same root as solitaire, soliste"
américain,améric,9,rs,real,long,high,complex,5.06,RLHC,
chauffage,cal,9,rs,real,long,high,complex,4.08,RLHC,"same root as chaleur, chaud, calorie"
également,égal,9,rs,real,long,high,complex,5.59,RLHC,same root as equation
découverte,couv,10,prs,real,long,high,complex,4.73,RLHC,"this one has a feminine prefix as an adjective, or is a noun ?"
visibilité,vis,10,rss,real,long,high,complex,4.06,RLHC,
finalement,fin,10,rss,real,long,high,complex,5.02,RLHC,"same root as définir, confins, affine"
impossible,pot,10,prs,real,long,high,complex,4.98,RLHC,"same root as pouvoir, omnipotent, potentiel"
artistique,art,10,rss,real,long,high,complex,4.42,RLHC,"same root as artisanat, artificiel, inertie"
final,fin,5,rs,real,short,high,complex,4.87,RSHC,
remet,met,5,pr,real,short,high,complex,4.24,RSHC,"same root as mission, missive, missile"
malin,mal,5,rs,real,short,high,complex,4.15,RSHC,
enfin,fin,5,pr,real,short,high,complex,5.47,RSHC,
usage,us,5,rs,real,short,high,complex,4.83,RSHC,same root as usufruit
sortie,sort,6,rs,real,short,high,complex,5.13,RSHC,same root as sortilège
prénom,nom,6,pr,real,short,high,complex,4.48,RSHC,
joueur,jou,6,rs,real,short,high,complex,4.98,RSHC,
fierté,fier,6,rs,real,short,high,complex,4.21,RSHC,same root as féroce but not farouche
normal,norm,6,rs,real,short,high,complex,4.9,RSHC,same root as énorme
mural,mur,5,rs,real,short,low,complex,2.86,RSLC,
envol,vol,5,pr,real,short,low,complex,3.44,RSLC,
